"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392550","Region 10, Atlanta, Georgia","Laboratory Corporation of America",2026-08-10,NA,"Tucker","GA",NA,NA,80,NA,"International Union of Painters & Allied Trades District Council No. 77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union of Painters & Allied Trades District Council No. 77",1,"IUPAT",NA,"Still Open",NA
"06-RC-391495","Region 06, Pittsburgh, Pennsylvania","The Ziegenfelder Company",2026-07-27,NA,"Wheeling","WV",NA,NA,8,NA,"IUPAT, District Council 53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","IUPAT, District Council 53",1,"IUPAT",NA,"Still Open",NA
"14-RC-391610","Region 14, Saint Louis, Missouri","Shuttlewagon, Inc.",2026-07-27,NA,"Kansas City","MO",NA,NA,41,NA,"International Union of Painters and Allied Trades, (IUPAT) District Council 3 Local Union 820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Painters and Allied Trades, (IUPAT) District Council 3 Local Union 820",1,"IUPAT",NA,"Still Open",NA
"18-RC-390476","Region 18, Minneapolis, Minnesota","Painters USA, Inc.",2026-07-09,NA,"Eagle","WI",NA,NA,16,NA,"International Union of Painters and Allied Trades, District Council No. 7, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union of Painters and Allied Trades, District Council No. 7, AFL-CIO",1,"IUPAT",NA,"Still Open",NA
"19-RD-389346","Region 19, Seattle, Washington","Specialty Finishes LLC",2026-06-23,NA,"Seattle","WA",NA,NA,30,NA,"International Union of Painters and Allied Trades, District Council 5, Locals 300 and 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RD","No","International Union of Painters and Allied Trades, District Council 5, Locals 300 and 10",1,"IUPAT",NA,"Still Open",NA
"22-RC-374637","Region 22, Newark, New Jersey","MIDWAY GLASS & METAL INSTALLERS, INC.",2025-11-17,2025-12-29,"Midland Park","NJ","A",2025-12-17,17,NA,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES DISTRICT COUNCIL 21",3,NA,NA,NA,NA,10,13,NA,7,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDING:  	All full-time and regular part-time glaziers, glassworkers, fabricators and installers employed by the Employer at 108 Greenwood Avenue Midland Park, New Jersey facility.

EXCLUDING:  	All office clerical employees, managerial employees, guards, professional employees and supervisors as defined in the Act, and all other employees",NA,NA,NA,30,2025-10-01,2025-10-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES DISTRICT COUNCIL 21",1,"IUPAT",0.230769230769231,"No",4
"05-RC-374415","Region 05, Baltimore, Maryland","Atlantic Windows, Inc.",2025-10-20,NA,"Fort Washington","MD","A",2026-01-21,34,8,"District Council No. 51, Local 1937, International Union of Painters and Allied Trades",5,NA,NA,NA,NA,7,12,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time glazing employees employed by the Employer, but excluding all other employees, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,93,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","District Council No. 51, Local 1937, International Union of Painters and Allied Trades",1,"IUPAT",0.416666666666667,"Still Open",22
"18-RD-372869","Region 18, Minneapolis, Minnesota","J & A Glass and Mirror, Inc.",2025-09-08,2025-12-16,"Rogers","MN","A",2025-12-08,13,NA,"International Union of Painters and Allied Trades District Council 82",0,NA,NA,NA,NA,6,6,NA,5,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All commercial glaziers employed by the Company, excluding supervisors, managers, and guards as defined in the National Labor Relations Act and all other employees.",NA,NA,NA,91,2025-10-01,2025-07-01,"11-25",TRUE,"RD","Yes","International Union of Painters and Allied Trades District Council 82",1,"IUPAT",0,"No",7
"13-RC-367223","Region 13, Chicago, Illinois","CCS Contractor Equipment and Supply, Inc. d/b/a SureBuilt Concrete Forms & Accessories",2025-06-10,2025-07-31,"Melrose Park","IL","A",2025-07-23,136,NA,"Painters District Council No. 14",43,NA,NA,NA,NA,81,124,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All solely and/or jointly employed full-time, regular part-time, and supplied staffing production and production support employees in all departments, including leads, employed by the Employer at its facility currently located at 2500 Armitage Avenue, Melrose Park, IL. 

Excluded: All office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,43,2025-07-01,2025-04-01,"101-500",TRUE,"RC","Yes","Painters District Council No. 14",1,"IUPAT",0.346774193548387,"No",12
"32-RM-364769","Region 32, Oakland, California","Capital Glass, LLC",2025-04-30,2026-07-21,"Carson City","NV","A",2025-06-11,59,NA,"International Union of Painters & Allied Trades, District Council 16",12,NA,NA,NA,NA,33,45,NA,20,NA,NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time Commercial Glaziers, Lead Commercial Glaziers, Service glaziers, Lead Service Glaziers,  Residential Glaziers, and Lead Residential Glaziers employed by the Employer at or from its facilities located at 2951 N. Deer Run Road, Carson City, NV 89701 and 11331 S. Virginia Street, Suite 3, Reno, Nevada 89511; Excluding all other employees, managers, confidential employees, office clerical employees, guards, and supervisors as defined by the Act. 

Others permitted to vote The parties have agreed that fabrication glaziers, Shipping/Receiving Employees and drivers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,42,2025-04-01,2025-04-01,"51-100",TRUE,"RM","Yes","International Union of Painters & Allied Trades, District Council 16",1,"IUPAT",0.266666666666667,"Other",14
"14-RC-363987","Region 14, Saint Louis, Missouri","Prestige Painting Worldwide, LLC",2025-04-17,2025-05-29,"Lees Summit","MO","A",2025-05-16,19,1,"International Union of Painters and Allied Trades District Council 3, Local 2012",10,NA,NA,NA,NA,5,15,NA,3,NA,"International Union of Painters and Allied Trades District Council 3, Local 2012","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time painters and foremen employed by the Employer from its facility located at 3051 Southwest Boulevard, Kansas City, Missouri, but EXCLUDING office clerical employees, confidential employees, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2025-04-01,2025-04-01,"11-25",TRUE,"RC","Yes","International Union of Painters and Allied Trades District Council 3, Local 2012",1,"IUPAT",0.666666666666667,"Yes",4
"18-RD-362962","Region 18, Minneapolis, Minnesota","J & A Glass and Mirror, Inc.",2025-03-31,NA,"Rogers","MN",NA,NA,11,NA,"International Union of Painters and Allied Trades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-01-01,"11-25",TRUE,"RD","No","International Union of Painters and Allied Trades",1,"IUPAT",NA,"Still Open",NA
"18-RC-362022","Region 18, Minneapolis, Minnesota","Printpro, Inc. d/b/a Seven Corners Print & Promo",2025-03-14,2025-09-09,"Saint Paul","MN","A",2025-08-28,2,NA,"International Union of Painters and Allied Trades, Local 880 Sign and Display",2,NA,NA,NA,NA,0,2,NA,NA,NA,"International Union of Painters and Allied Trades, Local 880 Sign and Display","Initial","Revised Single Labor Org","Certific. of Representative","Closed","All full-time and regular part-time employees that perform screen printing on fabric employed by the Employer at its Minneapolis, Minnesota facility; excluding all other employees, office clericals, managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,167,2025-07-01,2025-01-01,"<5",TRUE,"RC","Yes","International Union of Painters and Allied Trades, Local 880 Sign and Display",1,"IUPAT",1,"Yes",0
