"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RC-388335","Region 19, Seattle, Washington","New Punch Bowl Portland LLC",2026-06-04,2026-07-20,"Portland","OR","A",2026-07-10,36,NA,"Punch Bowl United, affiliated with the Industrial Workers of the World",21,NA,NA,NA,NA,10,31,NA,NA,NA,"Punch Bowl United, affiliated with the Industrial Workers of the World","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: Included: All full-time and regular part-time employees employed by the Employer at its Portland, Oregon facility.

Excluded: All managers, confidential employees, office clerical employees, and guards and supervisors as defined in the Act.",NA,NA,NA,36,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","Punch Bowl United, affiliated with the Industrial Workers of the World",1,"IWW",0.67741935483871,"Yes",5
"19-RC-384011","Region 19, Seattle, Washington","MUJI U.S.A. Limited",2026-03-31,NA,"Portland","OR","A",2026-06-05,32,NA,"Industrial Workers of the World, Portland General Membership Branch",14,NA,NA,NA,NA,16,30,NA,NA,NA,"MUJI Workers United, affiliated with Industrial Workers of the World, Portland General Membership Branch","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time employees, including sales associates, stock associates, visual associates, merchandise associates, visual merchandise associates, and key holders employed by the Employer at its retail facility located at 621 SW 5th Avenue, Portland, Oregon 97204.

Excluded: All Store Managers, General Store Managers, Assistant Store Managers, Visual Managers, seasonal employees, office clerical employees, confidential employees, and guards and supervisors as defined in the Act.
",NA,NA,NA,66,2026-04-01,2026-01-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World, Portland General Membership Branch",1,"IWW",0.466666666666667,"Still Open",2
"19-RD-367705","Region 19, Seattle, Washington","Burgerville LLC",2025-06-17,2026-04-06,"Portland","OR","A",2025-07-16,22,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",8,NA,NA,NA,NA,5,13,NA,2,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time crew members employed by the Employer at its Burgerville #32 facility located at 1122 SE Hawthorne Blvd., Portland, Oregon.

Excluded: Team managers, and guards and supervisors as defined by the Act.",NA,NA,NA,29,2025-07-01,2025-04-01,"11-25",TRUE,"RD","Yes","Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",1,"IWW",0.615384615384615,"Yes",9
"19-RD-367705","Region 19, Seattle, Washington","Burgerville LLC",2025-06-17,2026-04-06,"Portland","OR","A",2025-07-16,22,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",8,NA,NA,NA,NA,5,13,NA,2,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time crew members employed by the Employer at its Burgerville #32 facility located at 1122 SE Hawthorne Blvd., Portland, Oregon.

Excluded: Team managers, and guards and supervisors as defined by the Act.",NA,NA,NA,29,2025-07-01,2025-04-01,"11-25",FALSE,"RD","Yes","Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",1,"IWW",0.615384615384615,"No",9
"32-RC-358139","Region 32, Oakland, California","Anti Police-Terror Project, Inc.",2025-01-09,2025-07-21,"Oakland","CA","A",2025-02-07,10,NA,"The Industrial Workers of the World, SF Bay Area Branch",4,NA,NA,NA,NA,3,7,NA,3,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time Communications Coordinators, Community & Family Resource Coordinator, Healing Justice Coordinators, Volunteer Coordinators, Senior Manager of Special Projects, and Senior Manager of Organizing, excluding Deputy Director, Director of Impact & Capacity, Director of Organizing, Director of Resource Mobilization, Healing Justice Director, and confidential employees, guards, and supervisors as defined by the Act.

Others permitted to vote: The parties have agreed that the Senior Manager of Alternatives and Senior Executive Assistant may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,29,2025-01-01,2025-01-01,"6-10",TRUE,"RC","Yes","The Industrial Workers of the World, SF Bay Area Branch",1,"IWW",0.571428571428571,"Other",3
"18-RC-356638","Region 18, Minneapolis, Minnesota","CLC Operating LLC",2024-12-12,2025-01-28,"Little Canada","MN","A",2025-01-18,36,NA,"Industrial Workers of the World, North Star Branch",6,NA,NA,NA,NA,23,29,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time crew members employed by the Employer at its facility currently located at 2880 Rice Street, Little Canada, Minnesota.
Excluded: All Managers, office clerical employees, managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,37,2025-01-01,2024-10-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World, North Star Branch",1,"IWW",0.206896551724138,"No",7
"05-RM-353609","Region 05, Baltimore, Maryland","New Virginia Majority",2024-10-28,NA,"Alexandria","VA",NA,NA,42,NA,"NVM Nova Canvassers Union/IWW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2024-10-01,"26-50",TRUE,"RM","No","NVM Nova Canvassers Union/IWW",1,"IWW",NA,"Still Open",NA
"19-RC-350815","Region 19, Seattle, Washington","Peet's Coffee, Inc.",2024-09-18,2024-11-01,"Portland","OR","A",2024-10-24,12,NA,"The Industrial Workers of the World, Portland Branch",11,NA,NA,NA,NA,0,11,NA,NA,NA,"The Industrial Workers of the World, Portland Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Leads employed by the Employer at its facility located at 1441 NE Broadway Street, Portland, Oregon 97232. 

Excluded: All other employees, Managers, Assistant Store Managers, confidential employees, office clerical employees, and guards and supervisors as defined by the Act.",NA,NA,NA,36,2024-10-01,2024-07-01,"11-25",TRUE,"RC","Yes","The Industrial Workers of the World, Portland Branch",1,"IWW",1,"Yes",1
"32-RC-345875","Region 32, Oakland, California","Peet's Coffee Inc.",2024-07-08,2024-08-23,"Berkeley","CA","A",2024-08-07,17,NA,"The Industrial Workers of the World, San Francisco Bay Area General Membership Branch",12,NA,NA,NA,NA,3,15,NA,NA,NA,"The Industrial Workers of the World, San Francisco Bay Area General Membership Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Baristas and Shift Leads employed by the Employer at its facility located at 1776 4th Street, Berkeley, CA 94710; excluding Managers, Assistant Store Managers, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,30,2024-07-01,2024-07-01,"11-25",TRUE,"RC","Yes","The Industrial Workers of the World, San Francisco Bay Area General Membership Branch",1,"IWW",0.8,"Yes",2
"20-RC-343989","Region 20, San Francisco, California","CounterPulse",2024-06-07,2024-07-11,"San Francisco","CA","A",2024-06-25,19,NA,"Industrial Workers of the World, SF Bay Area Branch",11,NA,NA,NA,NA,0,11,NA,2,NA,"Industrial Workers of the World, SF Bay Area Branch","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,18,2024-04-01,2024-04-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World, SF Bay Area Branch",1,"IWW",1,"Yes",8
"19-RC-341415","Region 19, Seattle, Washington","Krause Foods LLC d/b/a Fried Egg I'm In Love",2024-05-02,2024-06-07,"Portland","OR","A",2024-05-30,32,NA,"Fried Egg Workers Union affiliated with Industrial Workers of the World",20,NA,NA,NA,NA,4,24,NA,5,NA,"Fried Egg Workers Union affiliated with Industrial Workers of the World","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time employees employed by the Employer and working at its Commissary Kitchen, Hawthorne Boulevard, Mississippi Avenue, and Pioneer Square locations in the Portland, Oregon area.
Excluded: Administrative staff, human resources staff, and guards and supervisors as defined by the Act.",NA,NA,NA,28,2024-04-01,2024-04-01,"26-50",TRUE,"RC","Yes","Fried Egg Workers Union affiliated with Industrial Workers of the World",1,"IWW",0.833333333333333,"Yes",8
"32-RC-319854","Region 32, Oakland, California","Peet's Coffee, Inc.",2023-06-13,2023-08-03,"Oakland","CA","A",2023-07-26,16,NA,"Industrial Workers of the World, San Francisco Bay Area Branch",8,NA,NA,NA,NA,7,15,NA,NA,NA,"Industrial Workers of the World, San Francisco Bay Area Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Baristas, Shift leads, and Team members employed by the Employer at its facility located 4050 Piedmont Ave, Oakland, CA, 94611; excluding seasonal employees, temporary employees, managers, office clerical employees, guards, and supervisors as defined by the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,43,2023-07-01,2023-04-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World, San Francisco Bay Area Branch",1,"IWW",0.533333333333333,"Yes",1
"32-RC-319881","Region 32, Oakland, California","Peet's Coffee, Inc.",2023-06-12,2023-08-03,"Berkeley","CA","A",2023-07-26,17,NA,"Industrial Workers of the World, San Francisco Bay Area Branch",9,NA,NA,NA,NA,0,9,NA,NA,NA,"Industrial Workers of the World, San Francisco Bay Area Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Baristas, Shift leads, and Team members employed by the Employer at its facility located at 2501 Telegraph Ave., Berkeley, CA 94704; excluding seasonal employees, temporary employees, managers, office clerical employees, guards, and supervisors as defined by the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,44,2023-07-01,2023-04-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World, San Francisco Bay Area Branch",1,"IWW",1,"Yes",8
"32-RC-319868","Region 32, Oakland, California","Peet's Coffee, Inc.",2023-06-12,2023-08-03,"Oakland","CA","A",2023-07-26,20,NA,"Industrial Workers of the World, San Francisco Bay Area Branch",16,NA,NA,NA,NA,0,16,NA,2,NA,"Industrial Workers of the World, San Francisco Bay Area Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Baristas, Shift leads, and Team members employed by the Employer at its facility located at 5095 Telegraph Ave Suite #1
Oakland, CA 94609; excluding seasonal employees, temporary employees, managers, office clerical employees, guards, and supervisors as defined by the Act.
 
Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,44,2023-07-01,2023-04-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World, San Francisco Bay Area Branch",1,"IWW",1,"Yes",4
"20-RC-314838","Region 20, San Francisco, California","Copperfield’s Books, Inc.",2023-03-27,2023-05-11,"Petaluma","CA","A",2023-04-28,41,NA,"Industrial Workers of the World, San Francisco Bay Area Branch",13,NA,NA,NA,NA,2,15,NA,3,NA,"Industrial Workers of the World, San Francisco Bay Area Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time book clerks employed by the Employer at its facility located at 140 Kentucky Street, Petaluma, California. 
 
Excluded: All other employees; managers; guards; and supervisors as defined in the Act.",NA,NA,NA,32,2023-04-01,2023-01-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World, San Francisco Bay Area Branch",1,"IWW",0.866666666666667,"Yes",26
"32-RC-313898","Region 32, Oakland, California","Ecology Center",2023-03-13,2023-05-24,"Berkeley","CA","A",2023-05-04,18,NA,"Industrial Workers of the World (IWW)",12,NA,NA,NA,NA,0,12,NA,1,NA,"Industrial Workers of the World (IWW)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Program Coordinators I, Program Coordinators II, Program Associates, Program Associates, On-Call, and Program Managers I employed by the Employer at its facility located at 2530 San Pablo Avenue, Berkeley CA 94702, 1231 2nd Street, Berkeley CA 94710, and the ecology center’s Berkeley Farmers’ Markets located at Center Street @ M. L. King, Jr. Way, Shattuck Avenue @ Vine Street and Adeline Street and 63rd Street; 

Excluding Executive Directors, Deputy Directors,  Food and Farming Program Directors, Finance Directors, Development  Directors, Community Engagement Program Directors, Youth  Development  Program Managers,  Farmers’ Market Access and Equity Program Managers, Food and Farming Program Managers, Recycling Program Managers, HR Managers, Store Program Managers, Education & Engagement Program Managers, Farmers' Market Operations Managers, Administrative Services Managers, Payroll and Benefits Coordinators, Accounting Coordinators,  confidential employees, office clerical employees, guards, and supervisors as defined by the Act


Others permitted to vote: The parties have agreed that youth program assistants may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,52,2023-04-01,2023-01-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World (IWW)",1,"IWW",1,"Yes",6
"32-RC-311497","Region 32, Oakland, California","URBAN ORE",2023-02-03,2023-06-01,"Oakland","CA","A",2023-04-07,31,1,"Industrial Workers of the World (IWW)",14,NA,NA,NA,NA,7,21,NA,5,NA,"Industrial Workers of the World (IWW)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time building material employees, receiving employees, outside traders, online sales employees, general store employees, and salvage and recycling employees employed by the Employer at or from 900 Murray St. Berkeley CA 94710; excluding managers, confidential employees, office clerical employees, and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that the assistant managers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,63,2023-04-01,2023-01-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World (IWW)",1,"IWW",0.666666666666667,"Yes",10
"01-RC-294173","Region 01, Boston, Massachusetts","City Feed & Supply",2022-04-18,2022-06-23,"Jamaica Plain","MA","A",2022-06-14,36,NA,"Industrial Workers of the World, Boston General Membership Branch",20,NA,NA,NA,NA,10,0,NA,NA,NA,"Industrial Workers of the World, Boston General Membership Branch","Initial","Single Labor Organization","Certific. of Representative","Closed","Including: All full-time and regular part-time cashiers, baristas, deli staff, and floor staff employed by the Employer at its 672 Centre St, Jamaica Plain, MA 02130 and 66 Boylston St, Jamaica Plain, MA 02130 locations.

Excluding: any individual employed by their parent or spouse, confidential employees, office clerical employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,57,2022-04-01,2022-04-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World, Boston General Membership Branch",1,"IWW",NA,"Yes",6
"20-RC-290161","Region 20, San Francisco, California","Nitricity, Inc.",2022-02-07,2023-01-09,"San Francisco","CA","A",2022-04-06,10,NA,"The Industrial Workers of the World, San Francisco Bay Area General Membership Branch",5,NA,NA,NA,NA,5,10,NA,1,"Y",NA,"Initial","Single Labor Organization","Withdrawal Adjusted","Closed","VOTING GROUP – UNIT A (Professional Unit): 
 
Included: All full-time and regular part-time Engineers, Technicians, and Head of Power Electronics.  
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.","VOTING GROUP – UNIT B (Non-Professional Unit): 
 
Included: All full-time and regular part-time Administrative Assistants. 
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.","VOTING GROUP – UNIT B (Non-Professional Unit): 
 
Included: All full-time and regular part-time Administrative Assistants. 
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.","VOTING GROUP – UNIT B (Non-Professional Unit): 
 
Included: All full-time and regular part-time Administrative Assistants. 
Excluded: All other employees, confidential employees, managers, guards and supervisors as defined in the Act.",58,2022-04-01,2022-01-01,"6-10",TRUE,"RC","Yes","The Industrial Workers of the World, San Francisco Bay Area General Membership Branch",1,"IWW",0.5,"Other",0
"09-RC-276218","Region 09, Cincinnati, Ohio","OHIO RIVER VALLEY ENVIRONMENTAL COALITION, INC.",2021-04-26,2021-09-28,"Huntington","WV","A",2021-07-09,6,NA,"OVEC Union affiliated with the Industrial Workers of the World",3,NA,NA,NA,NA,0,3,NA,2,NA,"OVEC Union affiliated with the Industrial Workers of the World","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time non-supervisory employees employed by the Employer out of its office located at 725-14th Street, West, Huntington, West Virginia 25704, including all community organizers, project coordinators, communication specialists, and the director of organizing; but excluding all office clerical employees, the executive director, the director of development, the administrative director, and all professional employees, guards and supervisors as defined in the Act",NA,NA,NA,74,2021-07-01,2021-04-01,"6-10",TRUE,"RC","Yes","OVEC Union affiliated with the Industrial Workers of the World",1,"IWW",1,"Yes",3
"19-RM-242193","Region 19, Seattle, Washington","Chanticleer Holdings, Inc. d/b/a Little Big Burger",2019-05-24,2020-10-05,"Portland","OR","A",2019-07-23,109,1,"Little Big Union/Industrial Workers of the World",29,NA,NA,NA,NA,41,70,NA,12,NA,NA,"Initial","Single Labor Organization","Dismissal Non-adjusted","Closed","Included: All full-time and regular part-time associates and key shift employees employed by the Employer at the following locations: 7705 S.W. Capitol Highway; 787 N.E. Holladay Street; 122 N.W. 10th Avenue; 930 23rd Avenue; 3747 N. Mississippi Avenue; 2038 N.E. Alberta Street; 2028 S.E. Hawthorne Boulevard; 3810 S.E. Division Street; and 3704 S.W. Bond Avenue in Portland, Oregon; 940 N.E. Orenco Station Loop, #41, Hillsboro, Oregon; 12345 S.W. Horizon Boulevard, Beaverton, Oregon; and 3 Monroe Parkway, Suite T, Lake Oswego, Oregon. Excluded: All other employees, managers, office clerical workers, guards and supervisors as defined in the Act.",NA,NA,NA,60,2019-07-01,2019-04-01,"101-500",TRUE,"RM","Yes","Little Big Union/Industrial Workers of the World",1,"IWW",0.414285714285714,"Other",39
"19-RC-237657","Region 19, Seattle, Washington","Burgerville LLC",2019-03-13,2019-04-15,"Portland","OR","A",2019-04-05,37,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",14,NA,NA,NA,NA,7,21,NA,NA,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time crew members employed at the Employer’s facility (Burgerville #14) located at 1135 NE Martin Luther King Blvd., Portland, Oregon; but excluding guards and supervisors as defined by the Act.",NA,NA,NA,23,2019-04-01,2019-01-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",1,"IWW",0.666666666666667,"Yes",16
"19-RC-237656","Region 19, Seattle, Washington","Burgerville LLC",2019-03-13,2019-04-11,"Portland","OR","A",2019-04-03,28,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",15,NA,NA,NA,NA,9,24,NA,1,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time crew members employed at the Employer’s facility (Burgerville #4) located at 8218 NE Glisan St., Portland, Oregon; but excluding guards and supervisors as defined by the Act.",NA,NA,NA,21,2019-04-01,2019-01-01,"26-50",TRUE,"RC","Yes","Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",1,"IWW",0.625,"Yes",4
"19-RC-231200","Region 19, Seattle, Washington","Burgerville LLC",2018-11-16,2018-12-19,"Portland","OR","A",2018-12-11,25,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",13,NA,NA,NA,NA,9,22,NA,NA,NA,"Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time crew members employed at the Employer’s facility (Burgerville #32) located at 1122 SE Hawthorne Blvd., Portland, Oregon; but excluding team managers, and guards and supervisors as defined by the Act.",NA,NA,NA,25,2018-10-01,2018-10-01,"11-25",TRUE,"RC","Yes","Industrial Workers of the World - Portland Chapter d/b/a Burgerville Workers Union",1,"IWW",0.590909090909091,"Yes",3
"20-RC-220259","Region 20, San Francisco, California","Bio-Medical Applications of California, Inc. and Bio-Medical Applications of Eureka, Inc. d/b/a Fresenius Kidney Care",2018-05-15,2018-06-18,"Eureka","CA","A",2018-06-08,10,NA,"IWW Health Service Workers IU610",0,NA,NA,NA,NA,8,8,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Voting Group Unit A (Professional Unit):
Included: All full-time, regular part-time, and per diem Registered Nurses; Staff Home Therapy Registered Nurses; Outpatient Registered Nurses; Dieticians; and Facility Master of Social Workers II.
            Excluded: All Patient Care Technicians I, II, and III Preceptors; Biomedical Technicians  
           I, managers, guards and supervisors as defined in the Act.  

Voting Group Unit B (Non-Professional Unit):
Included: All full-time, regular part-time, and per diem Patient Care Technicians I, II, and III Preceptors.
	Excluded: All Biomedical Technicians I; Registered Nurses; Staff Home Therapy  
           Registered Nurses; Outpatient Registered Nurses; Dieticians; and Facility Master of  
           Social Workers II; managers, guards and supervisors as defined in the Act.",NA,NA,NA,24,2018-04-01,2018-04-01,"6-10",TRUE,"RC","Yes","IWW Health Service Workers IU610",1,"IWW",0,"No",2
"20-RC-220259","Region 20, San Francisco, California","Bio-Medical Applications of California, Inc. and Bio-Medical Applications of Eureka, Inc. d/b/a Fresenius Kidney Care",2018-05-15,2018-06-18,"Eureka","CA","B",2018-06-08,16,NA,"IWW Health Service Workers IU610",3,NA,NA,NA,NA,10,13,NA,4,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Voting Group Unit A (Professional Unit):
Included: All full-time, regular part-time, and per diem Registered Nurses; Staff Home Therapy Registered Nurses; Outpatient Registered Nurses; Dieticians; and Facility Master of Social Workers II.
            Excluded: All Patient Care Technicians I, II, and III Preceptors; Biomedical Technicians  
           I, managers, guards and supervisors as defined in the Act.  

Voting Group Unit B (Non-Professional Unit):
Included: All full-time, regular part-time, and per diem Patient Care Technicians I, II, and III Preceptors.
	Excluded: All Biomedical Technicians I; Registered Nurses; Staff Home Therapy  
           Registered Nurses; Outpatient Registered Nurses; Dieticians; and Facility Master of  
           Social Workers II; managers, guards and supervisors as defined in the Act.",NA,NA,NA,24,2018-04-01,2018-04-01,"11-25",TRUE,"RC","Yes","IWW Health Service Workers IU610",1,"IWW",0.230769230769231,"No",3
"15-RC-219990","Region 15, New Orleans, Louisiana","Grassroots Campaigns Inc.",2018-05-10,2018-08-07,"New Orleans","LA","A",2018-07-18,10,NA,"Industrial Workers of the World (IWW)",5,NA,NA,NA,NA,4,9,NA,NA,NA,"Industrial Workers of the World (IWW)","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included: All full time and regular part time employees employed at the Employer’s Facility located at 200 South Broad Street, Suite 8A, New Orleans, Louisiana.

Excluded: All office clerical employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,69,2018-07-01,2018-04-01,"6-10",TRUE,"RC","Yes","Industrial Workers of the World (IWW)",1,"IWW",0.555555555555556,"Yes",1
"15-RC-219990","Region 15, New Orleans, Louisiana","Grassroots Campaigns Inc.",2018-05-10,2018-08-07,"New Orleans","LA","A",2018-06-07,10,NA,"Industrial Workers of the World (IWW)",5,NA,NA,NA,NA,4,9,NA,5,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part time employees employed at the Employer’s Facility located at 200 South Broad Street, Suite 8A, New Orleans, Louisiana.

Excluded: All office clerical employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,28,2018-04-01,2018-04-01,"6-10",FALSE,"RC","Yes","Industrial Workers of the World (IWW)",1,"IWW",0.555555555555556,"Yes",1
