"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RC-391390","Region 02, New York, New York","DXO East Productions, LLC.",2026-07-22,NA,"New York","NY",NA,NA,26,NA,"Laborers International Union of North America, Local 724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Laborers International Union of North America, Local 724",1,"LIUNA",NA,"Still Open",NA
"22-RC-390478","Region 22, Newark, New Jersey","CBS STUDIOS, INC.",2026-07-10,2026-08-11,"Kearny","NJ","A",2026-07-29,25,NA,"LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724",13,NA,NA,NA,NA,0,13,NA,3,NA,"LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All full-time and regular part-time Production Assistants (PA) including 1st Team Production Assistants, Art Department Production Assistants, Construction Production Assistants, Costume Department Production Assistants, Office Production Assistants, Key Set Production Assistants, Set Production Assistants, Additional Set Production Assistants, Paperwork Production Assistants, Unit Production Assistants, and Walkie Production Assistants employed by the Employer on the episodic television production entitled “Cupertino” at its 10 Basin Drive, Kearny, New Jersey facility. 
EXCLUDED:  	All Office Clerical Employees, Guards, Professional Employees, and Supervisors as defined in the Act, and all other employees.
OTHERS PERMITTED TO VOTE: The parties have agreed that the following employees may vote in the election but their ballots will be challenged since their eligibility has not been resolved: Executive Producers’ Assistants, Producers’ Assistants, Production Secretaries, and Showrunners’ Assistants.
No decision has been made regarding whether these classifications are included or excluded from the bargaining unit(s). The eligibility or inclusion of these employees will be resolved, including any community of interest issues, if necessary, following the election.",NA,NA,NA,19,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724",1,"LIUNA",1,"Yes",12
"02-RM-389897","Region 02, New York, New York","AOD Movie, LLC",2026-07-01,NA,"New York","NY",NA,NA,12,NA,"Laborers International Union of North America, Local 724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RM","No","Laborers International Union of North America, Local 724",1,"LIUNA",NA,"Still Open",NA
"19-RC-389291","Region 19, Seattle, Washington","RIP City Management LLC",2026-06-22,2026-08-10,"Portland","OR","A",2026-08-01,36,NA,"Laborers International Union of North America, Local 737",23,NA,NA,NA,NA,1,24,NA,2,NA,"Laborers International Union of North America, Local 737","Initial","Single Labor Organization","Certific. of Representative","Closed","Including: All full-time and regular part-time employees in the Parking Department, including Parking Cashiers, Parking Flaggers, and Parking Lead Flaggers employed by the Employer at its facility located at One Center Court, Suite 150 Portland, OR 97227. 
Excluding: Managerial employees, Parking Valets, and guards and supervisors as defined by the Act.",NA,NA,NA,40,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","Laborers International Union of North America, Local 737",1,"LIUNA",0.958333333333333,"Yes",12
"03-RC-386550","Region 03, Buffalo, New York","AMMEGA US, Inc.",2026-05-07,2026-06-25,"Beacon","NY","A",2026-06-16,9,NA,"Eastern New York Laborers District Council Local 235",7,NA,NA,NA,NA,2,9,NA,NA,NA,"Eastern New York Laborers District Council Local 235","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time employees in the following titles: Maintenance Engineers, Electricians, Mechanics, Welders and Janitors employed by the Employer at its Beacon facility located at 483 Fishkill Ave., Beacon, NY 12508.
EXCLUDED: Production employees, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,40,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","Eastern New York Laborers District Council Local 235",1,"LIUNA",0.777777777777778,"Yes",0
"29-RC-386045","Region 29, Brooklyn, New York","Nico Asphalt Paving, Inc - Citywide Paving, Inc.",2026-04-30,NA,"Brooklyn","NY",NA,NA,30,NA,"Laborers Local Union No. 1010, LIUNA, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No","Laborers Local Union No. 1010, LIUNA, AFL-CIO",1,"LIUNA",NA,"Still Open",NA
"19-RD-384766","Region 19, Seattle, Washington","Oregon Child Development Coalition, Inc.",2026-04-13,2026-06-04,"Hillsboro","OR","A",2026-05-27,107,NA,"Laborers International Union of North America, Local 737",14,NA,NA,NA,NA,31,45,NA,4,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All professional and non-professional employees of the Oregon Child Development Coalition, Inc., Washington County, excluding confidential employees, managerial employees, guards, and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,44,2026-04-01,2026-04-01,"101-500",TRUE,"RD","Yes","Laborers International Union of North America, Local 737",1,"LIUNA",0.311111111111111,"No",62
"14-RC-383653","Region 14, Saint Louis, Missouri","The Doe Run Resources Corporation d/b/a The Doe Run Company",2026-03-26,2026-05-18,"Viburnum","MO","A",2026-05-07,482,NA,"Laborers International Union of North America, Local 829",153,NA,NA,NA,NA,296,450,NA,1,NA,"Laborers International Union of North America, Local 829","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time hourly miners, mill workers, surveyors, and maintenance workers employed by the Employer at its facilities located at 1961 Highway 32 , Bixby, MO 65439; 10827 Highway KK, Boss, MO 65440; 270ForestRoad2231 , Boss, MO 65440; 230 County Road 849, Centerville, MO 63633; 1382 Sweetwater Mine Road, Ellington, MO 63638; and 10774 Wells Road, Steelville, MO 65565 
Excluded: All other employees, including office clerical employees, confidential employees, professional employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,42,2026-04-01,2026-01-01,"101-500",TRUE,"RC","Yes","Laborers International Union of North America, Local 829",1,"LIUNA",0.34075723830735,"No",33
"14-RD-383594","Region 14, Saint Louis, Missouri","Forterra Pipe & Precast LLC d/b/a Rinker Materials",2026-03-25,2026-05-04,"Bonner Springs","KS","A",2026-04-23,19,1,"Heavy Construction Laborers' Local Union No. 663",7,NA,NA,NA,NA,8,15,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees engaged in production at the Employer's business located at 23600 West 40th Street, Shawnee, Kansas 66226 
Excluded: All office clerical employees, maintenance employees, quality control employees, confidential employees, guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,29,2026-04-01,2026-01-01,"11-25",TRUE,"RD","Yes","Heavy Construction Laborers' Local Union No. 663",1,"LIUNA",0.466666666666667,"No",4
"19-RC-382945","Region 19, Seattle, Washington","Traffic Management, LLC",2026-03-16,2026-06-17,"Auburn","WA","A",2026-06-01,53,NA,"Laborers International Union of North America (LIUNA), Washington and Northern Idaho District Council of Laborers and its affiliated Local Unions",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time Traffic Controllers working in or out of the Employer’s facilities in Auburn, Washington, and Marysville, Washington, excluding office and clerical workers, managerial employees, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,77,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","Laborers International Union of North America (LIUNA), Washington and Northern Idaho District Council of Laborers and its affiliated Local Unions",1,"LIUNA",NA,"Other",53
