"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"13-RC-392489","Region 13, Chicago, Illinois","The Adler Planetarium",2026-08-10,NA,"Chicago","IL",NA,NA,1,NA,"Adler Planetarium Workers United, AFSCME Council 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Adler Planetarium Workers United, AFSCME Council 31",2,"Multiple",NA,"Still Open",NA
"32-RD-391861","Region 32, Oakland, California","Monterey Bay Aquarium",2026-07-29,NA,"Monterey","CA",NA,NA,344,NA,"Monterey Bay Aquarium Workers United, AFSCME Council 57, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RD","No","Monterey Bay Aquarium Workers United, AFSCME Council 57, AFL-CIO",2,"Multiple",NA,"Still Open",NA
"28-RC-389115","Region 28, Phoenix, Arizona","Banner Medical Group, Inc.",2026-06-17,NA,"Phoenix","AZ",NA,NA,243,NA,"Union of American Physicians and Dentists a/w AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No","Union of American Physicians and Dentists a/w AFSCME, AFL-CIO",2,"Multiple",NA,"Still Open",NA
"07-RC-389232","Region 07, Detroit, Michigan","Starbucks Corporation",2026-06-10,2026-07-28,"Westland","MI","A",2026-07-20,18,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",10,NA,NA,NA,NA,5,15,NA,NA,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its store currently located at 36545 Warren Rd, Westland, Michigan.

EXCLUDED:  All other employees, including all office clerical employees, professional 
employees, store managers, coffeehouse leaders, assistant store managers, guards, and 
supervisors as defined by the Act.",NA,NA,NA,40,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",2,"Multiple",0.666666666666667,"Yes",3
"01-RC-388596","Region 01, Boston, Massachusetts","Boston Bouldering Project, LLC",2026-06-10,2026-07-17,"Somerville","MA","A",2026-07-09,75,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",42,NA,NA,NA,NA,6,54,NA,6,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer at its facility at 12A Tyler St, Somerville, MA 02143.

Excluded: All seasonal employees, office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.

Others permitted to vote: The parties agree that the classification of Adult Program Coordinator may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual(s) in this classification or group are included in or excluded from the bargaining unit. The eligibility or inclusion of these individual(s), if any, will be resolved, if necessary, following the election.",NA,NA,NA,29,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",2,"Multiple",0.875,"Yes",27
"04-RD-388660","Region 04, Philadelphia, Pennsylvania","Wells Fargo Bank, N.A.",2026-06-10,2026-07-16,"Egg Harbor City","NJ","A",2026-07-08,9,NA,"Wells Fargo Workers United affiliated with Communications Workers of America, AFL-CIO",5,NA,NA,NA,NA,4,9,NA,NA,NA,"Wells Fargo Workers United affiliated with Communications Workers of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Tellers, Personal Bankers, and Branch   Operations Coordinators employed by the Employer at its facility located at 273 W. White Horse Pike, Egg Harbor City, New Jersey.

EXCLUDED: All other employees, Branch Managers, Branch Service Managers, Financial Advisors, Confidential Employees, Office Clerical Employees, Guards and Supervisors as defined in the Act.",NA,NA,NA,28,2026-07-01,2026-04-01,"6-10",TRUE,"RD","Yes","Wells Fargo Workers United affiliated with Communications Workers of America, AFL-CIO",2,"Multiple",0.555555555555556,"Yes",0
"02-RC-385989","Region 02, New York, New York","Hachette Book Group, Inc.",2026-04-30,2026-07-15,"New York","NY","A",2026-07-07,654,1,"Washington Baltimore News Guild, the News Guild-CWA Local 32035",388,NA,NA,NA,NA,130,549,NA,NA,NA,"Washington Baltimore News Guild, the News Guild-CWA Local 32035","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by Hachette Book Group who were employed during the payroll period ending 4/26/2026

Excluded: All employees working out of the Indiana distribution center; employees working in Fulfillment-Customer Services, Fulfillment-Inventory Operations, Fulfillment-Claims, Fulfillment-Distribution Services, Fulfillment-Key Accounts, Fulfillment-Compliance, and Fulfillment-Administration; all Executive Management Board and Senior Management Group employees; the Human Resources Department; all attorneys in the Legal Department; all temporary employees, interns, and contractors; and all professional employees, confidential employees, guards, supervisors, and managers, as defined by the National Labor Relations Act.",NA,NA,NA,68,2026-07-01,2026-04-01,"500>",TRUE,"RC","Yes","Washington Baltimore News Guild, the News Guild-CWA Local 32035",2,"Multiple",0.749034749034749,"Yes",136
"19-RC-384872","Region 19, Seattle, Washington","Boulder Care Provider Group, P.A.",2026-04-15,2026-06-16,"Portland","OR","A",2026-06-08,100,1,"Union of American Physicians and Dentists, AFSCME Local 206, AFL-CIO",23,NA,NA,NA,NA,50,73,NA,12,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Clinical Care employees, including Doctors of Medicine and Nurse Practitioners employed by the Employer, including those working remotely from the Employer’s facility located at 111 SW Naito Parkway, Ste. 200 Portland, OR 97204.
Excluded: All other employees, Clinical Supervisors, Supervisor, Lead Registered Nurses, non-professional employees, managers, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,54,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","Union of American Physicians and Dentists, AFSCME Local 206, AFL-CIO",2,"Multiple",0.315068493150685,"No",27
"13-RC-383984","Region 13, Chicago, Illinois","American Library Association",2026-04-01,2026-06-04,"Chicago","IL","A",2026-05-27,93,NA,"American Library Association Workers United, AFSCME Council 31",77,NA,NA,NA,NA,4,81,NA,6,NA,"American Library Association Workers United, AFSCME Council 31","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees who are employed by the American Library Association. 

Excluded: All confidential employees, temporary employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,56,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","American Library Association Workers United, AFSCME Council 31",2,"Multiple",0.950617283950617,"Yes",12
"27-RD-383366","Region 27, Denver, Colorado","Wells Fargo Bank, N.A.",2026-03-23,NA,"Casper","WY",NA,NA,6,NA,"Wells Fargo Workers United, affiliated with Communications Workers of America Union, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RD","No","Wells Fargo Workers United, affiliated with Communications Workers of America Union, AFL-CIO",2,"Multiple",NA,"Still Open",NA
