"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-389459","Region 01, Boston, Massachusetts","Nexstar Media Group, Inc. d/b/a WTNH-TV",2026-06-25,2026-08-14,"New Haven","CT","A",2026-08-06,8,NA,"NATIONAL ASSOCIATION OF BROADCAST EMPLOYEES & TECHNICIANS-COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO",1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time digital producer employees employed by the Employer at its facility located at 8 Elm Street, New Haven, CT.

Excluded: All office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,42,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","NATIONAL ASSOCIATION OF BROADCAST EMPLOYEES & TECHNICIANS-COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO",1,"NABET",0.2,"No",3
"05-RC-389416","Region 05, Baltimore, Maryland","Nexstar Media Group, Inc. d/b/a WDCW-TV/WDVM-TV",2026-06-24,2026-08-12,"Washington","DC","A",2026-08-04,28,NA,"National Association of Broadcast Employees & Technicians, Local 31",19,NA,NA,NA,NA,5,24,NA,3,NA,"National Association of Broadcast Employees & Technicians, Local 31","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time digital producers, engineers, production technicians, feed room operators, photographers, directors, OBS directors, and assistant directors employed by the Employer at its facility currently located at 2121 Wisconsin Avenue, NW, Washington, DC; but excluding all other employees, guards, professional employees, clerical employees, managerial employees, and supervisors as defined by the Act. 

Others permitted to vote: The parties have agreed that the following classifications may vote in the election, but their ballots will be challenged since their eligibility has not been resolved: senior directors.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,41,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","National Association of Broadcast Employees & Technicians, Local 31",1,"NABET",0.791666666666667,"Yes",4
"13-RC-389272","Region 13, Chicago, Illinois","Weigel Broadcasting Co., through WCIU-TV Limited Partnership",2026-06-23,NA,"Chicago","IL",NA,NA,123,NA,"NABET-CWA, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No","NABET-CWA, AFL-CIO",1,"NABET",NA,"Still Open",NA
"08-RC-384209","Region 08, Cleveland, Ohio","Marquee Broadcasting Ohio, Inc. a/k/a WHIZ",2026-04-02,2026-05-18,"Zanesville","OH","A",2026-05-07,9,NA,"National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO",4,NA,NA,NA,NA,2,6,NA,1,NA,"National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Unit 1: (Television Talent) 
All full-time and regular part-time Television Talent employees employed by the Employer at its facility located at 629 Downard Road, Zanesville, OH 43701, but excluding television news production employees, master control operator employees, commercial production employees, traffic employees, IT employees, radio department employees, advertising and sales employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act. 


Unit 2: (Television News Production, Master Control Operators, and Commercial Production) 
All full-time and regular part-time Television News Production employees, Master Control Operators, and Commercial Production employees employed by the Employer at its facility located at 629 Downard Road, Zanesville, OH 43701, but excluding television talent employees, traffic employees, IT employees, radio department employees, advertising and sales employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,35,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO",1,"NABET",0.666666666666667,"Yes",3
"08-RC-384209","Region 08, Cleveland, Ohio","Marquee Broadcasting Ohio, Inc. a/k/a WHIZ",2026-04-02,2026-05-18,"Zanesville","OH","B",2026-05-07,18,NA,"National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO",10,NA,NA,NA,NA,0,10,NA,NA,NA,"National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Unit 1: (Television Talent) 
All full-time and regular part-time Television Talent employees employed by the Employer at its facility located at 629 Downard Road, Zanesville, OH 43701, but excluding television news production employees, master control operator employees, commercial production employees, traffic employees, IT employees, radio department employees, advertising and sales employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act. 


Unit 2: (Television News Production, Master Control Operators, and Commercial Production) 
All full-time and regular part-time Television News Production employees, Master Control Operators, and Commercial Production employees employed by the Employer at its facility located at 629 Downard Road, Zanesville, OH 43701, but excluding television talent employees, traffic employees, IT employees, radio department employees, advertising and sales employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,35,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO",1,"NABET",1,"Yes",8
"31-RC-376449","Region 31, Los Angeles, California","Globecast America, Inc.",2025-12-04,2026-01-27,"Westlake Village","CA","A",2026-01-14,35,NA,"National Association of Broadcast Employees & Technicians, the Broadcasting and Cable Television Workers Sector of the Communications Workers of America, AFL-CIO-CLC",12,NA,NA,NA,NA,17,29,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All twelve-hour shift Engineering and Technical employees employed by the Employer at its 2 Dole Drive, Westlake Village, CA 91362 location that perform work for YouTube TV and associated channels, including: Operations Technician/Toc Operator; Broadcast Operations Engineer; Operations Technician/Toc Supervisor; and Engineer N1.

Excluded: All office clerical employees, professional employees, guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,41,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","National Association of Broadcast Employees & Technicians, the Broadcasting and Cable Television Workers Sector of the Communications Workers of America, AFL-CIO-CLC",1,"NABET",0.413793103448276,"No",6
"13-RD-374595","Region 13, Chicago, Illinois","Program Productions LLC",2025-11-14,2026-01-22,"Chicago","IL","A",2026-01-13,126,1,"NABET-CWA Local 41",10,NA,NA,NA,NA,32,42,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All technical employees in Operations Groups I, II, and III of the Employer who work in studio or on remote locations within a 75-mile radius from City Hall in Chicago, IL, and/or 25-mile radius from City Hall in Rockford, IL.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,60,2026-01-01,2025-10-01,"101-500",TRUE,"RD","Yes","NABET-CWA Local 41",1,"NABET",0.238095238095238,"No",84
"31-RC-366890","Region 31, Los Angeles, California","Fox Television Stations, LLC d/b/a KTTV Fox 11",2025-06-04,NA,"Los Angeles","CA",NA,NA,4,NA,"National Association of Broadcast Employees & Technicians, the Broadcasting and Cable Television Workers Sector of the Communications Workers of America, AFL-CIO-CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-04-01,"<5",TRUE,"RC","No","National Association of Broadcast Employees & Technicians, the Broadcasting and Cable Television Workers Sector of the Communications Workers of America, AFL-CIO-CLC",1,"NABET",NA,"Still Open",NA
"02-RC-364684","Region 02, New York, New York","NBC Universal Media,  LLC",2025-04-30,2025-09-05,"New York","NY","A",2025-08-27,152,NA,"NABET-CWA",61,NA,NA,NA,NA,23,84,NA,2,NA,"NABET-CWA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time, and daily hire technical employees employed in New York City to perform control room and studio technical functions in connection with NBC News Now or MSNBC news programs, including Audio Engineers/A1s, Senir Audio Engineers, Technical Directors, Senior Technical Directors, Senior Control Room Operators, Video Operators/Lighting Directors, Video Operators/Lighting Operators, Senior Video Operators/Lighting Directors, Supervising Lighting Designers and Technical Associated who perform any technical work in the control room and studio, including stage managing, audio engineering, video operator, VLD/Robo [Video Operator, Lighting Director and Robotic Camera Operator Combo Role], camera operator, and prompter operator.

Excluded: All other employees, including managers, floor directors, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,119,2025-07-01,2025-04-01,"101-500",TRUE,"RC","Yes","NABET-CWA",1,"NABET",0.726190476190476,"Yes",68
"02-RC-364684","Region 02, New York, New York","NBC Universal Media,  LLC",2025-04-30,NA,"New York","NY","A",2025-08-27,152,NA,"NABET-CWA",61,NA,NA,NA,NA,23,84,NA,2,NA,"NABET-CWA","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time, and daily hire technical employees employed in New York City to perform control room and studio technical functions in connection with NBC News Now or MSNBC news programs, including Audio Engineers/A1s, Senir Audio Engineers, Technical Directors, Senior Technical Directors, Senior Control Room Operators, Video Operators/Lighting Directors, Video Operators/Lighting Operators, Senior Video Operators/Lighting Directors, Supervising Lighting Designers and Technical Associated who perform any technical work in the control room and studio, including stage managing, audio engineering, video operator, VLD/Robo [Video Operator, Lighting Director and Robotic Camera Operator Combo Role], camera operator, and prompter operator.

Excluded: All other employees, including managers, floor directors, guards, professional employees and supervisors as defined by the Act.
",NA,NA,NA,119,2025-07-01,2025-04-01,"101-500",FALSE,"RC","Yes","NABET-CWA",1,"NABET",0.726190476190476,"Still Open",68
