"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-384100","Region 01, Boston, Massachusetts","Hunter's Ambulance Service, Inc.",2026-04-02,2026-05-07,"Meriden","CT","A",2026-04-30,7,NA,"International Association of EMT's and Paramedics",3,NA,NA,NA,NA,1,4,NA,NA,NA,"International Association of EMT's and Paramedics","Initial","Single Labor Organization","Certification of Results","Closed","Included: All per diem EWs, AEMTs, EMT trainees, paramedics, emergency dispatchers, and emergency call receivers employed by Employer at its Meriden, East Meriden, Berlin, Middletown, and Wallingford, Connecticut facilities.

Excluded: All maintenance employees, wheelchair van drivers, special transportation department employees, once clerical employees, managers, guards, professional employees and supervisors as defined by the Act.

Per diem employees eligible to vote are those who averaged four (4) hours or more durIng the 13-week period preceding April 9, 2026, per Davison-Paron, 185 NLRB 2 (1970).",NA,NA,NA,28,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Association of EMT's and Paramedics",1,"NAGE",0.75,"No",3
"01-RC-381376","Region 01, Boston, Massachusetts","Y Access Transport, LLC",2026-02-18,2026-03-30,"North Haven","CT","A",2026-03-20,130,NA,"International Association of EMTs and Paramedics, National Association of Government Employees, Service Employees International Union, Local 5000",37,NA,NA,NA,NA,65,102,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time and per diem EMTs, Paramedics and Ground Transport Dispatchers employed by the Employer at its North Haven, Stamford, Stratford, and Milford, Connecticut facilities; but excluding wheelchair dispatchers, fleet maintenance mechanics, wheelchair van drivers, livery drivers, billers, customer service representatives, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,30,2026-01-01,2026-01-01,"101-500",TRUE,"RC","Yes","International Association of EMTs and Paramedics, National Association of Government Employees, Service Employees International Union, Local 5000",1,"NAGE",0.362745098039216,"No",28
"18-RC-377038","Region 18, Minneapolis, Minnesota","Allina Health System",2025-12-10,2026-02-09,"River Falls","WI","A",2026-01-23,34,NA,"International Association of EMT's and Paramedics/NAGE Local 167",25,NA,NA,NA,NA,3,28,NA,NA,NA,"International Association of EMT's and Paramedics/NAGE Local 167","Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and casual EMTs and Paramedics reporting out of the Employer’s River Falls, WI facility; excluding all other employees, managers and guards, and supervisors as defined in the Act.",NA,NA,NA,44,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","International Association of EMT's and Paramedics/NAGE Local 167",1,"NAGE",0.892857142857143,"No",6
"21-RC-364541","Region 21, Los Angeles, California","Emergency Ambulance Service, Inc.",2025-04-28,2025-06-05,"Brea","CA","A",2025-05-23,85,NA,"International Association of EMTs and Paramedics (IAEP), National Association of Government Employees (NAGE), SEIU Local 5000",35,NA,NA,NA,NA,37,72,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time, regular part-time, and per diem paramedics, EMTs, and dispatchers employed by the Employer.

Eligible to vote are all per diem employees in the unit who have worked an average of 4 hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded:  All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,25,2025-04-01,2025-04-01,"51-100",TRUE,"RC","Yes","International Association of EMTs and Paramedics (IAEP), National Association of Government Employees (NAGE), SEIU Local 5000",1,"NAGE",0.486111111111111,"No",13
"01-RC-363485","Region 01, Boston, Massachusetts","The Westerly Ambulance Corps, Inc.",2025-04-10,2025-05-12,"Westerly","RI","A",2025-05-02,14,NA,"International Association of EMTs and Paramedics (IAEP) / NAGE, SEIU Local 5000",7,NA,NA,NA,NA,0,7,NA,NA,NA,"International Association of EMTs and Paramedics (IAEP) / NAGE, SEIU Local 5000","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time, regular part-time, and per diem dispatchers employed by the Employer at its Westerly, RI facility; but excluding guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,22,2025-04-01,2025-04-01,"11-25",TRUE,"RC","Yes","International Association of EMTs and Paramedics (IAEP) / NAGE, SEIU Local 5000",1,"NAGE",1,"Yes",7
"10-RC-357755","Region 10, Atlanta, Georgia","UNIFI AVIATION, LLC",2025-01-06,2025-07-28,"Atlanta","GA","A",2025-02-08,356,NA,"National Association of Government Employees",147,NA,NA,NA,NA,105,252,NA,3,NA,"National Association of Government Employees","Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time Bus Driver Agents and Dispatch Agents in the Transportation Department employed by the Employer at its facilities located at 3939 Northwest Drive, College Park, Georgia 30337; but excluding all other employees, professional employees, managerial employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,33,2025-01-01,2025-01-01,"101-500",TRUE,"RC","Yes","National Association of Government Employees",1,"NAGE",0.583333333333333,"Other",104
"20-RC-355465","Region 20, San Francisco, California","American Medical Response",2024-11-25,2025-02-21,"Hilo","HI","A",2025-01-27,37,NA,"International Association of EMTs and Paramedics",18,NA,NA,NA,NA,9,27,NA,NA,NA,"International Association of EMTs and Paramedics","Initial","Single Labor Organization","Certific. of Representative","Closed","All regular full-time, part-time and per-diem Emergency Medical Technicians (EMTs) and Paramedics employed by the Employer at its Island of Hawai’i Operations with a primary location at 159 Kalanikoa Street #101, Hilo, Hawaii; excluding all other employees and supervisors as defined by the Act.",NA,NA,NA,63,2025-01-01,2024-10-01,"26-50",TRUE,"RC","Yes","International Association of EMTs and Paramedics",1,"NAGE",0.666666666666667,"Yes",10
"06-RC-332853","Region 06, Pittsburgh, Pennsylvania","Monongalia Emergency Medical Services, Inc., and AHS, LLC, Joint Employers",2024-01-03,2024-02-16,"Morgantown","WV","A",2024-02-07,99,1,"International Association of EMT's and Paramedics (IAEP), NAGE, SEIU Local 5000",49,NA,NA,NA,NA,23,72,NA,3,NA,"International Association of EMT's and Paramedics (IAEP), NAGE, SEIU Local 5000","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time, per-diem and casual Emergency Medical Technicians (EMTs), Advanced Emergency Medical Technicians (AEMTs), Paramedics, and Dispatchers. 

Excluded: All office clerical employees, guards, and supervisors as defined under the National Labor Relations Act.",NA,NA,NA,35,2024-01-01,2024-01-01,"51-100",TRUE,"RC","Yes","International Association of EMT's and Paramedics (IAEP), NAGE, SEIU Local 5000",1,"NAGE",0.680555555555556,"Yes",27
"18-RM-326389","Region 18, Minneapolis, Minnesota","Allina Health System d/b/a Allina Health Emergency Medical Services",2023-09-22,2023-11-28,"St. Paul","MN","A",2023-11-20,12,NA,"International Association of EMTs and Paramedics/NAGE Local 167",6,NA,NA,NA,NA,6,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Clinical Staff Educators and Clinical Instructors employed by the Employer out of its St. Paul, MN facility; excluding all other employees and guards and supervisors as defined by the Act.",NA,NA,NA,59,2023-10-01,2023-07-01,"11-25",TRUE,"RM","Yes","International Association of EMTs and Paramedics/NAGE Local 167",1,"NAGE",NA,"No",0
"22-RC-318664","Region 22, Newark, New Jersey","Lodi Volunteer Ambulance Rescue Squad, Inc.",2023-05-23,2023-08-03,"Lodi","NJ","A",2023-07-24,13,1,"International Association of EMT's and Paramedics /NAGE/ SEIU Local 5000",10,NA,NA,NA,NA,0,10,NA,NA,NA,"International Association of EMT's and Paramedics /NAGE/ SEIU Local 5000","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:	All full-time and regular part-time, and per-diem* emergency technicians employed by the Employer at its 72 Kimmig Avenue, Lodi, New Jersey, facility.

EXCLUDED:   All office clericals, professional employees, managers, guards, and supervisors as defined by the Act, and all other employees.",NA,NA,NA,62,2023-07-01,2023-04-01,"11-25",TRUE,"RC","Yes","International Association of EMT's and Paramedics /NAGE/ SEIU Local 5000",1,"NAGE",1,"Yes",3
