"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"07-RC-357436","Region 07, Detroit, Michigan","Midwest Air Traffic Control Service, Inc.",2024-12-23,2025-01-28,"Detroit","MI","A",2025-01-28,8,NA,"National Air Traffic Controllers Association AFL-CIO",6,NA,NA,NA,NA,0,6,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at or out of the Detroit City Air Traffic Control Tower facility currently located at 11501 Conner St., Detroit, Michigan; but excluding air traffic managers, and guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,36,2025-01-01,2024-10-01,"6-10",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",2
"07-RC-357436","Region 07, Detroit, Michigan","Midwest Air Traffic Control Service, Inc.",2024-12-23,2025-01-28,"Detroit","MI","A",2025-01-28,8,NA,"National Air Traffic Controllers Association AFL-CIO",6,NA,NA,NA,NA,0,6,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at or out of the Detroit City Air Traffic Control Tower facility currently located at 11501 Conner St., Detroit, Michigan; but excluding air traffic managers, and guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,36,2025-01-01,2024-10-01,"6-10",FALSE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"No",2
"14-RC-343320","Region 14, Saint Louis, Missouri","Midwest Air Traffic Control Service, Inc.",2024-05-31,2024-08-02,"New Century","KS","A",2024-07-24,3,NA,"National Air Traffic Controllers Association (NATCA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"National Air Traffic Controllers Association (NATCA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular-part time air traffic control specialists employed by the Employer at the New Century Aircenter Airport FCT located at 221 Gardner Drive, Suite 2, New Century, Kansas 66031, but EXCLUDING office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,54,2024-07-01,2024-04-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association (NATCA)",1,"NATCA",1,"Yes",1
"14-RC-343230","Region 14, Saint Louis, Missouri","Midwest Air Traffic Control Service, Inc.",2024-05-30,2024-08-01,"Hollister","MO","A",2024-07-23,3,NA,"National Air Traffic Controllers Association (NATCA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"National Air Traffic Controllers Association (NATCA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at the Branson Airport FCT located at 4000 Branson Airport Blvd., Hollister, MO  65672, but EXCLUDING Office Clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,54,2024-07-01,2024-04-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association (NATCA)",1,"NATCA",1,"Yes",1
"01-RC-340588","Region 01, Boston, Massachusetts","Midwest Air Traffic Control Service, Inc.",2024-04-23,2024-07-05,"West Tisbury","MA","A",2024-06-26,2,NA,"National Air Traffic Controllers Association AFL-CIO",2,NA,NA,NA,NA,0,2,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time air traffic control specialists employed by the Employer at its 71 Airport Rd, West Tisbury, Massachusetts facility but excluding, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,64,2024-04-01,2024-04-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",0
"14-RC-338354","Region 14, Saint Louis, Missouri","Midwest Air Traffic Control Service, Inc.",2024-03-20,2024-05-20,"Ashland","MO","A",2024-05-09,3,NA,"National Air Traffic Controllers Association AFL-CIO",3,NA,NA,NA,NA,0,3,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,50,2024-04-01,2024-01-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",0
"14-RC-338342","Region 14, Saint Louis, Missouri","Midwest Air Traffic Control Service, Inc.",2024-03-20,2024-05-20,"East Alton","IL","A",2024-05-09,4,NA,"National Air Traffic Controllers Association AFL-CIO",4,NA,NA,NA,NA,0,4,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the
Employer at the St. Louis Regional Airport (ALN) Air Traffic Control Tower located at 14
Terminal Drive, East Alton, Illinois 62024, but EXCLUING office clerical employees, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,50,2024-04-01,2024-01-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",0
"27-RC-338329","Region 27, Denver, Colorado","Serco, Inc.",2024-03-20,2024-05-09,"Loveland","CO","A",2024-05-01,3,1,"National Air Traffic Controllers Association AFL-CIO",2,NA,NA,NA,NA,0,2,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time nonsupervisory, nonmanager air traffic control specialists employed by the Employer in performing services on the Federal Contract Towers Program at the Northern Colorado Regional Airport (FNL) Air Traffic Control Tower in Loveland, Colorado.
 
Excluded: Office clerical employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,42,2024-04-01,2024-01-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",1
"19-RC-338255","Region 19, Seattle, Washington","Serco, Inc.",2024-03-20,2024-05-07,"Troutdale","OR","A",2024-04-29,2,NA,"National Air Traffic Controllers Association AFL-CIO",2,NA,NA,NA,NA,0,2,NA,NA,NA,"National Air Traffic Controllers Association AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time air traffic control specialists employed by the Employer performing services pursuant to its contract under the Federal Contract Towers Program at the Troutdale Airport (KTTD) Air Traffic Control Tower located at 920 NW Perimeter Way Troutdale Oregon 97060.
EXCLUDED: All other employees, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,40,2024-04-01,2024-01-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association AFL-CIO",1,"NATCA",1,"Yes",0
"14-RC-334817","Region 14, Saint Louis, Missouri","Midwest Air Traffic Control Service, Inc.",2024-01-31,2024-04-09,"Salina","KS","A",2024-03-29,5,NA,"National Air Traffic Controllers Association (NATCA)",5,NA,NA,NA,NA,0,5,NA,NA,NA,"National Air Traffic Controllers Association (NATCA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular-part time air traffic control specialists employed by the Employer at the Salina Regional Airport Air Traffic Control Tower located at 2000 Kneubuhl Ct. Salina, KS 67401, but EXCLUDING Office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,58,2024-01-01,2024-01-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association (NATCA)",1,"NATCA",1,"Yes",0
