"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-361421","Region 01, Boston, Massachusetts","Butler’s Bus Service, Inc.",2025-03-06,2025-04-25,"Lyndon","VT","A",2025-04-17,40,NA,"VERMONT NATIONAL EDUCATION ASSOCIATION",7,NA,NA,NA,NA,23,30,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time, regular part-time, and seasonal drivers, monitors, dispatchers, mechanics, and driver trainers employed by the Employer at its 231 Red Village Road, Lyndonville, VT location.
Excluded: All office clerical employees, confidential employees, casual employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,42,2025-04-01,2025-01-01,"26-50",TRUE,"RC","Yes","VERMONT NATIONAL EDUCATION ASSOCIATION",1,"NEA",0.233333333333333,"No",10
"02-RD-344157","Region 02, New York, New York","Aramark Educational Services, LLC",2024-06-11,2024-07-11,"Cross River","NY","A",2024-06-26,13,NA,"New York State United Teachers YSUTAFT/NEA, AFL/CIO",5,NA,NA,NA,NA,4,9,NA,NA,NA,"New York State United Teachers YSUTAFT/NEA, AFL/CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: 
All full-time and part-time high school, middle school,
and elementary school cooks, and high, middle, and
elementary food service workers, who were employed during payroll period ending June 12, 2024.

EXCLUDED: 
All directors, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,15,2024-04-01,2024-04-01,"11-25",TRUE,"RD","Yes","New York State United Teachers YSUTAFT/NEA, AFL/CIO",1,"NEA",0.555555555555556,"Yes",4
"06-RC-287129","Region 06, Pittsburgh, Pennsylvania","The Pennsylvania Cyber Charter School",2021-12-03,2022-02-07,"Midland","PA","A",2022-01-28,64,2,"PA Cyber Academic Advisors and School Counselors Education Association, PSEA/NEA",44,NA,NA,NA,NA,14,58,NA,NA,NA,"PA Cyber Academic Advisors and School Counselors Education Association, PSEA/NEA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time professional guidance employees, including academic advisors, SPED academic advisors, school counselors, and college and career coordinators employed by the Employer at its Pennsylvania facilities.

Excluding: all other employees, office clerical employees, guards, managerial employees and supervisors as defined in the Act.",NA,NA,NA,56,2022-01-01,2021-10-01,"51-100",TRUE,"RC","Yes","PA Cyber Academic Advisors and School Counselors Education Association, PSEA/NEA",1,"NEA",0.758620689655172,"Yes",6
"06-RD-274580","Region 06, Pittsburgh, Pennsylvania","The Education Center at The Watson Institute",2021-03-24,2021-05-05,"Sewickley","PA","A",2021-04-27,59,NA,"The Watson Institute Education Association PSEA/NEA",29,NA,NA,NA,NA,15,44,NA,NA,NA,"The Watson Institute Education Association PSEA/NEA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time aides, behavior assistants, and licensed practical nurses employed by the Employer at is Sewickley, Pennsylvania facility. 

Excluded: all office clerical employees and guards, professional and managerial employees and supervisors as defined in the Act.",NA,NA,NA,34,2021-04-01,2021-01-01,"51-100",TRUE,"RD","Yes","The Watson Institute Education Association PSEA/NEA",1,"NEA",0.659090909090909,"Yes",15
"06-RC-273664","Region 06, Pittsburgh, Pennsylvania","Propel Schools; Propel Charter School – East; Propel Charter School – Hazelwood; Propel Charter School - McKeesport; Propel Charter School – Montour; Propel Charter School – Northside; Propel Charter School – Pitcairn; Propel Charter School – Sunrise d/b/a Propel Charter School – Braddock Hills",2021-03-04,2021-05-07,"Pittsburgh","PA","C",2021-04-29,436,6,"Propel Charter School Education Association, PSEA/NEA",236,NA,NA,NA,NA,82,318,NA,1,NA,"Propel Charter School Education Association, PSEA/NEA","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP - UNIT A (PROFESSIONAL UNIT):
All full-time and regular part-time instructional employees, including Teachers, Special Ed Teachers, Integration Teachers, Fitness and Wellness Teachers, School Counselors, Therapists, Speech Therapists, Building Substitutes, College & Career Counselors, Instructional Coaches, Science Coaches, Residency/Induction Coaches, Special Ed Coordinators, School Testing Coordinators, Speech/Language Pathologists, School Psychologists, Partners in Wellness Project Manager and School Nurses employed by the Employers at their Allegheny County, Pennsylvania, facilities; excluding all office clerical employees and guards, managerial employees and supervisors as defined in the Act, and all other employees.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full-time and regular instructional support employees, including Scholar Support Specialists, Literacy Instructional Specialists, Math Instructional Specialists, Creative Arts Advisors, and Staff Nurses employed by the Employers at their Allegheny County, Pennsylvania, facilities; excluding all office clerical employees and guards, professional and managerial employees and supervisors as defined in the Act, and all other employees.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full-time and regular instructional support employees, including Scholar Support Specialists, Literacy Instructional Specialists, Math Instructional Specialists, Creative Arts Advisors, and Staff Nurses employed by the Employers at their Allegheny County, Pennsylvania, facilities; excluding all office clerical employees and guards, professional and managerial employees and supervisors as defined in the Act, and all other employees.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full-time and regular instructional support employees, including Scholar Support Specialists, Literacy Instructional Specialists, Math Instructional Specialists, Creative Arts Advisors, and Staff Nurses employed by the Employers at their Allegheny County, Pennsylvania, facilities; excluding all office clerical employees and guards, professional and managerial employees and supervisors as defined in the Act, and all other employees.",56,2021-04-01,2021-01-01,"101-500",TRUE,"RC","Yes","Propel Charter School Education Association, PSEA/NEA",1,"NEA",0.742138364779874,"Yes",118
"04-RC-272006","Region 04, Philadelphia, Pennsylvania","21st Century Cyber Charter School",2021-01-29,2021-09-08,"West Chester","PA","A",2021-08-25,88,NA,"21ST CENTURY CYBER EDUCATION ASSOCIATION, PSEA/NEA",76,NA,NA,NA,NA,4,80,NA,NA,NA,"21ST CENTURY CYBER EDUCATION ASSOCIATION, PSEA/NEA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time teachers, lead teachers, long-term substitute teachers, counselors, registered nurses, content developers, and ISD technology developers employed by the Employer at its 1245 Wrights Lane, West Chester, PA and 221 Blue Spruce Way, Murrysville, PA facilities.
Excluding:  All office clerical employees, confidential employees, managerial employees, temporary employees, teaching assistants, adjunct teachers, guards and supervisors as defined by the Act.",NA,NA,NA,208,2021-07-01,2021-01-01,"51-100",TRUE,"RC","Yes","21ST CENTURY CYBER EDUCATION ASSOCIATION, PSEA/NEA",1,"NEA",0.95,"Yes",8
"06-RC-256431","Region 06, Pittsburgh, Pennsylvania","The Education Center at the Watson Institute",2020-02-14,2020-03-23,"Sewickley","PA","B",2020-03-11,61,NA,"The Watson Institute Education Association PSEA/NEA",31,NA,NA,NA,NA,29,60,NA,1,NA,"The Watson Institute Education Association PSEA/NEA","Initial","Single Labor Organization","Certific. of Representative","Closed","Unit A:  All full-time and regular part-time instructional employees, including teachers, counselors, registered nurses,  therapists, speech and language pathologists, community specialists and behavioral specialists employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.",26,2020-01-01,2020-01-01,"51-100",TRUE,"RC","Yes","The Watson Institute Education Association PSEA/NEA",1,"NEA",0.516666666666667,"Yes",1
"06-RC-256431","Region 06, Pittsburgh, Pennsylvania","The Education Center at the Watson Institute",2020-02-14,2020-03-23,"Sewickley","PA","A",2020-03-11,63,NA,"The Watson Institute Education Association PSEA/NEA",21,NA,NA,NA,NA,41,62,NA,NA,NA,NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Unit A:  All full-time and regular part-time instructional employees, including teachers, counselors, registered nurses,  therapists, speech and language pathologists, community specialists and behavioral specialists employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.","Unit B.  All full-time and regular part-time aides, behavior assistants and licensed practical nurses employed by the Employer at its Sewickley, Pennsylvania, facility; excluding all office clerical employees and guards, professional and managerial employees, first level supervisors and supervisors as defined in the Act.",26,2020-01-01,2020-01-01,"51-100",TRUE,"RC","Yes","The Watson Institute Education Association PSEA/NEA",1,"NEA",0.338709677419355,"Yes",1
"04-RC-246600","Region 04, Philadelphia, Pennsylvania","PA Virtual Charter School",2019-08-15,2019-11-07,"King of Prussia","PA","A",2019-10-24,6,NA,"PA Virtual Charter Education Association, PSEA/NEA",5,NA,NA,NA,NA,0,5,NA,NA,NA,"PA Virtual Charter Education Association, PSEA/NEA","Rerun","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time Guidance Counselors employed by the Employer through its 630 Park Avenue, King of Prussia, PA facility;

EXCLUDED:  All other employees, non-professional employees, managerial employees, guards and supervisors as defined in the Act.",NA,NA,NA,70,2019-10-01,2019-07-01,"6-10",TRUE,"RC","Yes","PA Virtual Charter Education Association, PSEA/NEA",1,"NEA",1,"Yes",1
"04-RC-246600","Region 04, Philadelphia, Pennsylvania","PA Virtual Charter School",2019-08-15,2019-11-07,"King of Prussia","PA","A",2019-09-16,6,NA,"PA Virtual Charter Education Association, PSEA/NEA",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time Guidance Counselors employed by the Employer through its 630 Park Avenue, King of Prussia, PA facility;

EXCLUDED:  All other employees, non-professional employees, managerial employees, guards and supervisors as defined in the Act.",NA,NA,NA,32,2019-07-01,2019-07-01,"6-10",FALSE,"RC","Yes","PA Virtual Charter Education Association, PSEA/NEA",1,"NEA",NA,"Yes",6
