"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"08-RC-124808","Region 08, Cleveland, Ohio","MORROW COUNTY FIREFIGHTERS AND SQUADMENS ASSOCIATION",2014-03-20,2014-05-06,"Mount GILEAD","OH","A",2014-04-25,30,NA,"National Emergency Medical Services Association  (NEMSA)",16,NA,NA,NA,NA,14,30,NA,NA,NA,"National Emergency Medical Services Association  (NEMSA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Paramedics, Intermediate Emergency Medical Technicians, and Basic Emergency Medical Technicians, employed by the Employer in and around Morrow County Ohio, but excluding all office clerical employees, managerial employees, and all guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,36,2014-04-01,2014-01-01,"26-50",TRUE,"RC","Yes","National Emergency Medical Services Association  (NEMSA)",1,"NEMSA",0.533333333333333,"Yes",0
"28-RD-107275","Region 28, Phoenix, Arizona","American Medical Response Ambulance Service, Inc.",2013-06-14,2015-06-22,"Las Cruces","NM","A",2015-06-12,81,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",22,NA,NA,NA,NA,40,62,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Including:  all full-time and regular part-time emergency medical technicians (EMTs), paramedics, field training officers, relief supersvisors, mechanics, vehicle service technicians (VSTs), clerks, and billers employed by the Employerat its Dona Ana County, New Mexico facilities.  

Excluding:  all other employees, guards, and supervisors as defined by the Act.",NA,NA,NA,728,2015-04-01,2013-04-01,"51-100",TRUE,"RD","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",1,"NEMSA",0.354838709677419,"No",19
"09-RC-097338","Region 09, Cincinnati, Ohio","JAN-CARE AMBULANCE OF RALEIGH COUNTY, INC.",2013-01-29,2013-12-06,"BECKLEY","WV","A",2013-10-30,86,NA,"National Emergency Medical Services Association (NEMSA)",10,NA,NA,NA,NA,55,65,NA,8,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All regular full-time and part-time emergency medical technicians (EMTs), paramedics and drivers employed by the Employer at or out of the Employer's facilities in Raleigh County, West Virginia.

Excluded:  All office clerical employees, administrators, managers, dispatchers, mechanics, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,274,2013-10-01,2013-01-01,"51-100",TRUE,"RC","Yes","National Emergency Medical Services Association (NEMSA)",1,"NEMSA",0.153846153846154,"No",21
"21-RC-091864","Region 21, Los Angeles, California","MEDREACH, INC.",2012-10-23,2012-12-12,"COMPTON","CA","A",2012-12-03,9,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION/NAGE LOCAL 2",8,NA,NA,NA,NA,0,8,NA,NA,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION/NAGE LOCAL 2","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time paramedics employed by the Employer at or out of its 1303 Kona Drive, Compton California facility and its sub stations; 

Excluded: All other employees, emergency medical techs (EMTs), transportation coordinators, billing clerks, vehicle support techs (VSTs), managerial employees, professional employees, administrative employees, office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,41,2012-10-01,2012-10-01,"6-10",TRUE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION/NAGE LOCAL 2",1,"NEMSA",1,"Yes",1
"27-RC-089127","Region 27, Denver, Colorado","RURAL METRO OF CENTRAL COLORADO, INC.",2012-09-12,2013-04-22,"Arvada","CO","A",2012-10-26,374,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION (NEMSA)/NAGE",134,NA,NA,NA,NA,149,283,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Emergency Medical Technicians
(EMT), Paramedics, Lieutenants, Mechanics, Call Takers, Dispatchers, Vehicle
Supply Technicians (VST), Alternative Transportation Services(ATS)/ Wheelchair
Operators, and Billing Quality Assurance Employees employed by the Employer
and working in or deployed in and out of the Employer's facilities in Arvada,
Aurora, Sheridan, Colorado Springs, Boulder, and Littleton, Colorado
Excluded: All other employees, captains, managers, office clerical employees,
professional employees, guards, and supervisors as defined by the Act.",NA,NA,NA,44,2012-10-01,2012-07-01,"101-500",TRUE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION (NEMSA)/NAGE",1,"NEMSA",0.473498233215548,"No",91
"19-RC-085021","Region 19, Seattle, Washington","Advanced Life Systems, Inc.",2012-07-11,2012-08-24,"Yakima","WA","A",2012-08-16,46,NA,"National Emergency Medical Services Association",27,NA,NA,NA,NA,17,44,NA,3,NA,"National Emergency Medical Services Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time and per diem EMT's, paramedics and dispatchers employed by the Employer out of its Yakima, Washington facilities; excluding all other employees, maintenance employees, and guards and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,36,2012-07-01,2012-07-01,"26-50",TRUE,"RC","Yes","National Emergency Medical Services Association",1,"NEMSA",0.613636363636364,"Yes",2
"21-RC-081393","Region 21, Los Angeles, California","AmbuServe Ambulance",2012-05-18,2012-09-19,"GARDENA","CA","A",2012-07-06,97,2,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",39,NA,NA,NA,NA,34,73,NA,NA,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per them EMTs, Paramedics,Dispatchers, Call Takers. Vehicle Technicians, and Supply Clerks working in and out of the Employer's facility looated at 15105 South Broadway, Gardena,California;

Excluded; All other employees, office clerical employees, administrative employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,49,2012-07-01,2012-04-01,"51-100",TRUE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",1,"NEMSA",0.534246575342466,"Yes",24
"21-RC-081393","Region 21, Los Angeles, California","AmbuServe Ambulance",2012-05-18,2012-09-19,"GARDENA","CA","A",2012-06-22,97,2,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",35,NA,NA,NA,NA,32,67,NA,6,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per them EMTs, Paramedics,Dispatchers, Call Takers. Vehicle Technicians, and Supply Clerks working in and out of the Employer's facility looated at 15105 South Broadway, Gardena,California;

Excluded; All other employees, office clerical employees, administrative employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,35,2012-04-01,2012-04-01,"51-100",FALSE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",1,"NEMSA",0.522388059701492,"Yes",30
"28-RC-074676","Region 28, Phoenix, Arizona","American Medical Response Ambulance Service, Inc.",2012-02-15,2012-10-31,"Las Cruces","NM","A",2012-04-20,77,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",36,NA,NA,NA,NA,29,65,NA,1,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time emergency medical technicians (EMTs), paramedics, field training officers, relief supervisors, mechanics, vehicle service technicians (VSTs), clerks, and billers employed by the Employer at its Dona Ana County, New Mexico facilities, but excluding all other employees, guards, and supervisors as defined in the Act.",NA,NA,NA,65,2012-04-01,2012-01-01,"51-100",TRUE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION, LOCAL 2",1,"NEMSA",0.553846153846154,"Yes",12
"21-RC-073529","Region 21, Los Angeles, California","RURAL METRO SAN DIEGO, INC.",2012-01-31,2012-03-16,"Modesto","CA","A",2012-03-07,10,NA,"NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION (NEMSA)",2,NA,NA,NA,NA,7,9,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Ali supply technicians and- cowders omployed by the li mployer at its facility located at 3870
Kqarny Villa Road, San Diego, Cal -Ifomia; oxcluding all other employees, paraMedics, field
trainers, arnergency madleal tachnMans, gam9e techniefang, d1spatohers, 96.ards,. and
supervisors as defined In the Act.",NA,NA,NA,36,2012-01-01,2012-01-01,"6-10",TRUE,"RC","Yes","NATIONAL EMERGENCY MEDICAL SERVICES ASSOCIATION (NEMSA)",1,"NEMSA",0.222222222222222,"No",1
