"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"13-RC-386170","Region 13, Chicago, Illinois","The University of Chicago",2026-05-04,2026-07-16,"Chicago","IL","C",2026-07-08,134,NA,"Chicago News Guild TNG-CWA Local 34071, AFL-CIO",93,NA,NA,NA,NA,12,105,NA,6,NA,"Chicago News Guild TNG-CWA Local 34071, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,65,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","Chicago News Guild TNG-CWA Local 34071, AFL-CIO",1,"NewsGuild",0.885714285714286,"Yes",29
"13-RC-381808","Region 13, Chicago, Illinois","The TRiiBE, Inc.",2026-02-25,2026-06-24,"Chicago","IL","A",2026-06-23,2,NA,"Chicago News Guild TNG-CWA Local 34071, AFL-CIO",1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the Employer, including Reporters, Correspondents, and Digital Audience and Content Managers, at its facility currently located at 2501 W. Washington Blvd, Suite 201, Chicago, IL.

Excluded: All Editors, independent contractors, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,118,2026-04-01,2026-01-01,"<5",TRUE,"RC","Yes","Chicago News Guild TNG-CWA Local 34071, AFL-CIO",1,"NewsGuild",0.5,"No",0
"13-RC-381808","Region 13, Chicago, Illinois","The TRiiBE, Inc.",2026-02-25,2026-06-24,"Chicago","IL","A",2026-03-25,3,NA,"Chicago News Guild TNG-CWA Local 34071, AFL-CIO",1,NA,NA,NA,NA,1,2,NA,1,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the Employer, including Reporters, Correspondents, and Digital Audience and Content Managers, at its facility currently located at 2501 W. Washington Blvd, Suite 201, Chicago, IL.

Excluded: All Editors, independent contractors, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,28,2026-01-01,2026-01-01,"<5",FALSE,"RC","Yes","Chicago News Guild TNG-CWA Local 34071, AFL-CIO",1,"NewsGuild",0.5,"No",1
"05-RD-380569","Region 05, Baltimore, Maryland","Lee BHM LLC (f/k/a Lee BHM Corp.) d/b/a The Daily Progress",2026-02-05,2026-03-18,"Charlottesville","VA","A",2026-03-10,7,NA,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",0,NA,NA,NA,NA,7,7,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time news department employees employed by the Employer, including the following classifications: Reporter, Sports Reporter, Senior Reporter, Copy Editor, Lead Editorial Producer, Photographer, Newsroom Assistant, Features Editor, and Digital Content Editor; but excluding all managerial employees, confidential employees, guards, and supervisors as defined by the Act.",NA,NA,NA,33,2026-01-01,2026-01-01,"6-10",TRUE,"RD","Yes","Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",1,"NewsGuild",0,"No",0
"16-RM-380092","Region 16, Fort Worth, Texas","Fort Worth Report",2026-01-28,2026-03-17,"Fort Worth","TX","A",2026-03-09,12,NA,"Media Guild of the West, The NewsGuild -CWA, Local 39213",11,NA,NA,NA,NA,1,12,NA,1,NA,"Media Guild of the West, The NewsGuild -CWA, Local 39213","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Journalists and non-management staff employed by the Employer at its facility located at 3008 East Rosedale Street, Fort Worth, Texas 76105.

Excluded: All other employees, office clericals, professional employees, guards, and supervisors as defined by the Act.

Others permitted to vote: The parties have agreed that the Membership Manager may vote in the election but their ballot will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual in this classification is included in, or excluded from, the bargaining unit. The eligibility or inclusion of this individual will be resolved, if necessary, following the election.",NA,NA,NA,40,2026-01-01,2026-01-01,"11-25",TRUE,"RM","Yes","Media Guild of the West, The NewsGuild -CWA, Local 39213",1,"NewsGuild",0.916666666666667,"Yes",0
"04-RC-378935","Region 04, Philadelphia, Pennsylvania","GateHouse Media Pennsylvania Holdings, Inc., d/b/a Bucks County Courier Times",2026-01-14,2026-02-27,"Langhorne","PA","A",2026-02-19,10,NA,"NewsGuild of Greater Philadelphia, CWA Local 38010, AFL-CIO, CLC",8,NA,NA,NA,NA,1,9,NA,NA,NA,"NewsGuild of Greater Philadelphia, CWA Local 38010, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time reporters, columnists, and photographer/videographers employed by the Employer at its 2300 E. Lincoln Highway, Suite 500, Langhorne, Pennsylvania facility.

EXCLUDED: All other employees, office clerical employees, managerial employees, confidential employees, temporary employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,36,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","NewsGuild of Greater Philadelphia, CWA Local 38010, AFL-CIO, CLC",1,"NewsGuild",0.888888888888889,"Yes",1
"05-RC-378322","Region 05, Baltimore, Maryland","American Chemical Society",2026-01-05,2026-03-13,"Washington","DC","A",2026-03-05,36,NA,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",24,NA,NA,NA,NA,1,25,NA,NA,NA,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time editorial and operations employees employed by the Employer in Chemical & Engineering News as Art Director, Assistant Editor, Associate Editor, Community Content Editor, Editor, Editorial Projects Coordinator, Graphics Editor, Newsletter Editor, Policy & Regulations Reporter, Platform Operations Manager, Platform Strategist, Print Editor, Senior Art Director, Senior Copyeditor, Senior Correspondent, Senior Editor, Senior UX/UI Multimedia Producer, UX Designer, Visuals Editor, and Web Designer.
 
EXCLUDED: All other employees, including confidential employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,59,2026-01-01,2026-01-01,"26-50",TRUE,"RC","Yes","Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",1,"NewsGuild",0.96,"Yes",11
"19-RC-377392","Region 19, Seattle, Washington","Adams Communication Company LLC, d/b/a Skagit Valley Herald",2025-12-17,2026-02-05,"Anacortes","WA","A",2026-01-26,2,NA,"Pacific Northwest Newspaper Guild affiliated with the News Guild-Communication Workers of America",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Pacific Northwest Newspaper Guild affiliated with the News Guild-Communication Workers of America","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time newsroom employees employed by the Employer at its facilities located at 901 Sixth Street, Anacortes, Washington (the Anacortes American location), and at 7208 267th Street NW, Stanwood, Washington (the Stanwood Camano News location). 
Excluded: All circulation employees, advertising employees, classified employees, office clerical employees, confidential employees, editors, all other employees, and guards and supervisors as defined by the Act.",NA,NA,NA,40,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","Pacific Northwest Newspaper Guild affiliated with the News Guild-Communication Workers of America",1,"NewsGuild",1,"No",0
"09-RC-376755","Region 09, Cincinnati, Ohio","GATEHOUSE MEDIA OHIO HOLDINGS II, INC. D/B/A COLUMBUS DISPATCH AND GANNETT GP MEDIA, INC. D/B/A NEWARK ADVOCATE",2025-12-10,2026-03-03,"Columbus","OH","A",2026-02-05,40,NA,"Northeast Ohio News Guild Communication Workers of America, Local 34001",33,NA,NA,NA,NA,5,39,NA,1,NA,"Northeast Ohio News Guild Communication Workers of America, Local 34001","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time editorial employees of Columbus Dispatch and Newark Advocate including reporters, photographers/videographers and digital producers, excluding all other employees, including magazine editors, planners, temporary employees, confidential employees, managerial employees, and guards and supervisors as defined in the Act. 

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether the Newsroom Assistant is included or excluded from the bargaining unit and the individual in this position may vote in the election, but their ballot shall be challenged since their eligibility has not been resolved. The eligibility or inclusion of this position will be resolved, if necessary, following the election.",NA,NA,NA,57,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","Northeast Ohio News Guild Communication Workers of America, Local 34001",1,"NewsGuild",0.868421052631579,"Yes",2
"01-RC-371578","Region 01, Boston, Massachusetts","Maine Trust for Local News, L3C",2025-08-19,2025-11-19,"South Portland","ME","A",2025-09-29,49,NA,"The NewsGuild of Maine, Communication Workers of America, Local 31128",34,NA,NA,NA,NA,1,35,NA,NA,NA,"The NewsGuild of Maine, Communication Workers of America, Local 31128","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the Employer on its Community News staff, and at the Sun Journal and the Times Record, and all full-time and regular part-time non-editorial employees employed by the Employer at the Morning Sentinel and the Kennebec Journal.
                                                                                       
Excluded: All editorial department employees at the Morning Sentinel and the Kennebec Journal, all advertising department employees and Creative Service Designers at the Kennebec Journal, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,41,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","The NewsGuild of Maine, Communication Workers of America, Local 31128",1,"NewsGuild",0.971428571428571,"No",14
