"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-323238","Region 05, Baltimore, Maryland","KR Contracting, Inc.",2023-08-04,2024-11-06,"Washington","DC","A",2024-09-16,16,NA,"National League of Justice and Security Professionals (NLJSP)",1,NA,NA,NA,NA,0,9,NA,NA,NA,"National Capital Union for Security Officers (NCUFSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time protective service officers employed by the Employer at the Bureau of Immigration and Customs Enforcement (ICE) currently located at 801 Eye Street NW, Washington, D.C.

EXCLUDED:  All other employees, office and clerical employees, managerial employees and supervisors as defined in the Act.",NA,NA,NA,409,2024-07-01,2023-07-01,"11-25",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",15
"05-RC-287927","Region 05, Baltimore, Maryland","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2021-12-20,2022-02-23,"Washington","DC","A",2022-02-10,14,NA,"National League of Justice and Security Professionals (NLJSP)",3,NA,NA,NA,NA,0,3,NA,NA,NA,"National League of Justice and Security Professionals (NLJSP)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers who perform guard duties within the meaning of Section 9(b)(3) of the Act and are employed by the Employer on its contract with Cable News Network (CNN) located at 820 1st Street, NE Washington DC, but excluding all office clerical employees, professional employees, managerial employees, captains, and supervisors as defined in the Act.",NA,NA,NA,52,2022-01-01,2021-10-01,"11-25",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",11
"05-RC-287691","Region 05, Baltimore, Maryland","Watkins Security Agency of DC, Inc.",2021-12-14,2022-02-11,"Washington","DC","A",2022-02-03,15,3,"National League of Justice and Security Professionals (NLJSP)",4,NA,NA,NA,NA,5,9,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time armed and unarmed special police officers employed by the Employer at the Democratic National Committee (DNC) and Democratic Senatorial Campaign Committee (DSCC) facilities currently located in Washington, DC, but excluding all office clerical employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,51,2022-01-01,2021-10-01,"11-25",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",0.444444444444444,"No",6
"05-RC-246684","Region 05, Baltimore, Maryland","Command Security Corporation",2019-08-14,2019-10-08,"Baltimore","MD","A",2019-09-30,11,NA,"National League of Justice and Security Professionals (NLJSP)",1954,NA,NA,NA,NA,0,1,NA,NA,NA,"National League of Justice and Security Professionals (NLJSP)","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,47,2019-07-01,2019-07-01,"11-25",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",-1943
"05-RC-243506","Region 05, Baltimore, Maryland","American Security Programs, Inc., a wholly owned subsidiary of SecurAmerica LLC",2019-06-19,2019-09-12,"Lorton","VA","A",2019-09-04,8,NA,"National League of Justice and Security Professionals (NLJSP)",3,NA,NA,NA,NA,0,3,NA,NA,NA,"National League of Justice and Security Professionals (NLJSP)","Rerun","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,77,2019-07-01,2019-04-01,"6-10",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",5
"05-RC-243499","Region 05, Baltimore, Maryland","Command Security Corporation",2019-06-18,2019-08-13,"Potomac","MD","A",2019-08-05,4,1,"National League of Justice and Security Professionals (NLJSP)",1,NA,NA,NA,NA,0,1,NA,NA,NA,"National League of Justice and Security Professionals (NLJSP)","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,48,2019-07-01,2019-04-01,"<5",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",3
"05-RC-216228","Region 05, Baltimore, Maryland","Elite Protective Services, Inc.",2018-03-09,2018-04-25,"Rockville","MD","A",2018-04-17,14,NA,"National League of Justice and Security Professionals (NLJSP)",6,NA,NA,NA,NA,0,6,NA,NA,NA,"National League of Justice and Security Professionals (NLJSP)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security services employees employed by the Employer at the United States Department of Health and Human Services facility currently located at 1101 Wootton Parkway, Rockville, Maryland; excluding office clerical employees, professional employees,  managers, and supervisors as defined in the Act.",NA,NA,NA,39,2018-04-01,2018-01-01,"11-25",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",1,"Yes",8
"05-RC-193359","Region 05, Baltimore, Maryland","Command Security Corporation",2017-02-17,2017-03-23,"Washington","DC","A",2017-03-15,54,NA,"National League of Justice and Security Professionals (NLJSP)",45,NA,NA,NA,NA,2,47,NA,1,NA,"National League of Justice and Security Professionals (NLJSP)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers employed by the employer at the United States Postal Service facilities currently located at 475 L’Enfant Plaza SW Washington DC, 9201 Edgeworth Drive Capitol Heights, MD, 900 Brentwood Road NE Washington DC, and 8409 Lee Highway Merrifield, VA 22081, excluding all clerical employees, confidential employees, managerial employees and supervisors as defined in the Act.",NA,NA,NA,26,2017-01-01,2017-01-01,"51-100",TRUE,"RC","Yes","National League of Justice and Security Professionals (NLJSP)",1,"NLJSP",0.957446808510638,"Yes",7
"05-RC-189461","Region 05, Baltimore, Maryland","North American Security Inc.",2016-12-07,2017-01-17,"Silver Spring","MD","A",2017-01-05,72,NA,"National League of Justice and Security Professionals",36,NA,NA,NA,NA,4,40,NA,NA,NA,"National League of Justice and Security Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers, sergeants, and lieutenants employed by the Employer at the U.S. Department of Commerce and its National Oceanic and Atmospheric Administration (NOAA) currently located at 1305 East-West Highway, 1315 East-West Highway, and 1325 East-West Highway in Silver Spring, Maryland; but excluding all project managers, deputy project managers, captains, office clerical employees, confidential employees, professional employees, managerial employees, and supervisors as defined by the Act.",NA,NA,NA,29,2017-01-01,2016-10-01,"51-100",TRUE,"RC","Yes","National League of Justice and Security Professionals",1,"NLJSP",0.9,"Yes",32
"04-RC-180707","Region 04, Philadelphia, Pennsylvania","Universal Protection Services, LLC",2016-07-25,2016-09-01,"Philadelphia","PA","A",2016-08-22,10,NA,"National League of Justice and Security Professionals",4,NA,NA,NA,NA,1,5,NA,NA,NA,"National League of Justice and Security Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at its Riddle Hospital client location, located at 108 West Baltimore Pike, Media, PA 19063.
EXCLUDED: All administrative, clerical, professional, confidential or seasonal employees, non-guard employees, Site Supervisors, managers and supervisors as defined by the Act.",NA,NA,NA,28,2016-07-01,2016-07-01,"6-10",TRUE,"RC","Yes","National League of Justice and Security Professionals",1,"NLJSP",0.8,"Yes",5
