"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-392423","Region 18, Minneapolis, Minnesota","Hutchinson Health",2026-08-07,NA,"Hutchinson","MN",NA,NA,123,NA,"Minnesota Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","Minnesota Nurses Association",1,"NNU",NA,"Still Open",NA
"18-RC-391968","Region 18, Minneapolis, Minnesota","Fairview Health Services",2026-07-31,NA,"Edina","MN",NA,NA,44,NA,"Minnesota Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Minnesota Nurses Association",1,"NNU",NA,"Still Open",NA
"01-RC-391445","Region 01, Boston, Massachusetts","UMass Memorial Medical Center, Inc.",2026-07-24,NA,"Worcester","MA",NA,NA,2,NA,"MASSACHUSETTS NURSES ASSOCIATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","MASSACHUSETTS NURSES ASSOCIATION",1,"NNU",NA,"Still Open",NA
"01-RC-391456","Region 01, Boston, Massachusetts","UMass Memorial Medical Center, Inc.",2026-07-24,NA,"Worcester","MA",NA,NA,3,NA,"Massachusetts Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Massachusetts Nurses Association",1,"NNU",NA,"Still Open",NA
"20-RC-388860","Region 20, San Francisco, California","St. Helena Hospital d/b/a Adventist Health St. Helena",2026-06-15,2026-08-04,"Saint Helena","CA","A",2026-07-22,253,NA,"California Nurses Association/National Nurses United",154,NA,NA,NA,NA,52,206,NA,3,NA,"California Nurses Association/National Nurses United","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time, regular part time, and per diem Registered Nurses (RNs) in the following classifications: Registered Nurse; RN Resident; RN, Oncology (Outpatient), and RN Dialysis employed by the Employer at its acute healthcare facility located at 10 Woodland Road, St. Helena, California; excluding all other Registered Nurses, including advanced practice nurses, employed at the Employer’s acute care hospital building located at 10 Woodland Road, St. Helena, CA 94574 (including at its ambulatory clinics), physicians, administrators, non-nursing professionals, technical employees, skilled maintenance employees, business office clerical employees, confidential employees, nonprofessional employees, all other employees, employees of other employers, guards and supervisors, as defined in the Act, and employees of the Employer employed at an address other than the Employer’s acute care hospital building located at 10 Woodland Road, St. Helena, CA 94574.",NA,NA,NA,37,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","California Nurses Association/National Nurses United",1,"NNU",0.747572815533981,"Yes",47
"01-RC-387661","Region 01, Boston, Massachusetts","Boston Medical Center-South Corporation",2026-05-27,2026-07-06,"Brockton","MA","A",2026-06-25,3,NA,"MASSACHUSETTS NURSES ASSOCIATION",3,NA,NA,NA,NA,0,3,NA,NA,NA,"MASSACHUSETTS NURSES ASSOCIATION","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Nurse Educators employed by the Employer at its 235 N. Pearl Street, Brockton MA facility. 
 
Excluded: All other RNs, other professional employees, physicians, technical employees, service and maintenance employees, nurse administrators, office clerical employees, nonprofessional employees, managers, confidential employees, guards, and supervisors as defined by the Act, and other employees.",NA,NA,NA,29,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","MASSACHUSETTS NURSES ASSOCIATION",1,"NNU",1,"No",0
"13-RC-387317","Region 13, Chicago, Illinois","Saint Mary of Nazareth Hospital - Chicago, LLC d/b/a Saint Mary of Nazareth Hospital",2026-05-20,2026-06-26,"Chicago","IL","A",2026-06-17,446,NA,"National Nurses Organizing Committee / National Nurses United",344,NA,NA,NA,NA,15,359,NA,9,NA,"National Nurses Organizing Committee / National Nurses United","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem Staff RNs, Cath Lab RNs, Wound Care Staff RNs, and PICC RNs employed by the Employer at its facility located at 2233 W. Division Street Chicago, IL 60622.

Excluded: All other employees, all other RNs, RNs employed by registries or other agencies providing outside labor to the Employer, Advanced Practice RNs, Employee Health Nurse, Trauma Coordinator, Stroke Coordinator, Coordinator – Practice Improvement, Transition to Practice Educator, Case Manager RN, all other professional employees, physicians, technical employees, service and maintenance employees, office clerical employees, nurse administrators, managerial employees, confidential employees, guards, and supervisors within the meaning of the Act.",NA,NA,NA,28,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","National Nurses Organizing Committee / National Nurses United",1,"NNU",0.958217270194986,"Yes",87
"21-RC-386006","Region 21, Los Angeles, California","Orange County Global Medical Center, Inc.",2026-04-30,2026-06-12,"Santa Ana","CA","A",2026-06-04,530,NA,"California Nurses Association/National Nurses United and American Federation of Labor-Congress of Industrial Organizations (AFL-CIO)",391,NA,NA,NA,NA,41,432,NA,1,NA,"California Nurses Association/National Nurses United and American Federation of Labor-Congress of Industrial Organizations (AFL-CIO)","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and per diem registered nurses (RNs) and charge nurses employed by the Employer at its facility currently located at 1001 North Tustin Avenue, Santa Ana, California 92705. 

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

EXCLUDED: All other employees, RNs employed by registries or other agencies providing outside labor to the Employer, nurse practitioners, advanced practice RNs, house supervisors, physicians, other professional employees, technical employees, skilled maintenance employees, business office clerical employees, other nonprofessional employees, office clerical employees, managerial employees, confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,35,2026-04-01,2026-04-01,"500>",TRUE,"RC","Yes","California Nurses Association/National Nurses United and American Federation of Labor-Congress of Industrial Organizations (AFL-CIO)",1,"NNU",0.905092592592593,"Yes",98
"13-RC-384412","Region 13, Chicago, Illinois","Rush University Medical Center",2026-04-08,2026-05-27,"Chicago","IL","A",2026-05-18,1830,NA,"National Nurses Organizing Committee / National Nurses United",1190,NA,NA,NA,NA,350,1540,NA,11,NA,"National Nurses Organizing Committee / National Nurses United","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and PRN Registered Nurses in the following job classifications:
•	Critical Care Outreach  2 RN,
•	Critical Care Outreach 3 RN,
•	Critical Care Outreach RN PD,
•	OR Schedule Board Coordinator RN,
•	Organ Recovery 2 RN,
•	Organ Recovery 3 RN, 
•	Registered Nurse 1,
•	Registered Nurse 2,
•	Registered Nurse 2 CSO,
•	Registered Nurse 3,
•	Registered Nurse 3, CSO,
•	RN Supplemental Staffing,
•	RN Unit Based Per Diem
•	Sr. Vascular Access RN, and
•	Vascular Access RN
employed by the Employer and working in the Employer’s acute care hospital building located at 1653 W. Congress Parkway, Chicago, IL 60612 and 1620 W. Harrison Street, Chicago, IL 60612. 

Excluded: All other Registered Nurses, including advanced practice nurses, employed at the Employer’s acute care hospital building located at 1653 W. Congress Parkway, Chicago, IL 60612 and 1620 W. Harrison Street, Chicago, IL 60612 (including at its ambulatory clinics), physicians, administrators, non-nursing professionals, technical employees, skilled maintenance employees, business office clerical employees, confidential employees, nonprofessional employees, all other employees, employees of other employers, guards and supervisors, as defined in the Act, and employees of the Employer employed at an address other than the Employer’s acute care hospital building located at 1653 W. Congress Parkway, Chicago, IL 60612 and 1620 W. Harrison Street, Chicago, IL 60612.",NA,NA,NA,40,2026-04-01,2026-04-01,"500>",TRUE,"RC","Yes","National Nurses Organizing Committee / National Nurses United",1,"NNU",0.772727272727273,"Yes",290
"07-RC-384206","Region 07, Detroit, Michigan","St. Joseph Mercy Chelsea, Inc.",2026-04-03,NA,"Chelsea","MI",NA,NA,373,NA,"Michigan Nurses Association (MNA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No","Michigan Nurses Association (MNA)",1,"NNU",NA,"Still Open",NA
