"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"20-RC-392725","Region 20, San Francisco, California","Prima Medical Foundation, dba MarinHealth Medical Network",2026-08-11,NA,"Greenbrae","CA",NA,NA,15,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RC-392724","Region 20, San Francisco, California","MarinHealth Medical Group",2026-08-11,NA,"Greenbrae","CA",NA,NA,56,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RC-392723","Region 20, San Francisco, California","MarinHealth Medical Center",2026-08-11,NA,"Greenbrae","CA",NA,NA,86,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"21-RC-390372","Region 21, Los Angeles, California","Keck Medical Center of USC",2026-07-09,NA,"Los Angeles","CA",NA,NA,10,NA,"National Union of Healthcare Workers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","National Union of Healthcare Workers",1,"NUHW",NA,"Still Open",NA
"21-RC-389766","Region 21, Los Angeles, California","Keck Medical Center of USC",2026-06-30,NA,"Los Angeles","CA","A",2026-08-12,8,NA,"National Union of Healthcare Workers (NUHW)",8,NA,NA,NA,NA,0,8,NA,NA,NA,"National Union of Healthcare Workers","Initial","Single Labor Organization",NA,"Open","INCLUDED:   All full-time and regular part-time Specialist, Procedural Supply Chain employees in the USC Keck Norris 
                      Material Management Department employed by the Employer at its facilities located at 1500 San Pablo 
                      Street, Los Angeles California 90033, 1510 San Pablo Street, Los Angeles, California 90033, 1516 San 
                      Pablo Street, Los Angeles, California 90033, and 1441 Eastlake Avenue, Los Angeles, California 90089.

EXCLUDED: All other employees, other represented employees, managerial employees, confidential employees, 
                     physicians, skilled maintenance employees, Registered Nurses, other professional employees, business 
                     office clerical employees, guards and supervisors as defined in the Act.

If a majority of valid ballots are cast for National Union of Healthcare Workers (NUHW), they
will be taken to have indicated the employees' desire to be included in the existing bargaining unit
as described in the collective-bargaining agreement between the Employer and the Petitioner
effective December 20, 2024 through June 30, 2027 that is currently represented by National Union
of Healthcare Workers (NUHW).

If a majority of valid ballots are not cast for representation, they will be taken to have indicated
the employees' desire to remain unrepresented.",NA,NA,NA,43,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","National Union of Healthcare Workers (NUHW)",1,"NUHW",1,"Still Open",0
"31-RC-389531","Region 31, Los Angeles, California","USC Care Medical Group, Inc.",2026-06-25,2026-08-13,"Los Angeles","CA","A",2026-08-05,3,NA,"National Union of Healthcare Workers",3,NA,NA,NA,NA,0,3,NA,NA,NA,"National Union of Healthcare Workers","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time and per diem non-professional employees: including Support Coordinator II, and Medical Assistant II, employed by the employer at the USC University Park Campus Clinic at 1031 W. 34th St., Suite 430, Los Angeles, CA, 90089.

Excluded: All other employees, other represented employees, managerial employees, confidential employees, physicians, skilled maintenance employees, Registered Nurses, other professional employees, business office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,41,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","National Union of Healthcare Workers",1,"NUHW",1,"Yes",0
"32-RC-388749","Region 32, Oakland, California","Sutter VNA and Hospice dba Sutter Care at Home (Alameda Hospice)",2026-06-11,NA,"Alameda","CA",NA,NA,2,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RC-386517","Region 20, San Francisco, California","Wellpath, LLC",2026-05-06,2026-07-01,"Fairfield","CA","A",2026-06-11,65,NA,"National Union of Healthcare Workers (NUHW)",45,NA,NA,NA,NA,4,49,NA,NA,NA,"National Union of Healthcare Workers (NUHW)","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES
INCLUDED: All full-time, regular part-time, and per diem Licensed Mental Health Professionals, Nurse Practitioners, and Registered Nurses employed by the Employer at facilities located at 530 Union Avenue, 2450 Claybank Road, 2500 Claybank Road, and 740 Beck Avenue in Fairfield, California. 
EXCLUDED: All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor Relations Act. 
VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES 
INCLUDED: All full-time, regular part-time, and per diem Licensed Vocational Nurses, Medical Assistants, Medical Clerks, and Administrative Assistant (Scheduler) employed by the Employer at facilities located at 530 Union Avenue, 2450 Claybank Road, 2500 Claybank Road, and 740 Beck Avenue in Fairfield, California. 
EXCLUDED: All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,36,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","National Union of Healthcare Workers (NUHW)",1,"NUHW",0.918367346938776,"Yes",16
"21-RC-385503","Region 21, Los Angeles, California","AHMC Parkview Community Hospital Medical Center",2026-04-23,2026-06-15,"Riverside","CA","A",2026-06-05,38,NA,"National Union of Healthcare Workers (NUHW)",31,NA,NA,NA,NA,14,45,NA,NA,NA,"National Union of Healthcare Workers (NUHW)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time, and per diem Professional employees, including Dietician, Registered Dietician, Clinical Lab Scientist, Pharmacist, Intern Pharmacist, Pyxis Coordinator, Occupational Therapist, Senior Physical Therapist, Physical Therapist, Physical Therapist Assistant, Speech Language Pathologist, Social Worker, Licensed Social Worker, Licensed Clinical Social Worker, MSW, Senior Occupational Therapist, PTA Ortho Program, Senior Speech Language Pathologist, and Senior Pharmacist employed by the Employer at its facility currently located at 3865 Jackson Street, Riverside, California 92503.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded:  All other employees, physicians, registered nurses, technical employees, business office clerical employees, other non-professional employees, skilled maintenance employees, temporary employees, managerial employees, confidential employees, guards and supervisors as defined in the Act.",NA,NA,NA,43,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","National Union of Healthcare Workers (NUHW)",1,"NUHW",0.688888888888889,"Yes",-7
"20-RC-384747","Region 20, San Francisco, California","Sutter Visiting Nurse Association and Hospice, dba Sutter Care at Home",2026-04-13,2026-06-04,"Santa Rosa","CA","A",2026-05-13,110,NA,"National Union of Healthcare Workers (NUHW)",64,NA,NA,NA,NA,16,80,NA,8,NA,"National Union of Healthcare Workers (NUHW)","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES

Included: Home Health Nurse II; Home Health Case Manager; Wound Care Nurse III; Home Health MSW; Acute Physical Therapist II; Acute Physical Therapist III; Acute Occupational Therapist II; and Acute Speech Language Pathologist II employed at the Employer’s at 110 Stony Point Road, Suite 200A, Santa Rosa, California facility.

Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards, and supervisors as defined in the Act.

Others permitted to vote in Voting Group A: The parties have agreed that Clinical Referral Registered Nurse, Wound Care Nurse Lead, Clinical Nurse Educator III, and Home Infusion Liaison may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included: LVN II; Home Health LVN II; Physical Therapy Assistant II; and Home Health Aide employed at the Employer’s at 110 Stony Point Road, Suite 200A, Santa Rosa, California facility.

Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards, and supervisors as defined in the Act.

Others permitted to vote in Voting Group B: The parties have agreed that Authorization Coordinator III; Clinical Effectiveness Consultant IV; Scheduler II; Chart Completion Representative I; Hospital Liaison (LVN); Clinical Referral LVN; and Home Health LVN Lead may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,30,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","National Union of Healthcare Workers (NUHW)",1,"NUHW",0.8,"Yes",30
