"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"29-RC-356068","Region 29, Brooklyn, New York","Richmond University Medical Center",2024-12-05,2025-01-16,"Staten Island","NY","A",2024-12-26,8,NA,"New York State Nurses Association",7,NA,NA,NA,NA,0,7,NA,NA,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time, and per diem nurse educators residual to the existing unit of registered nurses represented by the New York State Nurses Association employed by the 
Employer at its facility located at 355 Bard Avenue, Staten Island, New York.

Excluded: All other employees, guards, and supervisors as defined by the Act.",NA,NA,NA,21,2024-10-01,2024-10-01,"6-10",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",1,"Yes",1
"02-RC-349294","Region 02, New York, New York","Montefiore Nyack Hospital",2024-08-28,NA,"Nyack","NY","A",2025-05-06,7,NA,"New York State Nurses Association",0,NA,NA,NA,NA,0,12,NA,9,"Y",NA,"Initial","Single Labor Organization",NA,"Open","Included: 
All full-time, regular part-time and per diem Registered Nurse Care Managers; 

Excluded: 
All other employees, guards, and supervisors as defined by the Act.",NA,NA,NA,251,2025-04-01,2024-07-01,"6-10",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",NA,"Still Open",7
"29-RC-343575","Region 29, Brooklyn, New York","Huntington Hospital Association",2024-06-03,2024-12-02,"Huntington","NY","A",2024-11-20,677,NA,"New York State Nurses Association",344,NA,NA,NA,NA,1,550,NA,3,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:
All full-time, part-time and per diem* employees licensed or otherwise lawfully
entitled to practice as a registered professional nurse employed by Huntington Hospital to
perform the following registered professional nursing services: staff nurse, case management
nurse, charge nurse, and nurse clinician (OR, Stress Testing, Cardiac Catheterization and EPS) employed by the Employer at Huntington Hospital.

Excluded:
Vice President for Nursing/CNO, all registered nurses in all services/departments
holding the titles of Deputy CNO, Senior Administrative Director, Administrative Director,
Director of Patient Care (including, without limitation, Nursing Education, Nursing Quality,
Professional Development), Assistant Director of Nursing, Clinical Professional Development
Educator, Associate Clinical Professional Development Educator, Staff Enterostomal Therapist,
Lactation Registered Nurse Specialist, Director of Infection Prevention, Infection Prevention
Specialist, Senior Infection Prevention Specialist, Manager of Employee Health Services,
Director Patient Logistics, Clinical Nurse Specialist, Nurse Scientist, Manager Patient Care,
Assistant Manager Patient Care, temporary registered nurses, all other employees, guards and
supervisors as defined in the Act.

*Per diem employees that are eligible to vote are those employees who worked an average of 4 hours or more per week over the preceding thirteen (13) weeks.",NA,NA,NA,170,2024-10-01,2024-04-01,"500>",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",0.997101449275362,"Yes",332
"29-RC-335631","Region 29, Brooklyn, New York","The Brooklyn Hospital Center",2024-02-12,2025-03-06,"Brooklyn","NY","A",2025-02-25,14,NA,"The New York State Nurses Association",8,NA,NA,NA,NA,0,8,NA,NA,NA,"The New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time, and per diem nurse educators residual to the existing unit of registered nurses represented by the New York State Nurses Association employed by the Employer at its facility located at 121 Dekalb Avenue, Brooklyn NY 11201.

Excluded: All other employees, guards, supervisors, and confidential employees as defined by the Act.",NA,NA,NA,379,2025-01-01,2024-01-01,"11-25",TRUE,"RC","Yes","The New York State Nurses Association",1,"NYSNA",1,"Yes",6
"03-RC-333830","Region 03, Buffalo, New York","Samaritan Medical Center",2024-01-19,2024-02-26,"Watertown","NY","A",2024-02-15,4,NA,"New York State Nurses Association",4,NA,NA,NA,NA,0,0,NA,NA,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time, regular part-time, and per diem Case Management Team RNs and Lead Case Managers employed by the Employer at its 830 Washington St., Watertown, New York location, as residual to the existing collective bargaining unit of Samaritan Medical Center employees currently represented by New York State Nurses Association; but excluding managers, guards, and supervisors as defined in the Act, and all other employees.",NA,NA,NA,27,2024-01-01,2024-01-01,"<5",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",NA,"Yes",0
"29-RC-307688","Region 29, Brooklyn, New York","South Nassau Communities Hospital d/b/a Mount Sinai South Nassau",2022-11-22,2023-11-30,"Rockville Centre","NY","A",2023-01-12,811,1,"The New York State Nurses Association",370,NA,NA,NA,NA,290,660,NA,12,NA,"The New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All regular full-time, part-time, and per diem licensed registered nurses, including inpatient dialysis, residents, fellows, and admitting nurses, and nurse practitioners that satisfy the following standard: worked an average of four (4) hours per week for the previous thirteen (13) weeks.

EXCLUDED: All other employees, including offsite outpatient nurses, quality coordinators, bed coordinators, intake coordinators, stroke coordinators, PI coordinators, care coordinators, bed coordinators, trauma PI coordinators, clinical coordinators, trauma injury prevention community outreach coordinators, inpatient bariatric coordinators, nurse educators (nurse educators, education specialists, professional development specialists, and professional development educators), care managers, case managers, outpatient infusion nurses, radiation oncology nurses (including gamma knife), home care nurses, managerial employees, confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,51,2023-01-01,2022-10-01,"500>",TRUE,"RC","Yes","The New York State Nurses Association",1,"NYSNA",0.560606060606061,"Yes",151
"29-RC-295125","Region 29, Brooklyn, New York","South Shore University Hospital",2022-05-04,2022-08-01,"Bay Shore","NY","A",2022-07-06,9,NA,"New York State Nurses Association",5,NA,NA,NA,NA,3,8,NA,NA,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem  Clinical Professional Development Educators, Clinical Program Managers, and Wound Care RN Specialists employed by the Employer in the Nursing Education department, as identified in the parties' Eligibility Agreement in Case 29-RC-295125.
Excluded: All other employees, confidential employees, guards and supervisors as defined in Section 2(11) of the Act.",NA,NA,NA,63,2022-07-01,2022-04-01,"6-10",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",0.625,"Yes",1
"02-RD-279982","Region 02, New York, New York","New York - Presbyterian Hudson Valley Hospital",2021-07-16,2021-08-17,"Cortlandt Manor","NY","A",2021-08-17,256,NA,"New York State Nurses Association",130,NA,NA,NA,NA,66,196,NA,3,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: 	All full-time, regular part-time, and per diem Registered Nurses performing direct patient care duties, employed by the Employer at its facility located at 1980 Crompond Rd, Cortlandt Manor, NY 10567

Excluded:	All other employees, including Nurse Educators, Nurse Practitioners, Employee Health Registered Nurses, Employee Health Nurse Practitioners, Quality Assurance, Patient Care Directors, Case Managers, Lactation Consultants, Operating Room Coordinators, Infection Control, Clinical Nurse Managers, Assistant Clinical Nurse Managers, managerial  employees, confidential employees, office clerical employees, and guards, and professional employees and supervisors as defined by the Act",NA,NA,NA,32,2021-07-01,2021-07-01,"101-500",TRUE,"RD","Yes","New York State Nurses Association",1,"NYSNA",0.663265306122449,"Yes",60
"29-RC-277725","Region 29, Brooklyn, New York","New York Presbyterian Brooklyn Methodist Hospital",2021-05-26,2021-07-20,"Brooklyn","NY","A",2021-07-06,11,NA,"New York State Nurses Association",5,NA,NA,NA,NA,5,10,NA,NA,NA,"New York State Nurses Association","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and part-time Certified Registered Nurse Anesthetists, residual to the existing unit of Registered Nurses.
Excluded: Supervisors, Guards, Confidential Employees, per diem Certified Registered Nurse Anesthetists, and all other employees.",NA,NA,NA,41,2021-07-01,2021-04-01,"11-25",TRUE,"RC","Yes","New York State Nurses Association",1,"NYSNA",0.5,"No",1
"02-RC-260759","Region 02, New York, New York","St Anthony Community Hospital",2020-05-22,2020-08-11,"Warwick","NY","A",2020-07-30,103,2,"The New York State Nurses Association",83,NA,NA,NA,NA,9,92,NA,4,NA,"The New York State Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time, and per diem registered nurses employed by the Employer at its 15 Maple Avenue, Warwick, New York facility, but excluding Physician’s Assistants, Robotics Clinical Coordinators, Certified Lactation Consultants, Nurse Educators, Nurse Practitioners, Quality Management Nurses, Bone and Joint Coordinators (Medical Surgery), Bariatric Data Coordinators, Metabolic/Bariatric Surgical Coordinators, Scheduling Operating Room Coordinators, Clinical Coordinators OP GI Services, Clinical Coordinators OP Infusion/Chemo, Operating Room Clinical Resource Coordinators, Mt Alverno Center employees, Scherviev Pavilion employees, St Joseph’s Place employees, Stress Test Registered Nurses, PACU Team Leads, Operating Room Team Leads, business office clerical employees, service employees, maintenance employees, technical employees, licensed practical nurses.

Excluded: All other employees, guards, and supervisors as defined in the National Labor Relations Act",NA,NA,NA,69,2020-07-01,2020-04-01,"101-500",TRUE,"RC","Yes","The New York State Nurses Association",1,"NYSNA",0.902173913043478,"Yes",11
