"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RD-392595","Region 32, Oakland, California","Sutter Health - Alta Bates Summit",2026-08-10,NA,"Oakland","CA",NA,NA,46,NA,"OPEIU - Local 29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","OPEIU - Local 29",1,"OPEIU",NA,"Still Open",NA
"08-RD-392505","Region 08, Cleveland, Ohio","Kinnect",2026-08-07,NA,"Cleveland","OH",NA,NA,33,NA,"Office and Professional Employees International Union, Local 792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","Office and Professional Employees International Union, Local 792",1,"OPEIU",NA,"Still Open",NA
"19-RM-392101","Region 19, Seattle, Washington","Protocall Services, Inc.",2026-07-31,NA,"Portland","OR",NA,NA,342,NA,"Office & Professional Employees International Union, Local 11, affiliated with the AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RM","No","Office & Professional Employees International Union, Local 11, affiliated with the AFL-CIO",1,"OPEIU",NA,"Still Open",NA
"18-RC-389358","Region 18, Minneapolis, Minnesota","Midwest Organic Services Association Inc",2026-06-22,NA,"Viroqua","WI",NA,NA,3,NA,"Office and Professional Employees International Union Local 39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No","Office and Professional Employees International Union Local 39",1,"OPEIU",NA,"Still Open",NA
"07-RC-386420","Region 07, Detroit, Michigan","Bronson-Acadia Joint Venture, LLC",2026-05-01,NA,"Battle Creek","MI",NA,NA,51,NA,"Local 459, Office and Professional Employees International Union (OPEIU), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","Local 459, Office and Professional Employees International Union (OPEIU), AFL-CIO",1,"OPEIU",NA,"Still Open",NA
"18-RC-385103","Region 18, Minneapolis, Minnesota","Midwest Organic Services Association Inc.",2026-04-17,2026-06-18,"Viroqua","WI","A",2026-06-09,28,NA,"Office and Professional Employees International Union - Local 39",19,NA,NA,NA,NA,3,22,NA,4,NA,"Office and Professional Employees International Union - Local 39","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Administrative Team Leaders, Administrative Specialists, Assistant Inspection Managers, Certification Compliance Specialists, Certification Customer Service Specialists, Certification Specialists, Client Services Coordinators, Client Services Specialists, Handler Customer Service Specialists, Inspection Coordinators, Inspection Specialists, IT Systems Analysts, Materials Review Specialists, and Program Managers (TOPP) employed by the Employer remotely and/or at its facility located in Viroqua, Wisconsin.

Excluded: All confidential employees, Staff Inspector employees, managerial employees, and guards, and supervisors as defined under the Act.",NA,NA,NA,53,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Office and Professional Employees International Union - Local 39",1,"OPEIU",0.863636363636364,"Yes",6
"21-RC-378671","Region 21, Los Angeles, California","Womanhaven, A Center for Family Solutions",2026-01-09,2026-03-04,"El Centro","CA","A",2026-02-23,2,NA,"Office and Professional Employees International Union, Local 30",1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES

Included: All full-time and regular part-time professional employees, including mental health counselors, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees, donation center temps, eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, quality control associates, shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, assistant thrift store assistant, office clerical employees, managerial employees, guards, and supervisors as defined in the Act.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",45,2026-01-01,2026-01-01,"<5",TRUE,"RC","Yes","Office and Professional Employees International Union, Local 30",1,"OPEIU",0.5,"Yes",0
"21-RC-378671","Region 21, Los Angeles, California","Womanhaven, A Center for Family Solutions",2026-01-09,2026-03-04,"El Centro","CA","B",2026-02-23,22,NA,"Office and Professional Employees International Union, Local 30",13,NA,NA,NA,NA,7,20,NA,1,NA,"Office and Professional Employees International Union, Local 30","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES

Included: All full-time and regular part-time professional employees, including mental health counselors, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees, donation center temps, eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, quality control associates, shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, assistant thrift store assistant, office clerical employees, managerial employees, guards, and supervisors as defined in the Act.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES

Included:  All full-time and regular part-time non-professional employees, including administrative assistants WP, advocate liaison and child program coordinators, client advocates, community outreach employees eligibility intake workers/housing advocates, empowerment coach advocates, housing advocates/advocate liaisons, lead case managers/shelter advocates, lead sales associates, maintenance clerks,  mental health technicians, office clerical employees,  shelter advocate/bilingual advocate, thrift store associate/warehouse, thrift store retail staff, thrift store cashier/sales clerk, and quality control associates, employed by the Employer at its facility currently located at 510 West Main Street, Suite 106, El Centro, California.

Excluded: All other employees, temporary employees, mental health counselors, managerial employees, guards, and supervisors as defined in the Act. 

Others Permitted to Vote – VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES :  The parties have agreed that maintenance property workers, office administrators/finance technicians, account specialists, and records management analysts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",45,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Office and Professional Employees International Union, Local 30",1,"OPEIU",0.65,"Yes",2
"10-RC-378390","Region 10, Atlanta, Georgia","Residential Enhancements, Inc., d/b/a RE Global",2026-01-07,2026-03-24,"Fort Stewart","GA","A",2026-03-16,17,NA,"Industrial Technical and Professional Employees Union, OPEIU Local 4873",11,NA,NA,NA,NA,0,11,NA,NA,NA,"Industrial Technical and Professional Employees Union, OPEIU Local 4873","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time janitorial employees working at schools at Fort
Stewart, Georgia under federal contract number HE125425CE005, and any and all
successor government contract numbers, but excluding all other employees, clerical
employees, professionals, managers, guards and supervisors as defined in the Act.",NA,NA,NA,68,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Industrial Technical and Professional Employees Union, OPEIU Local 4873",1,"OPEIU",1,"Yes",6
"08-RC-376011","Region 08, Cleveland, Ohio","Spencer Flora d/b/a Rising Star Coffee Roasters",2025-12-01,2026-01-28,"Cleveland","OH","A",2026-01-07,38,NA,"Office and Professional Employees International Union, Local 792",23,NA,NA,NA,NA,11,34,NA,NA,NA,"Office and Professional Employees International Union, Local 792","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Baristas, Delivery Drivers, Coffee
Production employees, and Head Roasters employed by the Employer at the
following locations:

• Arcade: 412 Superior Ave., Cleveland, OH 44114
• Roastery: 3617 Walton Ave., Cleveland, OH 44113
• Hingetown: 1455 W. 29th St., Cleveland, OH 44113
• Tremont: 710 Jefferson Ave., Cleveland, OH 44113
• Cleveland Heights: 2184 S. Taylor Rd., Cleveland Heights, OH 44118
• Lakewood: 13380 Madison Ave., Lakewood, OH 44107
• Van Aken: 3441 Tuttle Rd., Suite 001, Shaker Heights, OH 44122

EXCLUDED: All other employees, including Social Media Managers, Café Managers,
Assistant Café Managers, Executive Assistants, Production Managers,
Coffee Directors, and any other managerial employees, office clerical
employees, confidential employees, professional employees, guards, and
supervisors as defined by the Act.",NA,NA,NA,37,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","Office and Professional Employees International Union, Local 792",1,"OPEIU",0.676470588235294,"Yes",4
"21-RM-372941","Region 21, Los Angeles, California","California Community Foundation",2025-09-08,2025-12-18,"Los Angeles","CA","A",2025-12-10,49,1,"Office and Professional Employees International Union, Local 30",15,NA,NA,NA,NA,24,39,NA,6,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time non-supervisory employees employed by the Employer at its facility currently located at 717 West Temple Street, Los Angeles, California.

Excluded:  All other employees, office clerical employees, managerial employees, independent contractors, confidential employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,93,2025-10-01,2025-07-01,"26-50",TRUE,"RM","Yes","Office and Professional Employees International Union, Local 30",1,"OPEIU",0.384615384615385,"No",10
"19-RC-371293","Region 19, Seattle, Washington","Ponderful LLC",2025-08-12,2025-09-08,"Bremerton","WA","A",2025-08-28,32,NA,"Industrial Technical & Professional Employees Union, OPEIU Local 4873, AFL-CIO",9,NA,NA,NA,NA,1,10,NA,NA,NA,"Industrial Technical & Professional Employees Union, OPEIU Local 4873, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Stocking, Janitorial, and RSHA employees employed by the Employer at Kitsap Naval Base in Bremerton, Washington. 

Excluded: All other employees, employees represented by other labor organizations, office clerical employees, professional employees, managerial employees, and guards and supervisors as defined by the Act.",NA,NA,NA,16,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","Industrial Technical & Professional Employees Union, OPEIU Local 4873, AFL-CIO",1,"OPEIU",0.9,"Yes",22
