"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"06-RC-376752","Region 06, Pittsburgh, Pennsylvania","Indiana Regional Medical Center",2025-12-09,2026-01-26,"Indiana","PA","A",2026-01-15,151,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",58,NA,NA,NA,NA,75,136,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time, regular part-time and casual Ultrasound Technologists, Anesthesia Tech IIIs, Cath Lab Imaging Techs, Clinic Techs, Clinical Laboratory Techs, Intake Coordinators, Length of Stay Coordinators, Robotics Coordinators, Certified Occupational Therapy Assistant, Lead CT Technologists, CT Technologists, Endoscopy Techs, Lead Clinic Techs, Lead Echo Techs, Lead Mammography Techs, Lead MRI Techs, Lead Neurodiagnostic Techs, Lead Nuclear Medicine Techs, Lead Radiology Techs, Lead Ultrasound Techs, Licensed Practical Nurses, Mammography Techs, Supply Chain Technologists, Surgical Technicians, MRI Techs, Neurodiagnostic Techs, Nuclear Medicine Technologists, Physical Therapy Assistants, Radiology Techs, Registered Echo Techs, Respiratory Therapists, and Utilization Reviewers employed at the employer’s following eight locations: (1) 835 Hospital Road, Indiana, PA, 15701; (2) 120 IRMC Drive, Indiana, PA 15701; (3) 145 IRMC Drive, Indiana, PA 15701; (4) 100 Neal Ave., Marion Center, PA 15759 ; (5) 25 Colony Blvd. Blairsville, PA 15717; (6) 216 Glessner Street, Ligonier, PA 15658; (7) 4210 Crawford Ave., Northern Cambria, PA 15714; (8) 238 Indiana St., Seward, PA 15954. 

Excluded: All Registered Nurses, production, service, and maintenance employees, office clerical employees, professional employees, confidential employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,37,2026-01-01,2025-10-01,"101-500",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.43609022556391,"No",18
"06-RC-363305","Region 06, Pittsburgh, Pennsylvania","Butler Healthcare Providers",2025-04-07,2025-06-02,"Butler","PA","A",2025-05-22,239,1,"Pennsylvania Association of Staff Nurses and Allied Professionals",130,NA,NA,NA,NA,39,169,NA,29,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem/ “casual” technical employees, including Procedures Technologist, Lead Special Procedures Technologist, Cardiac Cath Rad Tech, EP Rad Technologist; CT Technologist, Lead CT Technologist, Certified Occupational Therapy Assistant/COTA, Echocardiographer Technologist/ECHO PV Lab Tech, Senior Echocardiographer Technologist/Senior ECHO PV Lab Tech, Lead Echocardiographer Technologist/Senior ECHO PV Lab Tech, Licensed Practical Nurse; Mammography Technologist, Lead Mammography Technologist, MRI Technologist, Lead MRI Technologist, Advanced Emergency Care Technician, Medical Lab Technologist, Nuclear Medicine Technologist, Lead Nuclear Medicine Technologist, Surgical Technologist, Physical Therapy Assistant/PTA, Respiratory Therapist, Senior Respiratory Therapist, Lead Respiratory Therapist, Senior Polysomnographer, Lead Polysomnographer, Polysomnographer, Ultrasound Technologist, Lead Ultrasound Technologist, Radiology Technologist/Radiological Technologist, and Lead Radiology Technologist/Radiological Technologist employed by the Employer at its Butler Memorial Hospital and outpatient facilities located in Butler, Slippery Rock, Kittanning, Seven Fields, Saxonburg, Server, and New Castle, Pennsylvania.
 
Excluded: All registered nurses, monitor technicians, service and maintenance employees, skilled maintenance employees, office clerical employees, managerial employees, confidential employees, and guards, and professional employees and supervisors as defined in the Act. 


Voting subject to challenge are: 
 
1.	Clinical Care Center Agent
2.	FasterCare Radiological Technologists
3.	Sr. FasterCare Radiological Technologists
4.	FasterCare LPN/LPN Subsidiary",NA,NA,NA,45,2025-04-01,2025-04-01,"101-500",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.769230769230769,"Yes",70
"04-RC-353350","Region 04, Philadelphia, Pennsylvania","Temple University Hospital-Jeanes Campus",2024-10-24,2024-11-18,"Philadelphia","PA","A",2024-11-07,5,NA,"Jeanes Nurses United/Pennsylvania Association of Staff Nurses and Allied Professionals",4,NA,NA,NA,NA,0,4,NA,NA,NA,"Jeanes Nurses United/Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per-diem registered nurses (RNs) in the Case Management Department employed by the Hospital at its 7600 Central Avenue, Philadelphia, PA facility.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded: All other employees, staff registered nurses (RNs), professional employees, technical employees, skilled maintenance employees, business office clerical employees, confidential employees, guards and supervisors as defined in the Act.

If a majority of valid ballots are cast for Jeanes Nurses United/Pennsylvania Association of Staff Nurses and Allied Professionals, they will be taken to have indicated the employees' desire to be included in the existing unit of Staff Nurses currently represented by Jeanes Nurses United/Pennsylvania Association of Staff Nurses and Allied Professionals. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees' desire to remain unrepresented.",NA,NA,NA,14,2024-10-01,2024-10-01,"<5",TRUE,"RC","Yes","Jeanes Nurses United/Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",1,"Yes",1
"04-RD-346551","Region 04, Philadelphia, Pennsylvania","Pottstown Hospital, LLC",2024-07-19,2024-08-30,"Pottstown","PA","A",2024-08-22,261,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP)",129,NA,NA,NA,NA,81,210,NA,12,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP)","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and per diem registered nurses employed by the Employer at its 1600 East High Street, Pottstown, PA facility.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

EXCLUDED: All other employees, including professional employees, technical employees, service and maintenance employees, skilled maintenance employees, business office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,34,2024-07-01,2024-07-01,"101-500",TRUE,"RD","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP)",1,"PASNAP",0.614285714285714,"Yes",51
"04-RC-344319","Region 04, Philadelphia, Pennsylvania","Temple University Hospital-Jeanes Campus",2024-06-13,2024-07-17,"Philadelphia","PA","A",2024-07-09,70,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",43,NA,NA,NA,NA,6,49,NA,NA,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per-diem professional employees, including Staff Chaplains, Nutritionists, Medical Technologists, Physician Assistants, Registered Pharmacists, Clinical Specialist Pharmacy, Social Workers, Physical Therapists, Physical Therapist Pool, Occupational Therapists, Speech Therapists, Senior Speech Therapists, Cardiopulmonary Therapists, Senior Physical Therapists, Senior Occupational Therapists, and Senior Cardiopulmonary Therapists employed by the Employer at its 7600 Central Avenue, Philadelphia, PA facility.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded: All other employees, Registered Nurses (RNs), service and maintenance employees, skilled maintenance employees, business employees, office employees, clerical employees, confidential employees, guards and supervisors as defined in the Act.

As indicated, professional employees will vote as to whether or not they wish to be included in a unit with nonprofessional employees. If a majority of the professional employees vote Yes to the first question, indicating their desire to be included in a unit with nonprofessional employees, they will be taken to have indicated the employees’ desire to be included in the existing unit of nonprofessionals as set forth in the certification of representative for Case 04-RC-333419, and their votes on the second question will be counted to decide the question concerning representation for the professional employees. If on the other hand, a majority of the professional employees voting do not vote “Yes” to the first question, their ballots will be counted to decide the question concerning representation in a separate unit of professional employees.",NA,NA,NA,26,2024-07-01,2024-04-01,"51-100",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.877551020408163,"Yes",21
"06-RC-337916","Region 06, Pittsburgh, Pennsylvania","Indiana Regional Medical Center",2024-03-14,2024-04-25,"Indiana","PA","A",2024-04-17,263,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",224,NA,NA,NA,NA,8,232,NA,1,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time, casual and casual/per diem registered nurses employed by the Employer at Indiana Regional Medical Center, 835 Hospital Road, Indiana, PA 15701; Pain Clinic, 120 IRMC Drive, Indiana, PA 15701; Wound Clinic, 119 Building, 1265 Wayne Ave, Indiana, PA 15701; and UrgiCare, 25 Colony Blvd, Blairsville, PA 15717.  
 
Excluded: All technical employees, service and maintenance employees, skilled maintenance employees, business office clerical employees, managerial employees, confidential employees, and guards, and other professional employees and supervisors as defined in the Act.",NA,NA,NA,34,2024-04-01,2024-01-01,"101-500",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.96551724137931,"Yes",31
"04-RC-336410","Region 04, Philadelphia, Pennsylvania","Prospect CCMC, LLC d/b/a Taylor Hospital and Prospect Crozer Home Health and Hospice, LLC",2024-02-23,2024-04-12,"Plymouth Meeting","PA","A",2024-04-04,155,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",123,NA,NA,NA,NA,2,125,NA,NA,"N","Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: (1) all full-time, regular part-time and per diem* registered nurses in nursing positions, including case managers, employed by Prospect CCMC, LLC d/b/a Taylor Hospital, at its 175 E. Chester Pike, Ridley Park, PA facility; and (2) all full-time, regular part-time and per diem* home care hospice registered nurses employed by Prospect Crozer Home Health and Hospice, LLC, based at 190 W. Sproul Road, Springfield, PA.

*Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded: All other employees, including registered nurses in non-nursing positions, pre-admission testing coordinators, directors, nurse managers, administrative supervisors, clinical educators, quality assurance coordinators, catheterization lab supervisor, cardiac rehabilitation manager, cardiac rehabilitation employees, patient educators, guards and supervisors as defined in National Labor Relations Act.",NA,NA,NA,41,2024-04-01,2024-01-01,"101-500",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.984,"Yes",30
"04-RC-329442","Region 04, Philadelphia, Pennsylvania","The Institute for Cancer Research d/b/a Fox Chase Cancer Center",2023-11-06,2023-12-22,"Philadelphia","PA","A",2023-12-14,83,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",59,NA,NA,NA,NA,12,71,NA,1,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time and per-diem professional employees including Clinical Research Nurse, Clinical Research Monitor, Regulatory Coordinator, National Cancer Institute Research Quality Assurance Analyst, Research Quality Assurance  Analyst, Clinical Research Coordinator, Clinical Research Data Specialist, Senior Clinical Research Data Specialist, Financial Analyst, Systems Coordinator, Institutional Review Board Analyst, Financial Counselor, Budget Financial Analyst, Senior National Cancer Institute Regulatory Coordinator, Research Compliance Specialist, Senior Research Quality Assurance Analyst, Protocol Development Coordinator, Project Coordinator and Research Review Committee Coordinator employed by the Employer at its Office of Clinical Research located at 333 Cottman Avenue, Philadelphia, PA.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.

Excluded: All other employees, non-professional employees, confidential employees, guards and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that employees in the classification of Senior Clinical Research Educator may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,38,2023-10-01,2023-10-01,"51-100",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.830985915492958,"Yes",12
"04-RC-329414","Region 04, Philadelphia, Pennsylvania","CHH Community Health, Inc. d/b/a Chestnut Hill Hospital",2023-11-06,2023-12-19,"Philadelphia","PA","A",2023-12-11,88,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",60,NA,NA,NA,NA,5,65,NA,1,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time, regular part-time and per diem technical employees, including Cardiac Ultrasound Techs, CT Technologists, Endo Techs, Interventional Rad Techs, Lead Mammo Techs, Lead MRI Techs, Lead Radiologic Technologists, LPNs, Mammo Technologists, Medical Lab Technologists, MRI Technologists, Radiological Technologists I, Respiratory Therapists Certified, Respiratory Therapists Reg, Surgical Techs First Assistant, Surgical Techs and Ultrasound Techs employed by the Employer at its 8835 Germantown Ave., Philadelphia, PA facility.

EXCLUDED: All other employees, Registered Nurses (RNs), professional employees, service and maintenance employees, skilled maintenance employees, business office clerical employees, confidential employees, guards and supervisors as defined in the Act.  

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,35,2023-10-01,2023-10-01,"51-100",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.923076923076923,"Yes",23
"04-RC-329415","Region 04, Philadelphia, Pennsylvania","CHH Community Health, Inc. d/b/a Chestnut Hill Hospital",2023-11-06,2023-12-19,"Philadelphia","PA","A",2023-12-11,214,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals",125,NA,NA,NA,NA,47,172,NA,2,NA,"Pennsylvania Association of Staff Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time, regular part-time and per diem Registered Nurses (RNs), RNs First Assist, and Nurse Case Managers employed by the Employer at its 8835 Germantown Ave., Philadelphia, PA facility.

EXCLUDED: All other employees, technical employees, professional employees, service and maintenance employees, skilled maintenance employees, business office clerical employees, confidential employees, guards and supervisors as defined in the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,35,2023-10-01,2023-10-01,"101-500",TRUE,"RC","Yes","Pennsylvania Association of Staff Nurses and Allied Professionals",1,"PASNAP",0.726744186046512,"Yes",42
