"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"07-RC-342114","Region 07, Detroit, Michigan","Midwest Air Traffic Control Services, Inc.",2024-05-13,2024-06-21,"Battle Creek","MI","A",2024-06-10,5,NA,"Professional Air Traffic Controllers Organization, Inc.",4,NA,NA,NA,NA,0,4,NA,NA,NA,"Professional Air Traffic Controllers Organization, Inc.","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at or out of the facility located at 16061 South Airport Road, Battle Creek, Michigan 49015; but excluding air traffic managers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,28,2024-04-01,2024-04-01,"<5",TRUE,"RC","Yes","Professional Air Traffic Controllers Organization, Inc.",1,"PATCO",1,"Yes",1
"13-RC-309752","Region 13, Chicago, Illinois","Midwest Air Traffic Control Service, Inc.",2023-01-03,2023-02-28,"Romeoville","IL","A",2023-02-17,4,NA,"Professional Air Traffic Controllers Organization, Inc.",4,NA,NA,NA,NA,0,4,NA,NA,NA,"Professional Air Traffic Controllers Organization, Inc.","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Air Traffic Controllers employed by the Employer working at Lewis University Airport (LOT) in Romeoville, Illinois. 
Excluded: Air Traffic Manager, office clerical employees and guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,45,2023-01-01,2023-01-01,"<5",TRUE,"RC","Yes","Professional Air Traffic Controllers Organization, Inc.",1,"PATCO",1,"Yes",0
"13-RC-309601","Region 13, Chicago, Illinois","Midwest Air Traffic Control Service, Inc.",2022-12-28,2023-02-28,"Waukegan","IL","A",2023-02-17,3,NA,"Professional Air Traffic Controllers Organization, Inc.",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Professional Air Traffic Controllers Organization, Inc.","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Air Traffic Controllers employed by the Employer working at Waukegan National Airport (UGN) in Waukegan, Illinois.

Excluded: Air Traffic Manager, office clerical employees and guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,51,2023-01-01,2022-10-01,"<5",TRUE,"RC","Yes","Professional Air Traffic Controllers Organization, Inc.",1,"PATCO",1,"Yes",1
"01-RD-306960","Region 01, Boston, Massachusetts","Midwest Air Traffic Control Services Inc.",2022-11-14,2023-02-21,"West Tisbury","MA","A",2023-02-08,3,1,"Professional Air Traffic Controllers Organization (PATCO)",0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time air traffic control specialists employed at Employer's location in West Tisbury, MA; and 

Excluded: All office clerical employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,86,2023-01-01,2022-10-01,"<5",TRUE,"RD","Yes","Professional Air Traffic Controllers Organization (PATCO)",1,"PATCO",NA,"No",1
"18-RC-301444","Region 18, Minneapolis, Minnesota","Midwest Air Traffic Control Service, Inc.",2022-08-12,2022-09-21,"Mosinee","WI","A",2022-09-14,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)",4,NA,NA,NA,NA,0,4,NA,NA,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by Midwest Air Traffic Control Service, Inc. at the Central Wisconsin Airport – Air Traffic Control Tower located at 300 Aviation Way, Mosinee, WI  54455, but excluding all other employees, office clerical employees, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,33,2022-07-01,2022-07-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)",1,"PATCO",1,"Yes",0
"06-RC-300982","Region 06, Pittsburgh, Pennsylvania","Midwest Air Traffic Control Service, Inc.",2022-08-09,2022-09-13,"Montoursville","PA","A",2022-09-02,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by Midwest Air Traffic Control Service, lnc. at the Williamsport Regional Airport - Air Traffic Control Tower located at 710 Airport Road, Montoursville, PA 11754, but excluding all other employees, office clerical employees, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,24,2022-07-01,2022-07-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC. (PATCO)",1,"PATCO",1,"Yes",2
"18-RC-281728","Region 18, Minneapolis, Minnesota","Midwest Air Traffic Control Service, Inc.",2021-08-20,2021-10-05,"Overland Park","KS","A",2021-09-28,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",4,NA,NA,NA,NA,0,4,NA,NA,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Air Traffic Control Specialists employed at the Southern Wisconsin Regional Airport in Janesville, Wisconsin; excluding Air Traffic Managers, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,39,2021-07-01,2021-07-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",1,"PATCO",1,"Yes",0
"04-RC-250395","Region 04, Philadelphia, Pennsylvania","Midwest Air Traffic Control Service, Inc.",2019-10-23,2019-11-18,"Lititz","PA","A",2019-11-07,4,NA,"Professional Air Traffic Controllers Organization, Inc.  (PATCO)",4,NA,NA,NA,NA,0,4,NA,NA,NA,"Professional Air Traffic Controllers Organization, Inc.  (PATCO)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time air traffic control specialists employed by the Employer at its 200 East Millport Road, Lititz, Pennsylvania facility.

Excluding: All office clerical employees, managerial employees, confidential employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,15,2019-10-01,2019-10-01,"<5",TRUE,"RC","Yes","Professional Air Traffic Controllers Organization, Inc.  (PATCO)",1,"PATCO",1,"Yes",0
"06-RC-243357","Region 06, Pittsburgh, Pennsylvania","Midwest Air Traffic Control Service, Inc.",2019-06-17,2019-07-17,"State College","PA","A",2019-07-09,3,NA,"Professional Air Traffic Controllers Organization, Inc.",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Professional Air Traffic Controllers Organization, Inc.","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Air Traffic Control Specialists; employed by the Employer at its facility located a 2499 Fox Hill Rd. State College, PA 16803; but excluding all office clerical employees, managerial employees, confidential employees, and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,22,2019-07-01,2019-04-01,"<5",TRUE,"RC","Yes","Professional Air Traffic Controllers Organization, Inc.",1,"PATCO",1,"Yes",0
"01-RC-243314","Region 01, Boston, Massachusetts","Midwest Air Traffic Control Service, Inc.",2019-06-14,2019-07-18,"East Haven","CT","A",2019-07-10,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",4,NA,NA,NA,NA,0,4,NA,NA,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at its facility at 10 Thompson Avenue, East Haven, Connecticut, but excluding all other employees, and guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,26,2019-07-01,2019-04-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",1,"PATCO",1,"Yes",0
"13-RC-242341","Region 13, Chicago, Illinois","Midwest Air Traffic Control Service, Inc.",2019-05-29,2019-07-19,"Waukegan","IL","A",2019-06-24,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time air traffic controllers employed by the Employer at the Airport Traffic Control Tower of the Waukegan National Airport currently located at 2601 West Plane Rest Drive in Waukegan, Illinois; 

Excluded: Air traffic managers, office clerical employees, managerial employees, and professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,26,2019-04-01,2019-04-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",1,"PATCO",0.5,"Yes",0
"18-RC-234173","Region 18, Minneapolis, Minnesota","Midwest Air Traffic Control Service, Inc.",2019-01-16,2019-02-14,"Milwaukee","WI","A",2019-02-06,4,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",2,NA,NA,NA,NA,1,3,NA,NA,NA,"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time air traffic control specialists employed by the Employer at the Lawrence J. Timmerman Airport, 5001 N. 91st Street, Milwaukee, Wisconsin facility; 
Excluded: Air traffic managers, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,21,2019-01-01,2019-01-01,"<5",TRUE,"RC","Yes","PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC.",1,"PATCO",0.666666666666667,"Yes",1
