"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392876","Region 10, Atlanta, Georgia","St. Martin's In The Pines",2026-08-14,NA,"Birmingham","AL",NA,NA,58,NA,"Retail Wholesale and Department Store Union Mid-South Council",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Retail Wholesale and Department Store Union Mid-South Council",1,"RWDSU",NA,"Still Open",NA
"25-RC-391353","Region 25, Indianapolis, Indiana","Lit Books and Bar LLC d/b/a The Literary",2026-07-23,NA,"Champaign","IL",NA,NA,24,NA,"Retail, Wholesale and Department Store Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Retail, Wholesale and Department Store Union",1,"RWDSU",NA,"Still Open",NA
"29-RC-389038","Region 29, Brooklyn, New York","Barnes and Noble Booksellers, Inc.",2026-06-17,2026-07-28,"Massapequa Park","NY","A",2026-07-17,16,NA,"Local 1102 Retail Wholesale and Department Store Union, United Food and Commercial Workers",11,NA,NA,NA,NA,2,13,NA,NA,NA,"Local 1102 Retail Wholesale and Department Store Union, United Food and Commercial Workers","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Booksellers, Senior Booksellers, and Lead Booksellers employed by the Employer at its 5224 Sunrise Highway, Massapequa Park, New York facility. 
Excluded: All store managers, assistant store managers, deputy assistant store managers, confidential employees, managerial employees, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,30,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Local 1102 Retail Wholesale and Department Store Union, United Food and Commercial Workers",1,"RWDSU",0.846153846153846,"Yes",3
"02-RC-381600","Region 02, New York, New York","Great Pacific Iron Works",2026-02-20,NA,"Manhattan","NY","A",2026-03-21,21,NA,"Retail Wholesale Department Store Union (RWDSU)",12,NA,NA,NA,NA,0,0,NA,6,NA,"Retail Wholesale Department Store Union","Initial","Single Labor Organization",NA,"Open","Included: All full-time, regular part-time employees, including Customer Experience Guides and Team Leaders, employed by the Employer at 61-63 Crosby Street, New York, New York. 

Excluded: All Seasonal Fixed Term Customer Experience Guides, office clerical employees, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,29,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Retail Wholesale Department Store Union (RWDSU)",1,"RWDSU",NA,"Still Open",9
"22-RC-377099","Region 22, Newark, New Jersey","Complete Care at West Caldwell LLC",2025-12-15,2026-03-02,"West Caldwell","NJ","A",2026-02-17,15,NA,"RETAIL, WHOLESALE AND DEPARTMENT STORE UNION, UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 262",8,NA,NA,NA,NA,1,9,NA,NA,NA,"RETAIL, WHOLESALE AND DEPARTMENT STORE UNION, UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 262","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All Full-Time and Regular Part-Time Licensed Practical Nurses (LPNs) employed by the Employer at its West Caldwell, New Jersey facility.
EXCLUDED:  	All Office Clerical Employees, Managers, Infection Protectionist, Guards, Professional Employees, and Supervisors as defined in the Act, and all Other Employees.",NA,NA,NA,64,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","RETAIL, WHOLESALE AND DEPARTMENT STORE UNION, UNITED FOOD AND COMMERCIAL WORKERS, LOCAL 262",1,"RWDSU",0.888888888888889,"Yes",6
"10-RC-374741","Region 10, Atlanta, Georgia","Pine Hill Rehabilitation and Wellness",2025-11-18,2025-12-15,"Birmingham","AL","A",2025-12-04,57,NA,"Retail, Wholesale and Department Store Union Mid-South",4,NA,NA,NA,NA,26,30,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Certified Nursing Assistants and medication
assistance certified (MACS) employed by the Employer at its healthcare facility located
at 200 North Pine Hill Road, Birmingham, Alabama 35217.

Excluded: All other employees, all registered nurses, licensed practical nurses,
maintenance, housekeeping assistants, PRN Certified Nursing Assistants, PRN
medication assistance certified (MACS), dietary aids, office clerical employees,
professional employees, confidential employees, managers, guards and supervisors as
defined in the Act.",NA,NA,NA,16,2025-10-01,2025-10-01,"51-100",TRUE,"RC","Yes","Retail, Wholesale and Department Store Union Mid-South",1,"RWDSU",0.133333333333333,"No",27
"15-RC-369323","Region 15, New Orleans, Louisiana","Arkema",2025-07-15,2025-08-21,"Axis","AL","A",2025-08-13,66,NA,"Retail, Wholesale and Department Store Union International",10,NA,NA,NA,NA,56,67,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Operations, Maintenance (I&E), Logistics, Waste Water, and Lab employees. 

Excluded: All Salaried, Managerial, Clerical, Sub Contractor Personnel, Managers, and Supervisors as defined by the Act.",NA,NA,NA,29,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","Retail, Wholesale and Department Store Union International",1,"RWDSU",0.151515151515152,"No",0
"25-RC-367479","Region 25, Indianapolis, Indiana","Damen Healthcare Group, LLC d/b/a Citadel Healthcare and The Citadel of Bourbonnais",2025-06-13,2025-07-21,"Bourbonnais (Township)","IL","A",2025-07-11,38,NA,"Retail, Wholesale, and Department Store Union",24,NA,NA,NA,NA,7,31,NA,1,NA,"Retail, Wholesale, and Department Store Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All certified nursing assistants employed by the Employer at its Bourbonnais, Illinois facility, who have worked 60 hours or more during the
                preceding fiscal quarter.

Excluded: All licensed practical nurses, registered nurses, office clerical employees, casual employees who have worked less than 60 hours in the
                 preceding fiscal quarter, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,28,2025-07-01,2025-04-01,"26-50",TRUE,"RC","Yes","Retail, Wholesale, and Department Store Union",1,"RWDSU",0.774193548387097,"Yes",7
"29-RC-364487","Region 29, Brooklyn, New York","Gotham NYC Management LLC d/b/a Gotham",2025-04-24,2025-06-25,"Brooklyn","NY","A",2025-06-11,25,NA,"Local 338, Retail, Wholesale and Department Store Union, UFCW",18,NA,NA,NA,NA,3,21,NA,3,NA,"Local 338, Retail, Wholesale and Department Store Union, UFCW","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: 
All full time and regular part time non-supervisory employees employed at the Employer’s facility located at 296 Kent Avenue, Brooklyn, NY, including but not limited to, all Budtenders/Sales Associates, Delivery Drivers, Inventory Specialists/Inventory Associates
 
Excluded: 
All General Managers, Assistant Store Managers, Sales Floor Supervisors, Delivery Supervisors, Inventory Supervisors, supervisors, guards, and employees excluded under the National Labor Relations Act or policy of the National Labor Relations Board",NA,NA,NA,48,2025-04-01,2025-04-01,"11-25",TRUE,"RC","Yes","Local 338, Retail, Wholesale and Department Store Union, UFCW",1,"RWDSU",0.857142857142857,"Yes",4
"06-RC-362654","Region 06, Pittsburgh, Pennsylvania","Vestis Services, LLC",2025-03-27,2025-05-07,"Warrendale","PA","A",2025-04-25,25,NA,"Retail, Wholesale and Department Store Union (UFCW)",19,NA,NA,NA,NA,2,21,NA,NA,NA,"Retail, Wholesale and Department Store Union (UFCW)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All regular full-time and part-time Route Sales Representatives, Route Sales Support, and Loaders/Unloaders working at the Employer’s facility at 1913 Thornhill Road, Warrendale, PA 15086.
Excluded: All office clerical, managerial employees, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,29,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Retail, Wholesale and Department Store Union (UFCW)",1,"RWDSU",0.904761904761905,"Yes",4
"10-RC-362476","Region 10, Atlanta, Georgia","Diversicare of Pell City, LLC",2025-03-24,2025-05-06,"Pell City","AL","A",2025-04-24,24,NA,"Retail, Wholesale and Department Store Union Mid-South",13,NA,NA,NA,NA,5,18,NA,NA,NA,"Retail, Wholesale and Department Store Union Mid-South","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Certified Nursing Assistants and Nursing
CMA Med Techs (MedTechs).

Excluded: All other employees, all registered nurses, licensed practical nurses,
maintenance, nurse assistants in training (NAITs), PRN Certified Nursing Assistants,
PRN Nursing CMA Med Techs (MedTechs), dietary aids, cooks, housekeeping
assistants, casual employees, and all other employees, office clerical employees,
guards, professional employees, confidential employees, managers, and supervisors as
defined in the Act.",NA,NA,NA,31,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Retail, Wholesale and Department Store Union Mid-South",1,"RWDSU",0.722222222222222,"No",6
