"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RD-390809","Region 19, Seattle, Washington","Sinclair Media of Seattle d/b/a KOMO TV",2026-07-16,NA,"Seattle","WA","A",2026-08-12,22,NA,"Screen Actors Guild- American Federation of Television and Radio Artists (SAG-AFTRA)",7,NA,NA,NA,NA,9,16,NA,NA,NA,"Screen Actors Guild- American Federation of Television and Radio Artists (SAG-AFTRA)","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,27,2026-07-01,2026-07-01,"11-25",TRUE,"RD","Yes","Screen Actors Guild- American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.4375,"Still Open",6
"16-RD-389005","Region 16, Fort Worth, Texas","Texas Public Radio",2026-06-17,2026-07-31,"San Antonio","TX","A",2026-07-23,11,NA,"SCREEN ACTORS GUILD - AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS (SAG-AFTRA)",5,NA,NA,NA,NA,6,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:
All full-time and regular part-time employees of Texas Public Radio who create News content for broadcast and digital platforms including Reporters, Reporter IIs, News Desk Assistants, Producers, Reporter & Producers, Anchor/Producers, Engagement Producer/Intern Coordinators, and Contributing Editors employed by the Employer at or out of its facility located at 321 West Commerce Street, San Antonio, Texas 78205, who were employed by the Employer during the payroll period ending June 14, 2026.

Excluded:
All other employees, Marketing Department employees, Development Department employees, employees of KPAC, guards and supervisors as defined by the Act.",NA,NA,NA,36,2026-07-01,2026-04-01,"11-25",TRUE,"RD","Yes","SCREEN ACTORS GUILD - AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS (SAG-AFTRA)",1,"SAG-AFTRA",0.454545454545455,"No",0
"04-RC-388814","Region 04, Philadelphia, Pennsylvania","QVC, Inc. and HSNi, LLC, wholly owned indirect subsidiaries of QVC Group, Inc.",2026-06-15,2026-07-31,"West Chester","PA","A",2026-07-23,53,NA,"Screen Actors Guild - American Federation of Television and Radio Artists",37,NA,NA,NA,NA,9,46,NA,4,NA,"Screen Actors Guild - American Federation of Television and Radio Artists","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time QVC hosts and HSN hosts employed by the Employers at their 1200 Wilson Drive, West Chester, PA facility.

Excluded: All other employees, managerial employees, confidential employees, office clerical/administrative employees, guards and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that the Omni Hosts may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,38,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists",1,"SAG-AFTRA",0.804347826086957,"Yes",7
"16-RM-388574","Region 16, Fort Worth, Texas","Texas Public Radio",2026-06-09,2026-07-31,"San Antonio","TX","A",2026-07-23,11,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",5,NA,NA,NA,NA,6,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time employees of Texas Public Radio who create News content for broadcast and digital platforms including Reporters, Reporter IIs, News Desk Assistants, Producers, Reporter & Producers, Anchor/Producers, Engagement Producer/Intern Coordinators, and Contributing Editors employed by the Employer at or out of its facility located at 321 West Commerce Street, San Antonio, Texas 78205.

EXCLUDED: All other employees, Marketing Department employees, Development Department employees, employees of KPAC, guards and supervisors as defined by the Act.",NA,NA,NA,44,2026-07-01,2026-04-01,"11-25",TRUE,"RM","Yes","Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.454545454545455,"No",0
"01-RC-386511","Region 01, Boston, Massachusetts","Ocean State Media Group",2026-05-07,2026-06-26,"Providence","RI","A",2026-06-17,14,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",10,NA,NA,NA,NA,4,14,NA,NA,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of Ocean State Media Group who create content for broadcast and digital platforms, including Reporters, Senior Reporters, Political Reporters, Senior Digital Editors, Digital Media Managers, Promotions and Fundraising Producers, Photojournalists, Producers, Producers/ Reporters, Producers/Hosts, Hosts/Arts and Culture Reporters, and Hosts.

Excluded: All office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act, and all other employees.",NA,NA,NA,41,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.714285714285714,"Yes",0
"13-RC-361554","Region 13, Chicago, Illinois","Window to the World Communications, Inc.",2025-03-07,2025-04-09,"Chicago","IL","A",2025-04-01,19,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",16,NA,NA,NA,NA,1,17,NA,NA,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time WFMT employees in the classifications of Program Host/Producer – Radio; Announcer; Music Director; Program Host/Producer – Radio Content; Producer/Host – Radio Content; Producer, Radio Content/Coordinator; Program Host; Production Assistant – Radio; Producer – Radio Content; Radio Audio Engineer; Production and Syndication Manager & Producer; Admin Coordinator/Production Assistant employed by the Employer at or out of its facility currently located at 5400 N. St. Louis Avenue, Chicago, IL.

Excluded: All other employees, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.

Others Permitted to Vote: The parties have agreed that certain individuals in the classification of Producer – Radio Content may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,25,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.941176470588235,"Yes",2
"16-RC-354930","Region 16, Fort Worth, Texas","Texas Public Radio",2024-11-15,2025-01-13,"San Antonio","TX","A",2025-01-02,12,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",7,NA,NA,NA,NA,5,12,NA,NA,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of Texas Public Radio who create News content for broadcast and digital platforms including Reporters, Reporter IIs, News Desk Assistants, Producers, Reporter & Producers, Anchor/Producers, Engagement Producer/Intern Coordinators, and Contributing Editors employed by the Employer at or out of its facility located at 321 West Commerce Street, San Antonio, Texas 78205.

Excluded: All other employees, Marketing Department employees, Development Department employees, employees of KPAC, guards and supervisors as defined by the Act.",NA,NA,NA,48,2025-01-01,2024-10-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.583333333333333,"Yes",0
"31-RC-351337","Region 31, Los Angeles, California","Alliance of Motion Picture and Television Producers (AMPTP), a multiemployer bargaining association",2024-09-25,2024-11-20,"Sherman Oaks","CA","A",2024-11-12,25,1,"Screen Actors Guild-American Federation of Television and Radio Artists",20,NA,NA,NA,NA,0,0,NA,NA,NA,"Screen Actors Guild-American Federation of Television and Radio Artists","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All intimacy coordinators working on scripted dramatic programming, except serials, who are employed by one or more of the Employers that are represented by the Alliance of Motion Picture and Television Producers (AMPTP”) for purposes of collective bargaining and included on the list attached as Appendix A


Excluded: All other employees, managerial employees, guards, and supervisors as defined in the Act.

Those eligible to vote in the election are employees in the above unit who have worked on two productions for a total of five days in the past year, preceding the payroll period end date of September 27, 2024.",NA,NA,NA,48,2024-10-01,2024-07-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild-American Federation of Television and Radio Artists",1,"SAG-AFTRA",NA,"Yes",5
"31-RD-342904","Region 31, Los Angeles, California","Spanish Broadcasting System of California, Inc.",2024-05-23,2024-06-21,"Los Angeles","CA","A",2024-06-12,21,NA,"Screen Actors Guild-American Federation of Television and Radio Artists",12,NA,NA,NA,NA,8,0,NA,NA,NA,"Screen Actors Guild-American Federation of Television and Radio Artists","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All hosts, announcers, DJs, mixers, and other employees who regularly perform on-air services for stations KLAX-FM and/or KXOL-FM, at the Employer’s facility located at 5055 W. Wilshire Blvd., Suite 740, Los Angeles, CA 90036.

EXCLUDED:  All other employees, managers, guards, and supervisors as defined in the Act, as amended.",NA,NA,NA,20,2024-04-01,2024-04-01,"11-25",TRUE,"RD","Yes","Screen Actors Guild-American Federation of Television and Radio Artists",1,"SAG-AFTRA",NA,"Yes",1
"06-RC-335453","Region 06, Pittsburgh, Pennsylvania","Nexstar Media Inc., D/B/A WJET-TV/WFXP-TV/Yourerie.com",2024-02-09,2026-03-20,"Erie","PA","A",2024-03-14,16,NA,"Screen Actors Guild - American Federation of Television and Radio Artists, AFL-CIO",11,NA,NA,NA,NA,4,15,NA,NA,NA,"Screen Actors Guild - American Federation of Television and Radio Artists, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of WJET/WFXP/Yourerie.com who appear
on camera on broadcast and digital platforms, including Anchors, Reporters, Meteorologists, Special
Contributors, and Special Projects Co-Ordinators.

Excluded: All other employees, guards, and supervisors as defined under the Act.",NA,NA,NA,34,2024-01-01,2024-01-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists, AFL-CIO",1,"SAG-AFTRA",0.733333333333333,"Yes",1
