"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"12-RD-331251","Region 12, Tampa, Florida","Gallows Point Management Company, Inc. d/b/a Gallows Point Resort",2023-12-04,2024-01-24,"Saint John","VI","A",2024-01-11,20,NA,"United Industrial, Service, Transportation, Professional, and Government Workers of Nort America of the Seafarers International Union of North America, Atlantic, Gulf, Lakes, and Inland Waters District/NMU, AFL-CIO",7,NA,NA,NA,NA,12,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time room attendants, bell men, front desk clerks, house men, maintenance workers, groundkeepers and housekeeping workers employed by the Employer at its St. John, USVI, facility. 

Excluded:  All other employees, guards and supervisors as defined in the Act.",NA,NA,NA,38,2024-01-01,2023-10-01,"11-25",TRUE,"RD","Yes","United Industrial, Service, Transportation, Professional, and Government Workers of Nort America of the Seafarers International Union of North America, Atlantic, Gulf, Lakes, and Inland Waters District/NMU, AFL-CIO",1,"Seafarers",0.368421052631579,"No",1
"07-RD-317738","Region 07, Detroit, Michigan","Champion's Auto Ferry, Inc.",2023-05-09,2023-06-29,"Algonac","MI","A",2023-06-21,8,NA,"Seafarers International Union of North America, Atlantic, Gulf, Lakes and Inland Waters (SIU), AFL-CIO",1,NA,NA,NA,NA,6,7,NA,NA,NA,"Seafarers International Union of North America, Atlantic, Gulf, Lakes and Inland Waters (SIU), AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","All full-time operators and deckhands employed by the Employer at its 3647 Point Tremble Road, Harsens Island, Michigan facility, as well as other job billets and at other locations as many be more fully described elsewhere herein, as well as other U.S. Coast Guard required job billets.",NA,NA,NA,43,2023-04-01,2023-04-01,"6-10",TRUE,"RD","Yes","Seafarers International Union of North America, Atlantic, Gulf, Lakes and Inland Waters (SIU), AFL-CIO",1,"Seafarers",0.142857142857143,"No",1
"29-RD-077396","Region 29, Brooklyn, New York","Harley Marine NY, Inc.",2012-03-26,2012-06-12,"Brooklyn","NY","A",2012-05-30,25,1,"SEAFARERS' INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO",14,NA,NA,NA,NA,5,19,NA,NA,NA,"SEAFARERS' INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed on tug boats, towboats, barges and/or other types of manned floating equipment, including barge captains/tankermanPIC, barge mates/tankermanPIC, lead tankerman tug mates, AB/Deckhands, OS/Deckhands, QMED and Engineers, or any assistants or tarainees to any of the above specified titles.

Excluded: All tug masters, managers, guards and supervisors as defined by Section 2(11) of the Act.",NA,NA,NA,65,2012-04-01,2012-01-01,"11-25",TRUE,"RD","Yes","SEAFARERS' INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO",1,"Seafarers",0.736842105263158,"Yes",6
"24-RD-069699","Region 12, Tampa, Florida","Trans Caribbean Dairy Corp.",2011-11-29,2012-08-10,"Saint Thomas","VI","A",2012-07-31,19,NA,"UNITED INDUSTRIAL WORKERS OF THE SEAFARERS INT'L UNION, AFL-CIO",4,NA,NA,NA,NA,12,16,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed",NA,NA,NA,NA,245,2012-07-01,2011-10-01,"11-25",TRUE,"RD","Yes","UNITED INDUSTRIAL WORKERS OF THE SEAFARERS INT'L UNION, AFL-CIO",1,"Seafarers",0.25,"No",3
"13-RC-069209","Region 13, Chicago, Illinois","Majestic Star Casino & Hotel (Majestic I)",2011-11-18,2012-01-03,"Gary","IN","A",2011-12-21,19,NA,"SEAFARERS ENTERTAINMENT AND ALLIED TRADES UNION",6,NA,NA,NA,NA,12,18,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time housekeepers employed by the Employer in the Marine department on the vessel Majestic I but excluding all other employees, office clerical employees and guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,33,2011-10-01,2011-10-01,"11-25",TRUE,"RC","Yes","SEAFARERS ENTERTAINMENT AND ALLIED TRADES UNION",1,"Seafarers",0.333333333333333,"No",1
"24-RC-008678","Region 12, Tampa, Florida","CAG International Inc. d/b/a Caribbean Auto Group",2010-07-12,2010-09-23,"Saint Thomas","VI","A",2010-08-20,42,NA,"UNITED INDUSTRIAL WORKERS OF THE SEAFARERS INTERNATIONAL UNION,  AFL-CIO",20,NA,NA,NA,NA,14,34,"N",8,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and part-time service employees, parts employees, body shop employees, sales employees, car wash employees, technicians, mechanics and shipping and receiving employees employed by the Employer at its St. Thomas, USVI faciliti",NA,NA,NA,39,2010-07-01,2010-07-01,"26-50",TRUE,"RC","Yes","UNITED INDUSTRIAL WORKERS OF THE SEAFARERS INTERNATIONAL UNION,  AFL-CIO",1,"Seafarers",0.588235294117647,"Yes",8
"15-RD-000912","Region 15, New Orleans, Louisiana","Alabama Pilots, Incorporated",2009-01-20,2009-03-13,"Mobile","AL","A",2009-03-03,6,NA,"SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, ATLANTIC, GREAT LAKES AND INLAND WATERS DISTRICT",0,NA,NA,NA,NA,6,6,"N",NA,"N",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All employees employed on pilot boats, tugboats, towboats, dredges, and/or barges owned or operated by the Employer; excluding all other employees, office clerical employees, professional employees and supervisors as defined in the Act",NA,NA,NA,42,2009-01-01,2009-01-01,"6-10",TRUE,"RD","Yes","SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, ATLANTIC, GREAT LAKES AND INLAND WATERS DISTRICT",1,"Seafarers",0,"No",0
"15-RD-000912",NA,"Alabama Pilots, Incorporated",2009-01-20,2009-03-13,"New Orleans","LA","A",2009-03-03,6,0,"Seafarers International Union of North America, Atlantic, Great Lakes and Inland Waters District",0,NA,NA,NA,NA,6,6,"N",0,"N",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All employees employed on pilot boats, tugboats, towboats, dredges, and/or barges owned or operated by the Employer; excluding all other employees, office clerical employees, professional employees and supervisors as defined in the Act",NA,NA,NA,42,2009-01-01,2009-01-01,"6-10",FALSE,"RD","Yes","Seafarers International Union of North America, Atlantic, Great Lakes and Inland Waters District",1,"Seafarers",0,"No",0
"37-RC-004192","Region 20, San Francisco, California","HMS-PAC NAC, INC., dba THE BOAT",2008-10-03,2008-11-07,"Kapolei","HI","A",2008-10-30,11,NA,"SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO",6,NA,NA,NA,NA,4,10,"N",NA,"N","SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All non-managerial employees of The Boat, including but not limited to Mates, Engineers, 
Able Bodied Seamen, and Deckhands.

Excluded:  Managers and corporate personnel, including vessel masters, port engineers, port captains, clerical, or security personnel.",NA,NA,NA,27,2008-10-01,2008-10-01,"11-25",TRUE,"RC","Yes","SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, AFL-CIO",1,"Seafarers",0.6,"Yes",1
"12-RD-001031","Region 12, Tampa, Florida","Tugz Company LLC d/b/a Mcallister Towing of Port Everglades Inc.",2007-08-24,2007-10-22,"Fort Lauderdale","FL","A",2007-10-03,10,NA,"SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, ATLANTIC, GULF, LAKES AND INLAND WATERS, AFL-CIO",2,NA,NA,NA,NA,7,9,"N",NA,"N",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part time captains, engineers, deckhands, deck/eng class 1, 2, 3, employed by the Employer out of the Port Everglades, Florida facility; who were employed during the payroll period ending Sunday, August 26, 2007.

All othe",NA,NA,NA,40,2007-10-01,2007-07-01,"6-10",TRUE,"RD","Yes","SEAFARERS INTERNATIONAL UNION OF NORTH AMERICA, ATLANTIC, GULF, LAKES AND INLAND WATERS, AFL-CIO",1,"Seafarers",0.222222222222222,"No",1
