"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RC-392801","Region 32, Oakland, California","Stanford Health Care",2026-08-13,NA,"Stanford","CA",NA,NA,55,NA,"Service Employees International Union, United Healthcare Workers - West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Service Employees International Union, United Healthcare Workers - West",1,"SEIU",NA,"Still Open",NA
"18-RC-392573","Region 18, Minneapolis, Minnesota","SSM Health Care of Wisconsin, Inc. d/b/a SSM Health Dean Medical Group",2026-08-10,NA,"Madison","WI",NA,NA,380,NA,"SEIU Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","SEIU Wisconsin",1,"SEIU",NA,"Still Open",NA
"19-RC-392125","Region 19, Seattle, Washington","Legacy Good Samaritan Medical Center",2026-07-31,NA,"Portland","OR",NA,NA,38,NA,"SEIU Local 49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","SEIU Local 49",1,"SEIU",NA,"Still Open",NA
"13-RC-392011","Region 13, Chicago, Illinois","Wheeling Skilled Nursing Facility, LLC d/b/a Bella Terra Wheeling",2026-07-31,NA,"Wheeling","IL",NA,NA,142,NA,"SEIU Healthcare Illinois and Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","SEIU Healthcare Illinois and Indiana",1,"SEIU",NA,"Still Open",NA
"12-RC-391918","Region 12, Tampa, Florida","Bio-Medical Applications of Arecibo, Inc., d/b/a Fresenius Kidney Care Santa Juanita",2026-07-30,NA,"Bayamon","PR",NA,NA,21,NA,"Uni?n General de Trabajadores, SEIU Local 1199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Uni?n General de Trabajadores, SEIU Local 1199",1,"SEIU",NA,"Still Open",NA
"01-RC-391728","Region 01, Boston, Massachusetts","Amherst Nursing Home, Inc. d/b/a Center for Extended Care-Amherst",2026-07-29,NA,"Amherst","MA",NA,NA,32,NA,"1199SEIU, United Healthcare Workers East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","1199SEIU, United Healthcare Workers East",1,"SEIU",NA,"Still Open",NA
"19-RD-391788","Region 19, Seattle, Washington","Seattle Roots Community Health",2026-07-29,NA,"Seattle","WA",NA,NA,139,NA,"SEIU Healthcare 1199NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RD","No","SEIU Healthcare 1199NW",1,"SEIU",NA,"Still Open",NA
"29-UD-391804","Region 29, Brooklyn, New York","New York Arena Partners, LLC",2026-07-29,NA,"Elmont","NY",NA,NA,230,NA,"Local 32BJ SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"UD","No","Local 32BJ SEIU",1,"SEIU",NA,"Still Open",NA
"19-RC-391671","Region 19, Seattle, Washington","Vancouver Operations LLC d/b/a Avamere Rehabilitation of Cascade Park",2026-07-28,NA,"Vancouver","WA",NA,NA,35,NA,"SEIU Local 775, affiliated with Service Employees International Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","SEIU Local 775, affiliated with Service Employees International Union",1,"SEIU",NA,"Still Open",NA
"27-RC-391415","Region 27, Denver, Colorado","Colorado Coalition for the Homeless",2026-07-24,NA,"Denver","CO",NA,NA,31,NA,"Service Employees International Union, Local 105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Service Employees International Union, Local 105",1,"SEIU",NA,"Still Open",NA
