"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-392580","Region 05, Baltimore, Maryland","Lamar Advertising",2026-08-10,NA,"Lemoyne","PA",NA,NA,8,NA,"Sheet Metal, Air, Rail, Transportation (SMART) Local 19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Sheet Metal, Air, Rail, Transportation (SMART) Local 19",1,"SMART",NA,"Still Open",NA
"19-RD-388539","Region 19, Seattle, Washington","Holaday-Parks-Fabricators, Inc. d/b/a Holaday-Parks, Inc.",2026-06-09,NA,"Richland","WA","A",2026-08-12,5,NA,"International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 55",0,NA,NA,NA,NA,4,4,NA,NA,NA,"International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 55","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Technician I, Technician II, Specialist I, Specialist II, Controls Specialist I, and Controls Specialist II employed by the Employer and working out of the Employer’s Richland, WA facility located at 2920 George Washington Way, Suite 103, Richland, WA 99354.

Excluded: All other employees, including Field Supervisor, Panel Shop Technician, Project Manager, Senior Project Manager, Regional Service Manager, Project Engineer, confidential employees, office clerical employees, managerial employees, and guards and supervisors as defined by the Act.
",NA,NA,NA,64,2026-07-01,2026-04-01,"<5",TRUE,"RD","Yes","International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 55",1,"SMART",0,"Still Open",1
"25-RD-384926","Region 25, Indianapolis, Indiana","Technical Balance, Inc.",2026-04-16,2026-05-22,"Indianapolis","IN","A",2026-05-08,3,NA,"Sheet Metal Workers' Union Local 20",0,NA,NA,NA,NA,3,3,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time owner/members, journeymen, apprentices, preapprentices, and classified sheet metal workers employed by the Employer at its Indianapolis, Indiana facility who are engaged in the following work: (a) manufacture, fabrication, assembling, handling, erection, installation, dismantling, conditioning, adjustment, alteration, repairing and servicing of all ferrous or nonferrous metal work and all other materials used in lieu thereof and of all HVAC systems, air veyor systems, exhaust systems, and air handling systems regardless of material used including the setting of all equipment and all reinforcements in connection therewith; (b) all lagging over insulation and all duct lining; (c) testing and balancing of all air-handling equipment and duct work; (d) the preparation of all shop and field sketches; (e) metal roofing; and (f) all other work included in the jurisdictional claims of the International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART).

Excluded: President, Business Manager, Assistant Business Manager, Vice President of Operations, all confidential employees, managerial employees, office clerical employees, guards, professional employees, and supervisors as defined by the Act.",NA,NA,NA,22,2026-04-01,2026-04-01,"<5",TRUE,"RD","Yes","Sheet Metal Workers' Union Local 20",1,"SMART",0,"No",0
"13-RC-384269","Region 13, Chicago, Illinois","Illinois Service Partners, LLC d/b/a Energy Services Air Conditioning & Heating Company",2026-04-06,NA,"Franklin Park","IL","A",2026-05-06,24,NA,"SMART Local Union No. 265",17,NA,NA,NA,NA,3,20,NA,3,NA,"Sheet Metal Air Rail Transportation Local Union No. 265","Initial","Single Labor Organization",NA,"Open","Included: All full time and regular part-time HVAC Service Technicians, Service Technicians - Maintenance, Install Technicians – Helper, Install Technicians – Lead, and Duct Cleaning – Leads employed by the Employer at its facility currently located at 512 W. 5th Ave., Naperville, IL.

Excluded: All temporary employees, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.

Others Permitted to Vote: All full time and regular part-time HVAC Field Supervisors.
",NA,NA,NA,30,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","SMART Local Union No. 265",1,"SMART",0.85,"Still Open",4
"32-RC-383994","Region 32, Oakland, California","Kodiak Roofing & Waterproofing, LLC",2026-04-01,NA,"Sparks","NV","A",2026-06-24,4,NA,"Sheet Metal Workers Local Union 26",0,NA,NA,NA,NA,1,1,NA,6,"Y",NA,"Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Assistant Roofers and Journeymen performing primarily sheet metal work employed by the Employer from its facility in Sparks, Nevada. 

Excluded: All other employees, including Service Technicians I and Service Technicians II, and supervisors and guards as defined by the Act. 
",NA,NA,NA,84,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","Sheet Metal Workers Local Union 26",1,"SMART",0,"Still Open",3
"16-RC-382739","Region 16, Fort Worth, Texas","Howard's Mechanical Inc.",2026-03-12,2026-04-21,"Amarillo","TX","A",2026-04-13,3,NA,"Smart Local Union 49",0,NA,NA,NA,NA,3,3,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time Sheetmetal Apprentice 2.0 employees and Sheetmetal Foremen employed by the Employer at 6334 Canyon Drive, Amarillo, Texas 79109.

EXCLUDED: All other employees, managerial employees, confidential employees, office staff, guards and supervisors as defined by the Act.",NA,NA,NA,32,2026-04-01,2026-01-01,"<5",TRUE,"RC","Yes","Smart Local Union 49",1,"SMART",0,"No",0
"18-RD-374074","Region 18, Minneapolis, Minnesota","Chandler Industries, LLC",2025-09-26,2025-12-23,"Blaine","MN","A",2025-12-12,50,NA,"Sheet Metal Workers Local 10",6,NA,NA,NA,NA,38,44,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All General Assistant, Assembler A, Assembler B, JDAM Fitment Operator A, JDAM Fitment Operator B, Machine Operator A, Machine Operator B, Machine Operator C, Machine Operator A - Laser, Machine Operator A - Press Brake, Machine Operator A - Tool Maker, Welder A, Welder B, Weld Certification Specialist, Maintenance Technician, Driver, and Shipping & Receiving employees employed at the Employer’s facility located at 8650 West 35W Service Drive NE, Blaine, MN 55449. 

Excluded: All other employees, confidential employees, guards, and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,77,2025-10-01,2025-07-01,"26-50",TRUE,"RD","Yes","Sheet Metal Workers Local 10",1,"SMART",0.136363636363636,"No",6
"08-RC-373745","Region 08, Cleveland, Ohio","Heartland Home Services, Inc. d/b/a Bluflame Service Company",2025-09-19,2025-12-15,"Toledo","OH","A",2025-12-04,10,NA,"International Association of Sheet Metal, Air, Rail and Transportation Workers Local Union No. 33",0,NA,NA,NA,NA,9,11,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time install technicians, service technicians and warehouse associates employed by the Employer at its facility located at 1815 West Sylvania Avenue, Toledo, but excluding all office clerical employees, managerial employees, confidential employees, professional employees, guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,76,2025-10-01,2025-07-01,"6-10",TRUE,"RC","Yes","International Association of Sheet Metal, Air, Rail and Transportation Workers Local Union No. 33",1,"SMART",0,"No",1
"18-RC-368687","Region 18, Minneapolis, Minnesota","Woodman's Food Market, Inc.",2025-07-02,2025-09-04,"Janesville","WI","A",2025-08-26,21,1,"SMART Union Local 565",10,NA,NA,NA,NA,5,15,NA,1,NA,"SMART Union Local 565","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time loss prevention employees employed by the Employer at its facilities in Wisconsin and Illinois.

Excluded: All other employees, Loss Prevention Coordinators, guards, and managers; and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,55,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","SMART Union Local 565",1,"SMART",0.666666666666667,"Yes",6
"14-RC-367730","Region 14, Saint Louis, Missouri","SPX Cooling Tech, LLC",2025-06-18,2025-08-04,"Springfield","MO","A",2025-07-24,19,NA,"International Association of Sheet Metal, Air, Rail and Transportation Workers Local Union No. 208-SM",13,NA,NA,NA,NA,4,17,NA,2,NA,"International Association of Sheet Metal, Air, Rail and Transportation Workers Local Union No. 208-SM","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time production, maintenance and shipping and receiving employees employed by the Employer at its Springfield, Missouri facility, but EXCLUDING all temporary employees, office clerical and professional employees, guards, and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,36,2025-07-01,2025-04-01,"11-25",TRUE,"RC","Yes","International Association of Sheet Metal, Air, Rail and Transportation Workers Local Union No. 208-SM",1,"SMART",0.764705882352941,"Yes",2
"27-RC-365807","Region 27, Denver, Colorado","Atlantic Building Systems LLC d/b/a Armstrong Steel Corporation",2025-05-16,2026-01-22,"Englewood","CO","A",2025-06-20,30,NA,"International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 9",9,NA,NA,NA,NA,16,26,NA,1,NA,"International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 9","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the employer at its 3700 South 
Windermere Street, Englewood, Colorado facility  including  those  in  the  classifications  of  
Painter/Loader, Welding/Fitting  Lead,  General  Laborer,  Fitter/Welder,  Team  Lead, Maintenance 
Technician, Welder, Welder/Fitter, Flange Helper, Parts, Shipping & Receiving Lead, Weld Inspector, 
Flange Operator, Fitter, PTW Helper, Plasma Operator, Plasma/Shear, PTW Operator, Warehouse Lead, 
and Certified Welding Inspector.
Excluded: Office clerical employees, sales employees, confidential employees, professional 
employees, guards, and supervisors as defined in
the Act.",NA,NA,NA,35,2025-04-01,2025-04-01,"26-50",TRUE,"RC","Yes","International Association of Sheet Metal, Air, Rail & Transportation Workers, Local 9",1,"SMART",0.36,"No",5
"05-RC-363189","Region 05, Baltimore, Maryland","Johnson Controls, Inc.",2025-04-04,NA,"York","PA","A",2025-05-15,376,NA,"Sheet Metal Workers Local 19",144,NA,NA,NA,NA,205,349,NA,5,NA,NA,"Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time manufacturing and warehouse employees, including Assemblers, Balancers, Brazers, Coil Builders, Craters, Department Leads and Leaders, Electrical Wirers, Helpers, Maintenance Leads, Machine Operators, Maintenance Mechanics, Maintenance Technicians, Material Coordinators, Material Handlers, Painters, Panel Insulators, Quality Control Technicians, Quality Control/Data Center Testers, Receiver Storerooms, Salvagnini Machine Setup/Operators, Shippers, Skidders, Team Leads and Leaders, Test Tank Operators, Testers, Tool & Die Mechanics, Welders, Wirers, and Wrappers employed at the Employer’s sites at 100 JCI Way, York, PA and 3640 Sandhurst Drive, York, PA 

Excluded: All other employees, including office clerical employees, professional employees, confidential employees, temporary agency employees, managers, guards, and supervisors, as defined in the Act.
",NA,NA,NA,41,2025-04-01,2025-04-01,"101-500",TRUE,"RC","Yes","Sheet Metal Workers Local 19",1,"SMART",0.412607449856734,"Still Open",27
"21-RC-361863","Region 21, Los Angeles, California","Kingspan Light and Air, LLC",2025-03-12,NA,"Santa Ana","CA","A",2025-04-16,50,1,"International Association of Sheet Metal, Air, Rail and Transportation Workers; SMART Local Union 170",12,NA,NA,NA,NA,31,43,NA,5,NA,NA,"Initial","Single Labor Organization",NA,"Open","Included:  All full-time and regular part-time Assemblers, Drivers, Fabricators, Leads, Operators, and Welders employed by the Employer at its facility currently located at 302 Goetz Avenue, Santa Ana, California and 401 Goetz Avenue, Santa Ana, California.

Excluded:  All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors defined in the Act. 

Others Permitted to Vote:  The parties have agreed that Production Coordinators and Specialists may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,35,2025-04-01,2025-01-01,"26-50",TRUE,"RC","Yes","International Association of Sheet Metal, Air, Rail and Transportation Workers; SMART Local Union 170",1,"SMART",0.27906976744186,"Still Open",7
