"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"21-RC-391845","Region 21, Los Angeles, California","Universal Protection Service, LP d/b/a Allied Universal Security Services",2026-07-30,NA,"San Diego","CA",NA,NA,22,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"05-RC-391850","Region 05, Baltimore, Maryland","MTAC, Inc.",2026-07-29,NA,"Camp Springs","MD",NA,NA,51,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"05-RC-391323","Region 05, Baltimore, Maryland","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2026-07-23,NA,"Linthicum","MD",NA,NA,120,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"03-RC-391296","Region 03, Buffalo, New York","Together for Youth",2026-07-22,NA,"Albany","NY",NA,NA,20,NA,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"10-RC-390158","Region 10, Atlanta, Georgia","Bradley Technologies Inc. / American Eagle Protective Services",2026-07-07,NA,"Birmingham","AL",NA,NA,94,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"05-RC-389613","Region 05, Baltimore, Maryland","Vision Quest Solutions, Inc.",2026-06-26,NA,"Washington","DC",NA,NA,90,NA,"International Union Security Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","International Union Security Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"28-RC-389402","Region 28, Phoenix, Arizona","ISS Action, Inc",2026-06-24,NA,"Tucson","AZ",NA,NA,58,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"19-RC-389324","Region 19, Seattle, Washington","Meritus Solutions Group, LLC",2026-06-23,NA,"Bayview","ID","A",2026-08-10,5,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",3,NA,NA,NA,NA,0,3,NA,NA,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act employed by the Employer at the US Naval Warfare Center located at 33964 N Main Ave, Bayview, ID 83803. 

Excluded: All office clerical employees, professional employees, and supervisors as defined in the Act.",NA,NA,NA,48,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",1,"Still Open",2
"12-RC-389034","Region 12, Tampa, Florida","One Corps, Inc.",2026-06-17,NA,"San Juan","PR",NA,NA,81,NA,"International Union Security, Police & Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","International Union Security, Police & Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"28-RC-385902","Region 28, Phoenix, Arizona","Trailboss Enterprises, Inc.",2026-04-28,NA,"El Paso","TX","A",2026-07-08,43,1,"International Union Security, Police and Fire Professionals of America (SPFPA)",10,NA,NA,NA,NA,1,11,NA,NA,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Transportation Officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Trailboss Enterprises, Inc. under its El Paso Texas ICE contract. 

EXCLUDED: All other employees, office clerical employees, professional employees, managerial employees, confidential employees, and supervisors as defined in the Act. 
",NA,NA,NA,71,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Union Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",0.909090909090909,"Still Open",32
