"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RC-351024","Region 02, New York, New York","St. Luke's-Roosevelt Hospital Center dba Mt. Sinai West and Mt. Sinai Morningside",2024-09-23,2024-10-25,"Manhattan","NY","A",2024-10-17,106,NA,"Special and Superior Officers Benevolent Association",54,NA,NA,NA,NA,1,55,NA,NA,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Security Officers employed by the Employer at Mount Sinai Morningside Hospital, at 1111 Amsterdam Avenue and 114th Street, New York, N.Y. and Mount Sinai West Hospital located at 1000 Tenth Avenue, New York, N.Y. 10019.

EXCLUDED: All other employees, the Director of Security, Assistant Director of Security, Captains, Lieutenants, Sergeants, Corporals, Security Technicians, Locksmiths, Professional Employees, and Supervisors as defined in the Act.",NA,NA,NA,24,2024-10-01,2024-07-01,"101-500",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",0.981818181818182,"Yes",51
"29-RC-320546","Region 29, Brooklyn, New York","Seagate Association",2023-06-22,2023-08-04,"Brooklyn","NY","A",2023-07-27,34,NA,"Special and Superior Officers Benevolent Association",16,NA,NA,NA,NA,0,16,NA,NA,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time police officers performing guard duties as defined in Section 9(b)(3) of the Act employed by the Employer located at 3700 Surf Avenue, Brooklyn, New York. 

Excluded: All other employees, including per diem police officers, locksmiths and supervisors as defined by the Act.",NA,NA,NA,35,2023-07-01,2023-04-01,"26-50",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",1,"Yes",18
"02-RC-274872","Region 02, New York, New York","Montefiore Medical Center",2021-03-30,2021-06-15,"Bronx","NY","A",2021-06-07,8,NA,"Special and Superior Officers Benevolent Association",5,NA,NA,NA,NA,0,5,NA,NA,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time security officers performing guard duties as defined by Section 9{b )(3) of the Act employed by the Employer at the Employer's Westchester Square facility located at 2475 Saint Raymond Avenue, Bronx, NY 10461 . 


Excluded: All other employees, including clerical employees, and professional employees, and supervisors as defined by the Act.",NA,NA,NA,69,2021-04-01,2021-01-01,"6-10",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",1,"Yes",3
"22-RC-261850","Region 22, Newark, New Jersey","Garda CL Atlantic, Inc.",2020-06-18,2020-09-29,"Fairfield","NJ","A",2020-09-15,83,2,"Special and Superior Officers Benevolent Association",34,NA,NA,NA,NA,0,37,NA,2,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time and regularly scheduled part-time guards and driver/messenger employees who perform guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, as amended, employed by the Employer at its 210 Fairfield Road, Fairfield, New Jersey facility, excluding all office clerical employees, case vault service (CVS) employees, managerial employees, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,89,2020-07-01,2020-04-01,"51-100",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",1,"Yes",49
"29-RC-250868","Region 29, Brooklyn, New York","IBI Armored Services Inc.",2019-10-31,2021-01-04,"Woodside","NY","A",2020-12-17,66,1,"Special and Superior Officers Benevolent Association",17,NA,NA,NA,NA,2,19,NA,3,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees who perform guard duties as defined in Section 9(3) of the Act, including armed and unarmed couriers employed by the employer at its Facility located at 37-06 61st Street, Woodside, NY 11377. 

Excluded: All office clerical employees, professional employees, dispatchers, leads and supervisors as defined by the Act.",NA,NA,NA,413,2020-10-01,2019-10-01,"51-100",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",0.894736842105263,"Yes",47
"02-RD-224160","Region 02, New York, New York","Universal Protection Services, LLC d/b/a Allied Universal Security Services",2018-07-20,2018-08-20,"Bronx","NY","A",2018-08-10,31,NA,"Special and Superior Officers Benevolent Association",3,NA,NA,NA,NA,19,22,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time unarmed security officers employed by the EMployer at the Bronx Terminal Market, 560 Exterior Street, Bronx, NY.

Excluded:  All other employees including office clerical employees, Fire Safety Directors (FSDs), shift supervisors, site supervisors, and professional employees and supervisors as defined in the Act.",NA,NA,NA,21,2018-07-01,2018-07-01,"26-50",TRUE,"RD","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",0.136363636363636,"No",9
"02-RC-214273","Region 02, New York, New York","Grand Central Partnership",2018-02-05,2018-03-09,"New York","NY","A",2018-03-01,28,1,"Special and Superior Officers Benevolent Association",20,NA,NA,NA,NA,0,20,NA,NA,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time security guards, including sergeants and public safety officers, employed by the Employer.
EXCLUDED:  All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,24,2018-01-01,2018-01-01,"26-50",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",1,"Yes",8
"02-RC-203903","Region 02, New York, New York","Sarah Lawrence College",2017-08-08,2017-08-30,"Bronxville","NY","A",2017-08-22,24,NA,"Special and Superior Officers Benevolent Association",18,NA,NA,NA,NA,1,19,NA,1,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time licensed security officers employed on a 12-month per year basis at its campus in Bronxville, NY.

EXCLUDED: Licensed security officers who are only employed on a 9-month per year basis, managerial employees, confidential employees, and guards, and professional employees and supervisors as defined by the Act.",NA,NA,NA,14,2017-07-01,2017-07-01,"11-25",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",0.947368421052632,"Yes",5
"29-RC-194449","Region 29, Brooklyn, New York","The Brooklyn Hospital Center",2017-03-08,2017-04-04,"Brooklyn","NY","A",2017-03-27,28,NA,"Special and Superior Officers Benevolent Association",22,NA,NA,NA,NA,0,22,NA,NA,NA,"Special and Superior Officers Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and part-time security officers at the Employer's facility located at 121 Dekalb Avenue, Brooklyn, New York.

Excluded: All other employees, managers, and supervisors defined by the Act.",NA,NA,NA,19,2017-01-01,2017-01-01,"26-50",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",1,"Yes",6
"01-RC-194473","Region 01, Boston, Massachusetts","Universal Services of America, LP, d/b/a Allied Universal Security Services",2017-03-08,2017-03-30,"Bridgeport","CT","A",2017-03-22,47,NA,"Special and Superior Officers Benevolent Association",9,NA,NA,NA,NA,27,36,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time security officers, including headquarters officers and command center operators, employed by the Employer at 267 Grant Street, Bridgeport and 5520 Park Ave., Trumbull, Connecticut; but excluding all other employees, officer clerical employees, shift supervisors, confidential employees, systems administrators, investigators, non-security officers, managers, and professional employees and supervisors as defined in the Act.",NA,NA,NA,14,2017-01-01,2017-01-01,"26-50",TRUE,"RC","Yes","Special and Superior Officers Benevolent Association",1,"SSOBA",0.25,"No",11
