"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RC-392868","Region 32, Oakland, California","US Foods",2026-08-14,NA,"Reno","NV",NA,NA,4,NA,"Teamsters Local 533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters Local 533",1,"Teamsters",NA,"Still Open",NA
"14-RC-392781","Region 14, Saint Louis, Missouri","Ryder Truck Rental",2026-08-13,NA,"Wood River","IL",NA,NA,3,NA,"International Brotherhood of Teamsters Local 525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Brotherhood of Teamsters Local 525",1,"Teamsters",NA,"Still Open",NA
"18-RC-392554","Region 18, Minneapolis, Minnesota","ATE Management of Duluth as managers for the Duluth Transit Authority",2026-08-13,NA,"Duluth","MN",NA,NA,4,NA,"Teamsters General Local No. 346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters General Local No. 346",1,"Teamsters",NA,"Still Open",NA
"25-RC-392760","Region 25, Indianapolis, Indiana","IMI Indiana, LLC",2026-08-13,NA,"Fishers","IN",NA,NA,13,NA,"Teamsters Local 135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Teamsters Local 135",1,"Teamsters",NA,"Still Open",NA
"21-RC-392710","Region 21, Los Angeles, California","Reyes Fleet Management, LLC",2026-08-12,NA,"Walnut","CA",NA,NA,7,NA,"Teamsters Local Union No. 63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union No. 63",1,"Teamsters",NA,"Still Open",NA
"07-RC-392844","Region 07, Detroit, Michigan","U.S Foods",2026-08-07,NA,"Wixom","MI",NA,NA,3,NA,"Local 337, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Local 337, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"25-RC-392431","Region 25, Indianapolis, Indiana","IMI Illinois, LLC",2026-08-07,NA,"Tuscola","IL",NA,NA,6,NA,"General Teamsters, Local Union No. 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","General Teamsters, Local Union No. 26",1,"Teamsters",NA,"Still Open",NA
"25-RM-392508","Region 25, Indianapolis, Indiana","IMI Illinois LLC",2026-08-07,NA,"Tuscola","IL",NA,NA,6,NA,"Teamsters Local 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No","Teamsters Local 26",1,"Teamsters",NA,"Still Open",NA
"07-RC-392744","Region 07, Detroit, Michigan","Highland Tank",2026-08-07,NA,"Clarkston","MI",NA,NA,30,NA,"Local 614, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Local 614, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RC-392816","Region 07, Detroit, Michigan","Intersect Healthcare Of Cedar Springs",2026-08-07,NA,"Cedar Springs","MI",NA,NA,68,NA,"Local 406, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Local 406, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"20-RC-392439","Region 20, San Francisco, California","Costco",2026-08-07,NA,"Kailua Kona","HI",NA,NA,250,NA,"Hawaii Teamsters and Allied  Workers, Local 996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","Hawaii Teamsters and Allied  Workers, Local 996",1,"Teamsters",NA,"Still Open",NA
"32-RC-392419","Region 32, Oakland, California","J.R. Simplot Company, LLC",2026-08-06,NA,"Kerman","CA",NA,NA,10,NA,"Teamsters Local 431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local 431",1,"Teamsters",NA,"Still Open",NA
"10-RC-392346","Region 10, Atlanta, Georgia","Carvana Logistics LLC",2026-08-06,NA,"Charlotte","NC",NA,NA,51,NA,"International Brotherhood of Teamsters Local 71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 71",1,"Teamsters",NA,"Still Open",NA
"20-RC-392379","Region 20, San Francisco, California","USA Waste of California, Inc.",2026-08-06,NA,"Sacramento","CA",NA,NA,72,NA,"Teamsters Local 150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Teamsters Local 150",1,"Teamsters",NA,"Still Open",NA
"01-RC-392118","Region 01, Boston, Massachusetts","Rural Community Transportation, Inc.",2026-08-03,NA,"Derby","VT",NA,NA,13,NA,"Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",1,"Teamsters",NA,"Still Open",NA
"13-RC-392111","Region 13, Chicago, Illinois","Keystone Automotive Industries, Inc.",2026-08-03,NA,"Alsip","IL",NA,NA,23,NA,"International Brotherhood of Teamsters, Local 731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Brotherhood of Teamsters, Local 731",1,"Teamsters",NA,"Still Open",NA
"10-RC-391969","Region 10, Atlanta, Georgia","Vestis Services, LLC",2026-07-31,NA,"Greensboro","NC",NA,NA,9,NA,"Teamsters Local 391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local 391",1,"Teamsters",NA,"Still Open",NA
"13-RC-392029","Region 13, Chicago, Illinois","AdaptHealth LLC",2026-07-31,NA,"Elmhurst","IL",NA,NA,38,NA,"Teamsters Local Union No. 705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Teamsters Local Union No. 705",1,"Teamsters",NA,"Still Open",NA
"10-RC-391824","Region 10, Atlanta, Georgia","Alsco Inc.",2026-07-30,NA,"Wilmington","NC",NA,NA,5,NA,"Teamsters Local 391 Affiliated with International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters Local 391 Affiliated with International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"22-RC-391825","Region 22, Newark, New Jersey","Richard Grubb and Associates",2026-07-30,NA,"Cranbury","NJ",NA,NA,24,NA,"Teamsters Local 469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Teamsters Local 469",1,"Teamsters",NA,"Still Open",NA
"19-RC-391789","Region 19, Seattle, Washington","Sunoco GP LLC",2026-07-29,NA,"Portland","OR",NA,NA,9,NA,"Teamsters Local Union No. 305, affiliated with International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union No. 305, affiliated with International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"12-RC-391766","Region 12, Tampa, Florida","YMCA South Florida",2026-07-29,NA,"Pembroke Pines","FL",NA,NA,40,NA,"International Brotherhood of Teamsters Local Union No. 769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Brotherhood of Teamsters Local Union No. 769",1,"Teamsters",NA,"Still Open",NA
"10-RC-391711","Region 10, Atlanta, Georgia","Carvana Logistics LLC",2026-07-29,NA,"Concord","NC",NA,NA,57,NA,"International Brotherhood of Teamsters Local 71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 71",1,"Teamsters",NA,"Still Open",NA
"16-RC-391655","Region 16, Fort Worth, Texas","Vestis Services, LLC",2026-07-28,NA,"Dallas","TX",NA,NA,7,NA,"Teamsters Local Union 745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union 745",1,"Teamsters",NA,"Still Open",NA
"15-RC-391696","Region 15, New Orleans, Louisiana","The Inkwell Press",2026-07-28,NA,"New Orleans","LA",NA,NA,10,NA,"International Brotherhood Teamsters Local Union 270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood Teamsters Local Union 270",1,"Teamsters",NA,"Still Open",NA
"31-RC-391682","Region 31, Los Angeles, California","Ventura Transit System, Inc. and Ventura Dispatch System, Inc. (collectively, “the Employer”)",2026-07-28,NA,"Camarillo","CA",NA,NA,37,NA,"Chauffeurs, Sales Drivers and Helpers Union, Local 572, International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Chauffeurs, Sales Drivers and Helpers Union, Local 572, International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
