"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"29-RC-390223","Region 29, Brooklyn, New York","HNY Ferry II LLC",2026-07-07,NA,"Brooklyn","NY",NA,NA,48,NA,"Transport Workers Union of America, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Transport Workers Union of America, AFL-CIO",1,"TWU",NA,"Still Open",NA
"22-RC-382135","Region 22, Newark, New Jersey","North Central Transit Services LLC",2026-03-03,2026-04-20,"Jersey City","NJ","A",2026-04-09,45,1,"Transport Workers Union of America, AFL-CIO",34,NA,NA,NA,NA,3,37,NA,NA,NA,"Transport Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDING: All full-time and regular part-time field inspectors, car inspectors, technicians, mechanics, and maintenance foreman employed by the Employer at its 20 Caven Point Jersey City, New Jersey facility. 

EXCLUDING: All office clerical employees, managerial employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,37,2026-04-01,2026-01-01,"26-50",TRUE,"RC","Yes","Transport Workers Union of America, AFL-CIO",1,"TWU",0.918918918918919,"Yes",8
"06-RC-380758","Region 06, Pittsburgh, Pennsylvania","Bike Share Pittsburgh, Inc.",2026-02-10,2026-03-11,"Pittsburgh","PA","A",2026-03-03,15,NA,"Transport Workers Union of America AFL- CIO",13,NA,NA,NA,NA,1,14,NA,NA,NA,"Transport Workers Union of America AFL- CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time and seasonal Dispatchers, Customer Service Representatives, Field Team Members, Mechanics, Valets, Field Maintenance Technicians, and Operations Specialists.
Excluded: All other employees, including confidential employees, office clerical employees, managerial employees, guards, and professional employees and supervisors as defined by the Act.",NA,NA,NA,21,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Transport Workers Union of America AFL- CIO",1,"TWU",0.928571428571429,"Yes",1
"02-RC-371955","Region 02, New York, New York","Avports LLC",2025-08-22,2025-11-19,"Harrison","NY","A",2025-09-23,72,NA,"Transport Workers Union of America AFL-CIO",58,NA,NA,NA,NA,3,61,NA,NA,NA,"Transport Workers Union of America AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Ramp Agents and Senior Ramp Agents, employed by the Employer working at the Westchester County Airport at 240 Airport Road, West Harrison, NY 10604.

Excluded: All other employees, including, office clerical employees, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,32,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","Transport Workers Union of America AFL-CIO",1,"TWU",0.950819672131147,"Yes",11
"16-RC-370704","Region 16, Fort Worth, Texas","Transdev Services, Inc.",2025-08-04,2025-09-15,"Rosenberg","TX","A",2025-09-05,53,NA,"Transport Workers Union of America, AFL-CIO",31,NA,NA,NA,NA,2,33,NA,1,NA,"Transport Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Bus operators (CDL & non-CDL) and Demand response workers employed by the Employer at its facility located at 3737 Bamore Road, Rosenberg, Texas 77471.

Excluded: All other employees including office clerical employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,32,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","Transport Workers Union of America, AFL-CIO",1,"TWU",0.939393939393939,"Yes",20
"01-RC-365135","Region 01, Boston, Massachusetts","Specialty Transportation, Inc.",2025-05-07,2025-06-17,"Guilford","CT","A",2025-06-09,59,NA,"Transport Workers Union of America, Local 100",38,NA,NA,NA,NA,17,55,NA,NA,NA,"Transport Workers Union of America, Local 100","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Drivers and Monitors employed by the Employer at its Guilford, Connecticut facility.

Excluded:  Mechanics, office clerical employees, managers, and guards, professional employees and supervisors as defined in the Act.

OTHERS PERMITTED TO VOTE:  The parties have agreed that Dispatchers employed by the Employer may vote in the election, but that their ballots will be challenged. The Regional Director has not decided whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,33,2025-04-01,2025-04-01,"51-100",TRUE,"RC","Yes","Transport Workers Union of America, Local 100",1,"TWU",0.690909090909091,"Yes",4
"29-RC-360278","Region 29, Brooklyn, New York","ERMC Aviation LLC",2025-02-13,NA,"Jamaica","NY","A",2025-03-26,92,NA,"Transport Workers Union of America, AFL-CIO",63,NA,NA,NA,NA,16,79,NA,NA,NA,"Transport Workers Union of America AFL-CIO","Initial","Single Labor Organization",NA,"Open","Included:  All fulltime and regular part-time Bus Operators and Supervisor Bus Operators who perform work for the Delta Employee Shuttle, the Delta Employee Ramp or the T4 Operations contracts at JFK International Airport.

Excluded: All other employees, office clerical employees, guards and supervisors as defined by the Act.



",NA,NA,NA,41,2025-01-01,2025-01-01,"51-100",TRUE,"RC","Yes","Transport Workers Union of America, AFL-CIO",1,"TWU",0.79746835443038,"Still Open",13
"12-RC-357112","Region 12, Tampa, Florida","PrimeFlight Aviation Services, Inc.",2024-12-20,2025-02-14,"Orlando","FL","A",2025-02-03,63,NA,"Transport Workers Union of America, AFL-CIO",42,NA,NA,NA,NA,0,42,NA,NA,NA,"Transport Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time aircraft fuelers and lead aircraft fuelers employed by the Employer at Orlando International Airport, Orlando, Florida; excluding all other employees, guards, managers, and supervisors as defined in
the Act.",NA,NA,NA,45,2025-01-01,2024-10-01,"51-100",TRUE,"RC","Yes","Transport Workers Union of America, AFL-CIO",1,"TWU",1,"Yes",21
"02-RC-351760","Region 02, New York, New York","Weill Cornell Medicine",2024-10-01,2024-11-08,"New York","NY","A",2024-10-31,111,NA,"Transport Workers Union of America, AFL-CIO",81,NA,NA,NA,NA,2,83,NA,NA,NA,"Transport Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part time employees employed by Weill Cornell Medicine at its Manhattan, New York campus in the following titles. receiving clerks, custodians, and housekeepers

Excluded: All other employees, including, office clerical employees, confidential employees managers, guards professional employees and supervisors as defined by the Act.",NA,NA,NA,30,2024-10-01,2024-10-01,"101-500",TRUE,"RC","Yes","Transport Workers Union of America, AFL-CIO",1,"TWU",0.975903614457831,"Yes",28
"29-RC-339373","Region 29, Brooklyn, New York","Transdev Services, Inc.",2024-04-03,2024-06-25,"Garden City","NY","A",2024-06-13,8,NA,"Transport Workers Union of America AFL- CIO",7,NA,NA,NA,NA,1,8,NA,NA,NA,"Transport Workers Union of America AFL- CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time safety trainiers employed by the Employer at its Mitchel Field facility, as identified in the parties' Eligibility Agreement in Case No. 29-RC-339373.

Excluded: All other employees, including guards and supervisors as defined by the Act.",NA,NA,NA,71,2024-04-01,2024-04-01,"6-10",TRUE,"RC","Yes","Transport Workers Union of America AFL- CIO",1,"TWU",0.875,"Yes",0
