"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"28-RC-391053","Region 28, Phoenix, Arizona","Residential Fire Protection d/b/a On Guard Fire Protection",2026-07-20,NA,"Las Vegas","NV","A",2026-08-14,17,NA,"Road Sprinkler Fitters Local 669",6,NA,NA,NA,NA,8,21,NA,7,"Y",NA,"Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Fire Sprinkler Foreman, Fire Sprinkler Fitter, Fire Sprinkler Installer, and Fire Sprinkler Apprentice employees employed by the Employer in the Employer's Commercial Division at its facility located in Las Vegas, Nevada.

EXCLUDED: All other employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,25,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","Road Sprinkler Fitters Local 669",1,"UA",0.428571428571429,"Still Open",3
"13-RC-391014","Region 13, Chicago, Illinois","Trane Technologies Company, LLC",2026-07-20,NA,"Willowbrook","IL",NA,NA,15,NA,"Pipefitters Association, Local 597, U.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Pipefitters Association, Local 597, U.A.",1,"UA",NA,"Still Open",NA
"09-RC-389230","Region 09, Cincinnati, Ohio","HAVEN SERVICES COL, LLC F/K/A THE WATERWORKS, LLC",2026-06-22,NA,"Columbus","OH","A",2026-07-22,21,NA,"Plumbers and Pipefitters, Local Union 189, affiliated with the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",8,NA,NA,NA,NA,13,21,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time regular and regular part-time Plumbing Service Technicians and Plumbing Service Apprentices employed by the Employer out of its office currently located at 550 Schrock Road, Columbus, Ohio, excluding all other employees, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,30,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Plumbers and Pipefitters, Local Union 189, affiliated with the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",1,"UA",0.380952380952381,"Still Open",0
"18-RC-387930","Region 18, Minneapolis, Minnesota","Northcentral Minnesota Water Conditioning Company dba Culligan Water",2026-05-29,NA,"Bemidji","MN","A",2026-06-26,3,NA,"Plumbers, Pipefitters, Steamfitters, Service Techs Union Local 11",0,NA,NA,NA,NA,3,3,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Household Service Technicians and Route Drivers employed by the Employer at its Bemidji, Minnesota facility. 

Excluded: All other employees, office clerical employees, and guards, and supervisors as defined in the Act.
",NA,NA,NA,28,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","Plumbers, Pipefitters, Steamfitters, Service Techs Union Local 11",1,"UA",0,"Still Open",0
"28-RC-385773","Region 28, Phoenix, Arizona","Split Fire Protection LLC",2026-04-28,2026-07-10,"Edgewood","NM","A",2026-06-10,6,NA,"Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",2,NA,NA,NA,NA,3,6,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time sprinkler fitters and laborers employed by the Employer in New Mexico.

EXCLUDED: All other employees, office clericals, managerial employees, confidential employees, guards and supervisors as defined by the Act.",NA,NA,NA,43,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",1,"UA",0.4,"No",1
"27-RC-383977","Region 27, Denver, Colorado","Summit Fire & Security LLC",2026-04-01,NA,"Billings","MT","A",2026-04-15,11,NA,"Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",2,NA,NA,NA,NA,6,10,NA,2,NA,NA,"Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Sprinkler Fitters employed by the Employer at its facility located at 3004 1st Avenue S, Billings, MT 59101 engaged primarily or exclusively in the installation, maintenance, and repair of the fire sprinkler systems, including the unloading, handling by hand or with power equipment, and installation of all piping or tubing, appurtenances, and equipment pertaining thereto, including both overhead and underground water mains, fire hydrants, and hydrant mains, standpipes, and hose connections to sprinkler systems, sprinkler tank heaters, and air lines used in connection with fire sprinkler systems, but excluding steam fire protection systems and excluding the inspection or testing of fire protection systems. 

EXCLUDED: All other employees, including all field technicians not primarily engaged in the scope of work described above (for example, technicians handling inspections, alarm systems, surveillance systems, air sampling smoke detection systems, dry chemical systems, CO2 systems, clean agent systems, and pre-engineered systems), all office clerical employees, confidential employees, managers, guards, and supervisors, as defined in the Act.",NA,NA,NA,14,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",1,"UA",0.25,"Still Open",3
"18-RC-383114","Region 18, Minneapolis, Minnesota","NorthStar Mechanical Services, LLC",2026-03-17,2026-04-28,"Duluth","MN","A",2026-04-15,8,NA,"United Association, Local Union No. 11",2,NA,NA,NA,NA,5,7,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time HVAC Installers, HVAC Service/Maintenance Technicians, and HVAC Sales Technicians employed by the Employer out of its facilities located at 301 S Central Avenue, Duluth, MN 55810 and/or 118 N. 15th Avenue, Virginia, MN 55792.

Excluded: All professional employees, clerical employees, managerial employees, and guards and supervisors, as defined by the Act, and all other employees. 

Others Permitted to Vote: The parties have agreed that an employee in the classification of Production and Install Manager/Production and Plumbing Manager may vote in the election, but their ballot will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual in these classifications or groups is included in, or excluded from, the bargaining unit. The eligibility or inclusion of this individual will be resolved, if necessary, following the election.",NA,NA,NA,29,2026-04-01,2026-01-01,"6-10",TRUE,"RC","Yes","United Association, Local Union No. 11",1,"UA",0.285714285714286,"No",1
"09-RC-382800","Region 09, Cincinnati, Ohio","G MECHANICAL INC.",2026-03-13,2026-04-23,"Columbus","OH","A",2026-04-09,13,NA,"Local 189 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",11,NA,NA,NA,NA,2,13,NA,NA,NA,"Local 189 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time HVAC Service Technicians and HVAC Service Apprentices employed by the Employer at its facility currently located at 6480 Doubletree Avenue, Columbus Ohio, excluding all other employees including confidential employees, office clerical employees, professional employees, temporary employees, watchmen, guards, and supervisors, as defined in the Act",NA,NA,NA,27,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","Local 189 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",1,"UA",0.846153846153846,"Yes",0
"09-RC-382722","Region 09, Cincinnati, Ohio","HOOTEN EQUIPMENT COMPANY, LLC",2026-03-12,NA,"Charleston","WV","A",2026-04-07,18,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, Local 625, AFL-CIO (PPF)",9,NA,NA,NA,NA,9,18,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time service department technicians, installers, and helpers employed by the Employer out of its Charleston, West Virginia facility, excluding all other employees, professional employees, office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,26,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, Local 625, AFL-CIO (PPF)",1,"UA",0.5,"Still Open",0
"28-RC-382828","Region 28, Phoenix, Arizona","Trane Technologies Co. LLC",2026-03-11,2026-04-10,"Las Vegas","NV","A",2026-03-31,5,NA,"United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry of the United States & Canada, Local 525, AFL-CIO",5,NA,NA,NA,NA,0,5,NA,NA,NA,"United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry of the United States & Canada, Local 525, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time HVAC Service Technicians employed by the Employer at its Las Vegas facility.

EXCLUDED: All other employees, including HVAC Contracting Controls Technicians, HVAC Service Controls Technicians, clerical employees, guards, professional employees,
managerial employees, and supervisors as defined in the Act.",NA,NA,NA,20,2026-01-01,2026-01-01,"<5",TRUE,"RC","Yes","United Association of Journeymen & Apprentices of the Plumbing & Pipefitting Industry of the United States & Canada, Local 525, AFL-CIO",1,"UA",1,"Yes",0
