"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392052","Region 01, Boston, Massachusetts","The Eric Carle Museum of Picture Book Art, Inc.",2026-08-03,NA,"Amherst","MA",NA,NA,36,NA,"TECHNICAL, OFFICE & PROFESSIONAL UNION, Local 2110 UAW, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","TECHNICAL, OFFICE & PROFESSIONAL UNION, Local 2110 UAW, AFL-CIO",1,"UAW",NA,"Still Open",NA
"15-RC-391950","Region 15, New Orleans, Louisiana","Jazz Casino Company LLC d/b/a Caesars New Orleans",2026-07-31,NA,"New Orleans","LA",NA,NA,325,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",1,"UAW",NA,"Still Open",NA
"14-RC-391928","Region 14, Saint Louis, Missouri","Ford Motor Company",2026-07-30,NA,"Kansas City","MO",NA,NA,1,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW",1,"UAW",NA,"Still Open",NA
"07-RC-389330","Region 07, Detroit, Michigan","Autokiniton / Jaytec",2026-06-18,NA,"Milan","MI","A",2026-07-21,185,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",136,NA,NA,NA,NA,12,148,NA,NA,NA,"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America (UAW), AFL-CIO","Initial","Single Labor Organization",NA,"Open","Included:   All full-time and regular part-time production and maintenance employees employed by the Employer at its facility currently located at 620 South Platt Road, Milan, Michigan.

Excluded:  All managers, office clerical employees, temporary employees, guards and supervisors as defined in the Act, and all other employees.  
",NA,NA,NA,33,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America",1,"UAW",0.918918918918919,"Still Open",37
"29-RC-388907","Region 29, Brooklyn, New York","T J NIK Auto Corp. dba Smithtown KIA",2026-06-15,2026-07-22,"Saint James","NY","A",2026-07-13,10,NA,"Local 259 UAW, AFL-CIO",8,NA,NA,NA,NA,1,9,NA,NA,NA,"Local 259 UAW, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: 
All full-time and regular part-time Service Technicians and New Car Pre-Delivery Inspection (PDI) Technicians employed by the Employer at 
its facility located at 726 Middle Country Road, Saint James, NY.  who were employed by the Employer during the payroll period ending June 
23, 2026. 
Excluded: 
All office clerical employees, service advisors, warranty administrators, cashiers, receptionists, sales employees, finance employees, managers, 
parts department employees, parts counter personnel, parts drivers, non-mechanical PDI employees, valets, lot personnel, building 
maintenance employees, porters, detailers, cleaning personnel, guards, and supervisors as defined by the Act.",NA,NA,NA,28,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","Local 259 UAW, AFL-CIO",1,"UAW",0.888888888888889,"Yes",1
"18-RC-387345","Region 18, Minneapolis, Minnesota","ABC for Health, Inc.",2026-05-19,2026-07-21,"Madison","WI","A",2026-06-17,10,NA,"National Organization of Legal Services Workers UAW Local 2320",7,NA,NA,NA,NA,0,7,NA,NA,NA,"National Organization of Legal Services Workers UAW Local 2320","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES

All full-time and regular part-time professional employees, including staff attorneys, employed by the Employer who work at and/or out of its facility currently located at 32 North Bassett Street, Madison, Wisconsin; excluding all nonprofessional employees, managerial employees, and guards and supervisors as defined by the Act.","VOTING GROUP B - NONPROFESSIONAL EMPLOYEES

All full-time and regular part-time nonprofessional employees, including health benefits assistants, advocates, counselors, and IT employees employed by the Employer who work at and/or out of its facility currently located at 32 North Bassett Street, Madison, Wisconsin; excluding all professional employees, managerial employees, and guards and supervisors as defined by the Act.","VOTING GROUP B - NONPROFESSIONAL EMPLOYEES

All full-time and regular part-time nonprofessional employees, including health benefits assistants, advocates, counselors, and IT employees employed by the Employer who work at and/or out of its facility currently located at 32 North Bassett Street, Madison, Wisconsin; excluding all professional employees, managerial employees, and guards and supervisors as defined by the Act.","VOTING GROUP B - NONPROFESSIONAL EMPLOYEES

All full-time and regular part-time nonprofessional employees, including health benefits assistants, advocates, counselors, and IT employees employed by the Employer who work at and/or out of its facility currently located at 32 North Bassett Street, Madison, Wisconsin; excluding all professional employees, managerial employees, and guards and supervisors as defined by the Act.",29,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","National Organization of Legal Services Workers UAW Local 2320",1,"UAW",1,"Yes",3
"10-RC-385647","Region 10, Atlanta, Georgia","Schnellecke Logistics USA, LLC",2026-04-27,2026-06-11,"Chattanooga","TN","A",2026-06-02,343,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, (UAW)",187,NA,NA,NA,NA,91,277,NA,3,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, (UAW)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time hourly employees employed by Schnellecke Logistics USA, LLC at its 8001 Volkswagen Drive, Chattanooga, Tennessee assembly plant. 

Excluded: All temporary employees, salaried office clerical employees, managers, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,36,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, (UAW)",1,"UAW",0.672661870503597,"Yes",65
"29-RC-384744","Region 29, Brooklyn, New York","Catapult LLC",2026-04-13,2026-06-25,"Brooklyn","NY","A",2026-06-11,19,NA,"Technical, Office and Professional Union UAW, Local 2110",14,NA,NA,NA,NA,2,16,NA,NA,NA,"Technical, Office and Professional Union UAW, Local 2110","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of the Employer. 

Excluded: All managers and supervisors as defined in the Act.",NA,NA,NA,59,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Technical, Office and Professional Union UAW, Local 2110",1,"UAW",0.875,"Yes",3
"02-RM-384251","Region 02, New York, New York","Teamsters Local 237 Welfare Fund",2026-04-06,2026-05-01,"Manhattan","NY","A",2026-04-23,9,NA,"UAW Local 2320, NOLSW",5,NA,NA,NA,NA,0,5,NA,NA,NA,"UAW Local 2320, NOLSW","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: 

All full-time Staff Attorneys who work at the Employer's offices located at 216 West 14th Street, New York, NY 10011 or remotely out of that location, who were employed during the payroll period ending April 10, 2026

EXCLUDED: 
All guards, managers, confidential employees and supervisors as defined by the Act and all other employees.",NA,NA,NA,17,2026-04-01,2026-04-01,"6-10",TRUE,"RM","Yes","UAW Local 2320, NOLSW",1,"UAW",1,"Yes",4
"07-RC-384352","Region 07, Detroit, Michigan","Michigan Science Center",2026-03-31,2026-05-18,"Detroit","MI","A",2026-05-08,30,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",23,NA,NA,NA,NA,1,0,NA,NA,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,38,2026-04-01,2026-01-01,"26-50",TRUE,"RC","Yes","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",1,"UAW",NA,"Yes",6
