"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-379149","Region 05, Baltimore, Maryland","Global Experience Specialists",2026-01-14,NA,"Baltimore","MD",NA,NA,20,NA,"Eastern Atlantic States Regional Council of Carpenters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"11-25",TRUE,"RC","No","Eastern Atlantic States Regional Council of Carpenters",1,"UBC",NA,"Still Open",NA
"15-RC-375191","Region 15, New Orleans, Louisiana","CSP DeRidder, LLC d/b/a Canfor Southern Pine",2025-11-20,2026-04-23,"DeRidder","LA","A",2026-04-15,128,NA,"Southern Regional Council of Carpenters Local Union #3101",52,NA,NA,NA,NA,68,120,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All lumbermill workers, including operators, electricians, technicians, mechanics, millwrights, utility workers, scale and shipping clerks, and warehouse, assistants.

Excluded:  All other employees, managers, clerical and professional employees, supervisors, and guards as defined under the Act.",NA,NA,NA,146,2026-04-01,2025-10-01,"101-500",TRUE,"RC","Yes","Southern Regional Council of Carpenters Local Union #3101",1,"UBC",0.433333333333333,"No",8
"18-RC-373835","Region 18, Minneapolis, Minnesota","Newcap, Inc.",2025-09-23,2026-02-10,"Green Bay","WI","A",2026-02-10,18,NA,"North Central States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",7,NA,NA,NA,NA,7,14,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","All full-time and regular part-time employees engaged in weatherization and energy services, including Assistant Field Coordinators, Weatherization Crew Leaders, Energy Services Crew Workers, Lead Auditors, Energy Auditors, and Warehouse Inventory Controllers, employed by the Employer at and/or out of its facility located at 1201 Main Street, Oconto, Wisconsin; excluding all other employees, managerial employees, and guards and supervisors as defined by the Act, as amended.

Others permitted to vote: The parties have agreed that Final Inspectors, HVAC Technicians, Master Electricians, and Registered Electricians may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,140,2026-01-01,2025-07-01,"11-25",TRUE,"RC","Yes","North Central States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",1,"UBC",0.5,"No",4
"18-RC-373835","Region 18, Minneapolis, Minnesota","Newcap, Inc.",2025-09-23,2026-02-10,"Green Bay","WI","A",2025-12-09,18,NA,"North Central States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",7,NA,NA,NA,NA,7,14,NA,3,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time employees engaged in weatherization and energy services, including Assistant Field Coordinators, Weatherization Crew Leaders, Energy Services Crew Workers, Lead Auditors, Energy Auditors, and Warehouse Inventory Controllers, employed by the Employer at and/or out of its facility located at 1201 Main Street, Oconto, Wisconsin; excluding all other employees, managerial employees, and guards and supervisors as defined by the Act, as amended.

Others permitted to vote: The parties have agreed that Final Inspectors, HVAC Technicians, Master Electricians, and Registered Electricians may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,77,2025-10-01,2025-07-01,"11-25",FALSE,"RC","Yes","North Central States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",1,"UBC",0.5,"No",4
"21-RD-373656","Region 21, Los Angeles, California","Weyerhaeuser NR Company",2025-09-19,2025-12-22,"Long Beach","CA","A",2025-12-12,11,NA,"CABINET MAKERS, MILLMEN AND INDUSTRIAL CARPENTERS LOCAL NO. 721 and SOUTHWEST REGIONAL COUNCIL OF CARPENTERS AFFILIATED WITH THE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA",0,NA,NA,NA,NA,10,10,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time forklift drivers and lead forklift drivers employed by the Employer at its facility currently located at 800 Pier T Avenue, Long Beach, California 90802.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors defined in the Act.",NA,NA,NA,84,2025-10-01,2025-07-01,"11-25",TRUE,"RD","Yes","CABINET MAKERS, MILLMEN AND INDUSTRIAL CARPENTERS LOCAL NO. 721 and SOUTHWEST REGIONAL COUNCIL OF CARPENTERS AFFILIATED WITH THE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA",1,"UBC",0,"No",1
"19-RM-372832","Region 19, Seattle, Washington","Pipe & Piling Supplies (U.S.A.) Ltd",2025-09-05,2025-11-14,"Auburn","WA","A",2025-09-24,4,NA,"Western States Regional Council of Carpenters",1,NA,NA,NA,NA,2,3,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the Employer who work in the shop/yard located at 3506 A Street SE, Auburn, WA 98002 that are engaged in the customization and supply of piles including Welder, Material Handler/Forklift, and Laborer.

Excluded: All other employees, sales employees, managers and guards and supervisors as defined in the Act.",NA,NA,NA,19,2025-07-01,2025-07-01,"<5",TRUE,"RM","Yes","Western States Regional Council of Carpenters",1,"UBC",0.333333333333333,"No",1
"25-RC-371144","Region 25, Indianapolis, Indiana","Custom Erection, Inc. d/b/a Custom Fabrication",2025-08-11,2025-09-05,"Philpot","KY","A",2025-08-27,13,NA,"Central Midwest Regional Council of Carpenters",3,NA,NA,NA,NA,10,13,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time welders, helpers, and leads employed by the Employer 
at its 5756 Old Highway 54, Philpot, Kentucky facility.

Excluded: All painters, maintenance workers, shop foremen, confidential employees, managerial 
employees, office clerical employees, professional employees, temporary employees, guards and 
supervisors as defined by the Act, and all other employees.",NA,NA,NA,16,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","Central Midwest Regional Council of Carpenters",1,"UBC",0.230769230769231,"No",0
"16-RC-368523","Region 16, Fort Worth, Texas","Midwest Drywall Company, Inc.",2025-07-01,2025-08-07,"Austin","TX","A",2025-07-30,19,NA,"United Brotherhood of Carpenters & Joiners of America, Local Union 1266",7,NA,NA,NA,NA,11,18,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Carpenter Foremen, Leads, Journeymen, and Apprentices employed by the Employer and based out of its office located at 1601 Rutherford Lane, Unit B, Austin, Texas 78754.

Excluded: All other employees, including estimators, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,29,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","United Brotherhood of Carpenters & Joiners of America, Local Union 1266",1,"UBC",0.388888888888889,"No",1
"18-RC-367501","Region 18, Minneapolis, Minnesota","Sioux City Engineering Company",2025-06-10,2025-07-23,"Sioux City","IA","A",2025-07-14,16,1,"North Central States Regional Council of Carpenters",9,NA,NA,NA,NA,2,11,NA,4,NA,"North Central States Regional Council of Carpenters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of the Employer who are based out of its office located at 5000 S. Lewis Blvd in Sioux City, Iowa and perform concrete work for more than 50% of their working time.

Excluded: All guards and supervisors, as defined in the Act, and all other employees.",NA,NA,NA,34,2025-07-01,2025-04-01,"11-25",TRUE,"RC","Yes","North Central States Regional Council of Carpenters",1,"UBC",0.818181818181818,"Yes",5
"31-RD-364346","Region 31, Los Angeles, California","BFS Group LLC",2025-04-24,2025-06-03,"Lancaster","CA","A",2025-05-22,12,NA,"Cabinet Makers, Millmen and Industrial Carpenters, Local 721",4,NA,NA,NA,NA,8,12,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All the following employees at the Employer's facility located at 43755-
43717 N. Division Street, Lancaster, CA 93535; all full-time CDL Driver Class A, CDL
Driver Class B, Load Builder I, Load Builder II, Assembler Lead, Material Handler 1, and
Material Handler II.

Excluded: All other employees, office clerical employees, Inventory Control
Specialists, Dispatchers, Location Managers, managerial employees, confidential
employees, guard, and supervisors as defined in the Act, as amended.",NA,NA,NA,28,2025-04-01,2025-04-01,"11-25",TRUE,"RD","Yes","Cabinet Makers, Millmen and Industrial Carpenters, Local 721",1,"UBC",0.333333333333333,"No",0
"29-RC-360435","Region 29, Brooklyn, New York","Unified Door & Hardware Group LLC",2025-02-18,2025-03-24,"Port Washington","NY","A",2025-03-13,11,NA,"District Council of New York City and Vicinity of the United Brotherhood of Carpenters & Joiners of America",2,NA,NA,NA,NA,9,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time shipping, receiving, quality control, drivers, forklift operators, packers, and warehouse employees employed at 18 Industrial Park Drive, Port Washington, New York.",NA,NA,NA,23,2025-01-01,2025-01-01,"11-25",TRUE,"RC","Yes","District Council of New York City and Vicinity of the United Brotherhood of Carpenters & Joiners of America",1,"UBC",0.181818181818182,"No",0
"25-RC-358369","Region 25, Indianapolis, Indiana","Mulzer Crushed Stone, Inc.",2025-01-15,2025-02-13,"Owensboro","KY","A",2025-02-05,19,NA,"Central Midwest Regional Council of Carpenters",13,NA,NA,NA,NA,5,18,NA,NA,NA,"Central Midwest Regional Council of Carpenters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time laborers and welders, including lead persons and apprentices, employed by the Employer at its Yager Marine, 5001 Highway 2830 Owensboro, Kentucky facility.

Excluded:  All managerial employees, office clerical employees, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,21,2025-01-01,2025-01-01,"11-25",TRUE,"RC","Yes","Central Midwest Regional Council of Carpenters",1,"UBC",0.722222222222222,"Yes",1
"18-RC-355604","Region 18, Minneapolis, Minnesota","Royal Construction, Inc.",2024-11-25,2025-02-14,"Eau Claire","WI","A",2025-02-05,20,NA,"North Central States Regional Council of Carpenters",2,NA,NA,NA,NA,17,19,NA,1,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time and regular part-time carpenter craft employees and carpenter craft apprentices employed by the Employer at or out of its facility currently located at 3653 Greenway Street, Eau Claire, Wisconsin. 

Excluded: All other employees, and all guards and supervisors as defined by the Act.",NA,NA,NA,72,2025-01-01,2024-10-01,"11-25",TRUE,"RC","Yes","North Central States Regional Council of Carpenters",1,"UBC",0.105263157894737,"No",1
"18-RC-355604","Region 18, Minneapolis, Minnesota","Royal Construction, Inc.",2024-11-25,2025-02-14,"Eau Claire","WI","A",2024-12-17,20,NA,"North Central States Regional Council of Carpenters",2,NA,NA,NA,NA,8,10,NA,10,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time carpenter craft employees and carpenter craft apprentices employed by the Employer at or out of its facility currently located at 3653 Greenway Street, Eau Claire, Wisconsin. 

Excluded: All other employees, and all guards and supervisors as defined by the Act.",NA,NA,NA,22,2024-10-01,2024-10-01,"11-25",FALSE,"RC","Yes","North Central States Regional Council of Carpenters",1,"UBC",0.2,"No",10
"31-RC-340407","Region 31, Los Angeles, California","BFS GROUP LLC",2024-04-19,2024-06-03,"Simi Valley","CA","A",2024-05-23,17,NA,"Cabinet Makers, Millmen and Industrial Carpenters Local 721",7,NA,NA,NA,NA,10,17,NA,NA,NA,"Cabinet Makers, Millmen and Industrial Carpenters Local 721","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time CDL Drivers, NON-CDL Drivers, Load Builders, Assemblers, Assembler Lead, Material Handlers, Material
Handler Lead, Yard Workers, and Millwork Craftsman.

EXCLUDED: All other employees, office clerical employees, Inventory Control
Specialists, Dispatchers, Location Managers, managerial employees,
confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,34,2024-04-01,2024-04-01,"11-25",TRUE,"RC","Yes","Cabinet Makers, Millmen and Industrial Carpenters Local 721",1,"UBC",0.411764705882353,"No",0
"18-RD-332535","Region 18, Minneapolis, Minnesota","LaForce, LLC",2023-12-26,2024-01-24,"Green Bay","WI","A",2024-01-17,48,NA,"North Central States Regional Council of Carpenters",14,NA,NA,NA,NA,29,43,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time material handlers, painters/glazers, welders, fabricators, door conversion employees, door fabrication employees, cutting employees, warehouse-delivery employees and punch employees employed by the Employer at its facility currently located at 1060 W Mason St, Green Bay, Wisconsin.

Excluded: Shipping and receiving employees, office clerical employees, CDL drivers,
installers, professional employees, and guards and supervisors as defined by the Act.",NA,NA,NA,22,2024-01-01,2023-10-01,"26-50",TRUE,"RD","Yes","North Central States Regional Council of Carpenters",1,"UBC",0.325581395348837,"No",5
"18-RC-329053","Region 18, Minneapolis, Minnesota","Archer Daniels Midland Company",2023-10-31,2023-12-07,"Marshall","MN","A",2023-11-30,21,NA,"North Central States Regional Council of Carpenters—Millwright Local 548",13,NA,NA,NA,NA,8,21,NA,NA,NA,"North Central States Regional Council of Carpenters—Millwright Local 548","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time maintenance mechanics and reliability technicians employed by the Employer at its 400 W Erie Road, Marshall, Minnesota facility; excluding all other employees, office clericals, confidential employees, managers, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,30,2023-10-01,2023-10-01,"11-25",TRUE,"RC","Yes","North Central States Regional Council of Carpenters—Millwright Local 548",1,"UBC",0.619047619047619,"Yes",0
"04-RM-328345","Region 04, Philadelphia, Pennsylvania","Ambox Operations Co., LLC",2023-10-20,2024-08-02,"Philadelphia","PA","A",2023-11-14,14,NA,"Eastern Atlantic States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",5,NA,NA,NA,NA,7,12,NA,2,NA,NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","Included:  All full-time and regular part-time baler operators, forklift drivers, warehouse staff, jockey drivers, tiger operators, CDL drivers, and non-CDL drivers employed by the Employer at its 1100 West Luzerne Street, Philadelphia, Pennsylvania facility. 

Excluded: All other employees, clerical employees, agency employees, temporary employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,25,2023-10-01,2023-10-01,"11-25",TRUE,"RM","Yes","Eastern Atlantic States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",1,"UBC",0.416666666666667,"Other",2
"29-RC-327788","Region 29, Brooklyn, New York","Arsenal Communications Inc.",2023-10-12,2024-08-07,"Queens","NY","A",2023-11-29,31,NA,"New York City and Vicinity District Council of the United Brotherhood of Carpenters and Joiners of America",6,NA,NA,NA,NA,23,29,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full time and regular part-time Production Planners, Schedulers, Fabricators, Lead Fabricators, Senior Fabricators, Scenic Artists, Lead CNCs, CNC Department employees, General Laborers, Lead Finishing employees, Finishing Department employees, Packing employees, and Drivers.

Excluded: All other employees, including Draftsmen, clerical employees, guards and supervisors as defined by the Act",NA,NA,NA,48,2023-10-01,2023-10-01,"26-50",TRUE,"RC","Yes","New York City and Vicinity District Council of the United Brotherhood of Carpenters and Joiners of America",1,"UBC",0.206896551724138,"No",2
"04-RC-327448","Region 04, Philadelphia, Pennsylvania","Ambox Operations Co., LLC",2023-10-10,2024-08-02,"Philadelphia","PA","A",2023-11-14,14,NA,"Eastern Atlantic States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",7,NA,NA,NA,NA,5,12,NA,2,NA,NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","Included:  All full-time and regular part-time baler operators, forklift drivers, warehouse staff, jockey drivers, tiger operators, CDL drivers, and non-CDL drivers employed by the Employer at its 1100 West Luzerne Street, Philadelphia, Pennsylvania facility.

Excluded: All other employees, clerical employees, agency employees, temporary employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,35,2023-10-01,2023-10-01,"11-25",TRUE,"RC","Yes","Eastern Atlantic States Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America",1,"UBC",0.583333333333333,"Other",2
