"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"13-RC-388027","Region 13, Chicago, Illinois","Professional Transportation, Inc. (PTI)",2026-06-01,NA,"Proviso","IL",NA,NA,989,NA,"United Electrical, Radio and Machine Workers of America (UE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"500>",TRUE,"RC","No","United Electrical, Radio and Machine Workers of America (UE)",1,"UE",NA,"Still Open",NA
"13-RC-369482","Region 13, Chicago, Illinois","Northwestern University",2025-07-17,2025-09-05,"Evanston","IL","A",2025-08-27,1195,NA,"UE Union/Northwestern University Postdoc Union (NUPU-UE)",515,NA,NA,NA,NA,13,528,NA,26,NA,"UE Union/Northwestern University Postdoc Union (NUPU-UE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All Postdoctoral Researchers employed by Northwestern University at the Evanston and Chicago campuses in the following positions: Postdoctoral Scholar and Research Associate. 

Excluded: All other employees, MD-only Postdoctoral Researchers, JD-only Postdoctoral Researchers, Senior Research Associates, Clinical Research Associates, Senior Clinical Research Associates, Clinical Fellows, Feinberg Fellows, Postdoctoral Fellows (Direct), Visiting Postdoctoral Fellows, managerial employees, guards and supervisors as defined by the Act. 

Others permitted to vote: The parties have agreed that NRSA Postdoctoral Fellows may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,41,2025-07-01,2025-07-01,"500>",TRUE,"RC","Yes","UE Union/Northwestern University Postdoc Union (NUPU-UE)",1,"UE",0.975378787878788,"Yes",667
"22-RC-339987","Region 22, Newark, New Jersey","The Trustees of Princeton University d/b/a Princeton University",2024-04-12,2024-05-22,"Princeton","NJ","A",2024-05-14,1523,1,"United Electrical, Radio and Machine Workers of America (UE) - Graduate Students United",391,NA,NA,NA,NA,652,1123,NA,80,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:
All graduate students enrolled in Princeton University degree
programs who currently hold appointments as Assistants in
Instruction and/or Assistants in Research (or such other titles used
to describe those same appointments).

Excluded:
All other employees; undergraduate students; graduate students not
holding appointments as Assistants in Instruction or Assistants in
Research (or such other titles used to describe those same
appointments); hourly employees; Fellows; graduate students not
seeking Princeton University degrees, including visiting students;
confidentials; office clericals; managers; guards and supervisors as
defined in the Act.",NA,NA,NA,32,2024-04-01,2024-04-01,"500>",TRUE,"RC","Yes","United Electrical, Radio and Machine Workers of America (UE) - Graduate Students United",1,"UE",0.374880153403643,"No",480
"13-RC-335852","Region 13, Chicago, Illinois","The University of Chicago",2024-02-15,2024-04-03,"Chicago","IL","A",2024-03-19,120,NA,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",59,NA,NA,NA,NA,29,88,NA,8,NA,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All graduate students enrolled in University of Chicago degree programs who are employed to provide instructional or research services in the Law School. 

Excluded: All Undergraduate students, graduate students who are not employed to provide instructional or research services, Workshop Coordinators, Peer Mentors, office clerical employees, confidential employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,33,2024-01-01,2024-01-01,"101-500",TRUE,"RC","Yes","Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",1,"UE",0.670454545454545,"Yes",32
"03-RC-326874","Region 03, Buffalo, New York","Cornell University",2023-09-29,2023-11-21,"Ithaca","NY","A",2023-11-09,3175,5,"United Electrical, Radio & Machine Workers of America (UE) - Graduate Students United",1873,NA,NA,NA,NA,80,2081,NA,128,NA,"United Electrical, Radio & Machine Workers of America (UE) - Graduate Students United","Initial","Single Labor Organization","Certific. of Representative","Closed","Graduate students enrolled in Cornell University PhD and Master’s degree programs at the Ithaca, Cornell Tech (Roosevelt Island) and Geneva campuses who receive a stipend from Cornell University to provide teaching or research services, in titles including teaching assistants, research assistants, graduate assistants, and graduate research assistants.
but; excluding all undergraduate students; graduate teaching research specialists (GTRS); fellows; graduate students seeking Doctor of Veterinary Medicine (DVM) degrees; graduate students seeking Doctor of Medicine (MD) degrees; graduate students seeking Juris Doctor (JD) degrees; all students at all other campuses (including but not limited to Doha, Washington, D.C., and Rome); graduate students not seeking Cornell degrees (including visiting students); office clerical employees; guards; managers, professional employees and supervisors as defined in the Act; and all other employees.",NA,NA,NA,41,2023-10-01,2023-07-01,"500>",TRUE,"RC","Yes","United Electrical, Radio & Machine Workers of America (UE) - Graduate Students United",1,"UE",0.959037378392217,"Yes",1222
"18-RD-318105","Region 18, Minneapolis, Minnesota","Aramark Uniform & Career Apparel, LLC",2023-05-15,2023-07-20,"La Crosse","WI","A",2023-07-12,79,NA,"United Electrical, Radio, and Machine Workers (UE) Local 1121",37,NA,NA,NA,NA,19,56,NA,NA,NA,"United Electrical, Radio, and Machine Workers (UE) Local 1121","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time or regular part-time employees in the following classifications employed by the Employer at its facility located at 1920 Oak St., La Crosse, WI: Custodian, Production Operator, Production Operator (Rated), Soil Room Operator, Soil Room Operator (Rated), Production Operator Heavy, Washer Operator, Tumbler Operator, Maintenance Class I, Wastewater Operator, Maintenance Class II, and Maintenance Class III.

Excluded: Drivers, clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,58,2023-07-01,2023-04-01,"51-100",TRUE,"RD","Yes","United Electrical, Radio, and Machine Workers (UE) Local 1121",1,"UE",0.660714285714286,"Yes",23
"32-RC-316964","Region 32, Oakland, California","The Board of Trustees of the Leland Stanford Junior University",2023-04-27,2023-07-14,"Stanford","CA","A",2023-07-06,3410,4,"United Electrical, Radio and Machine Workers of America (UE)",1639,NA,NA,NA,NA,108,1747,NA,NA,NA,"United Electrical, Radio and Machine Workers of America (UE)","Initial","Single Labor Organization","Certific. of Representative","Closed","All Ph.D., Masters (excluding MBA) and J.D. students (as well as students pursuing degree combinations that include Ph.D., Masters (excluding MBA), and J.D.)  enrolled at Stanford University located at 450 Jane Stanford Way, Stanford, CA 94305 who provide instructional and/or research services for the University in classifications including Teaching Assistant, Research Assistant, and Course Assistant, and students on fellowship who provide instructional services; excluding all other exempt employees (including faculty or staff enrolled using University tuition benefit); students who are not providing research or instructional services for any class listed in Stanford Explore Courses, including all other students on fellowship;  all other students (including but not limited to the following students: MBA, DMA, JSD, MD, and undergraduate students (including undergraduates who are conterminously enrolled in graduate program), students not seeking Stanford degrees, and visiting students) office clericals; managers; guards and supervisors as defined in the Act.


Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,70,2023-07-01,2023-04-01,"500>",TRUE,"RC","Yes","United Electrical, Radio and Machine Workers of America (UE)",1,"UE",0.938179736691471,"Yes",1663
"05-RC-309139","Region 05, Baltimore, Maryland","Johns Hopkins University",2022-12-19,2023-02-08,"Baltimore","MD","A",2023-01-31,3186,3,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",2053,NA,NA,NA,NA,67,2120,NA,NA,NA,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All graduate students enrolled in Johns Hopkins University doctoral degree programs who are employed to provide instructional and research services, including teaching assistants, research assistants and fellows.

Excluded: All other employees, undergraduate students, graduate students not seeking Johns Hopkins degrees, including visiting students, office clericals, managers, guards and supervisors as defined in the Act.",NA,NA,NA,43,2023-01-01,2022-10-01,"500>",TRUE,"RC","Yes","Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",1,"UE",0.968396226415094,"Yes",1066
"13-RC-307974","Region 13, Chicago, Illinois","University of Chicago",2022-11-30,2023-03-24,"Chicago","IL","A",2023-03-16,3200,4,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",1696,NA,NA,NA,NA,155,1946,NA,95,NA,"Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,106,2023-01-01,2022-10-01,"500>",TRUE,"RC","Yes","Graduate Students United (GSU) - United Electrical, Radio & Machine Workers of America (UE)",1,"UE",0.916261480280929,"Yes",1349
"13-RC-307313","Region 13, Chicago, Illinois","Northwestern University",2022-11-17,2023-01-23,"Evanston","IL","A",2023-01-12,3000,NA,"United Electrical, Radio and Machine Workers of America (UE)",1644,NA,NA,NA,NA,114,2014,NA,256,NA,"United Electrical, Radio and Machine Workers of America (UE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: Graduate students enrolled in Northwestern University degree programs who are providing instructional and research services for the University, including graduate assistants, teaching assistants, research assistants, and fellows.

Excluded: All other employees; graduate students who are not providing instructional or research services for the University; undergraduate students; graduate students not seeking Northwestern degrees, including visiting students; graduate student graders, tutors and proctors who are not otherwise providing instructional or research services for the University; Assistant Chairs in residential colleges; Residential Assistants; students enrolled in the Pritzker School of Law; M.D. seeking students in the Feinberg School of Medicine (including M.D./Ph.D. students in Feinberg who are in their M.D. phase of studies); students enrolled in the Medill School of Journalism; office clericals; managers; guards and supervisors as defined in the Act.",NA,NA,NA,56,2023-01-01,2022-10-01,"500>",TRUE,"RC","Yes","United Electrical, Radio and Machine Workers of America (UE)",1,"UE",0.935153583617747,"Yes",1242
