"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-UD-390841","Region 05, Baltimore, Maryland","Universal Protection Service d/b/a Allied Universal Security Services",2026-07-17,NA,"Washington","DC",NA,NA,46,NA,"United Government Security Officers of America, Local 44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"UD","No","United Government Security Officers of America, Local 44",1,"UGSOA",NA,"Still Open",NA
"04-RD-371228","Region 04, Philadelphia, Pennsylvania","Meritus Solutions Group",2025-08-13,NA,"Plains","PA",NA,NA,48,NA,"UGSOA Local #267 a/w United Government Security Officers of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-07-01,"26-50",TRUE,"RD","No","UGSOA Local #267 a/w United Government Security Officers of America",1,"UGSOA",NA,"Still Open",NA
"03-RC-361707","Region 03, Buffalo, New York","Paragon Systems, Inc.",2025-03-11,2025-05-22,"Burlington","VT","A",2025-05-13,43,1,"United Government Security Officers of America and its Local 284",20,NA,NA,NA,NA,0,20,NA,NA,NA,"United Government Security Officers of America and its Local 284","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All armed and unarmed security officers employed by Paragon Systems performing guard duties as defined by Section 9(b)(3) of the National Labor Relations Act, assigned to the below Federal facilities in Vermont, under the Employer’s Contract No. 70RFP118DE1000001.

Federal facilities in Vermont, under the Employer’s Contract: 50 South Main Street, St. Albans, VT; 11 Elmwood Ave, Burlington, VT; 87 State Street, Montpelier, VT; 11 Lincoln Street, Essex Junction, VT; 33 School Street, Montpelier, VT; 128 Lakeside Avenue, Burlington, VT; 188 Harvest Lane, Williston VT; 70 Kimball Avenue, South Burlington VT; 246 West St, Rutland, VT; 4 Lemnah Drive, St. Albans, VT; 64 Gricebrook Road, St. Albans, VT; 1222 Putney Road, Brattleboro VT; 166 Sycamore Street, Williston, VT; 30 River Road, Essex Junction, VT; 36 Eastern Avenue, St. Johnsbury, VT; 426 Industrial Ave, Williston, VT; 65 Bowdoin Street, South Burlington, VT; 18 Walnut Walk, Williston, VT; 38 River Road, Essex Junction, VT; and 463 Mountain View Drive, Colchester, VT.

Excluded: office clerical employees, managerial personnel, supervisors as defined by the National Labor Relations Act, and all other personnel.",NA,NA,NA,63,2025-04-01,2025-01-01,"26-50",TRUE,"RC","Yes","United Government Security Officers of America and its Local 284",1,"UGSOA",1,"Yes",23
"05-RC-342160","Region 05, Baltimore, Maryland","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2024-05-13,2024-06-12,"Washington","DC","A",2024-06-04,10,NA,"United Government Security Officers of America International Union and United Government Security Officers of America Local 259 a/w United Government Security Officers of America International Union",5,NA,NA,NA,NA,1,6,NA,NA,NA,"United Government Security Officers of America International Union and United Government Security Officers of America Local 259 a/w United Government Security Officers of America International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by the Employer at the Booz Allen Hamilton facility currently located at 901 15th Street NW, Washington, DC; but excluding all other employees, clerical employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,22,2024-04-01,2024-04-01,"6-10",TRUE,"RC","Yes","United Government Security Officers of America International Union and United Government Security Officers of America Local 259 a/w United Government Security Officers of America International Union",1,"UGSOA",0.833333333333333,"Yes",4
"07-UD-336284","Region 07, Detroit, Michigan","Triple Canopy, Inc.",2024-02-14,2024-10-10,"Grand Rapids","MI","A",2024-05-17,39,1,"Local 288, United Government Security Officers of America (UGSOA)",10,NA,NA,NA,NA,19,29,NA,NA,NA,"Local 288, United Government Security Officers of America (UGSOA)","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time security guards performing services for the Company under its contract with the U.S. Department of Homeland Security in and around the cities of Alena, Cadillac, Petoskey, Traverse City, West Branch, Flint, Bay City, Big 	Rapids, Ludington, Mount Pleasant, Owosso, Saginaw, Escanaba, Houghton, Ironwood, Marquette, Sault Ste Marie, Grand Rapids, Holland and Muskegon, Michigan, but excluding all office clerical employees, professional employees, managers, sergeants, lieutenants, captains, and supervisors as defined by the National Labor 	Relations Act.",NA,NA,NA,93,2024-04-01,2024-01-01,"26-50",TRUE,"UD","Yes","Local 288, United Government Security Officers of America (UGSOA)",1,"UGSOA",0.344827586206897,"No",10
"16-RC-331880","Region 16, Fort Worth, Texas","Akima Global Services, LLC",2023-12-14,2024-01-24,"Donna","TX","A",2024-01-16,66,NA,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION AND ITS LOCAL 385",36,NA,NA,NA,NA,0,36,NA,NA,NA,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION AND ITS LOCAL 385","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time armed and unarmed security officers performing guard duties within the meaning of Section 9(b)(3) of the Act, employed by the Employer at its facility located at 1301 South Salinas Boulevard, Donna, Texas 78537.

EXCLUDED: All other employees, including office clerical employees, salaried employees, managerial employees, confidential employees, and supervisors as defined in the Act.",NA,NA,NA,33,2024-01-01,2023-10-01,"51-100",TRUE,"RC","Yes","UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION AND ITS LOCAL 385",1,"UGSOA",1,"Yes",30
"01-RC-331773","Region 01, Boston, Massachusetts","Ahtna Professional Services Inc.",2023-12-13,2024-02-16,"New London","CT","A",2024-02-08,14,2,"United Government Security Officers of America International Union and its Local 386",0,NA,NA,NA,NA,9,9,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full time and regular part-time armed and unarmed security officers, including leads, employed by the employer at the Coast Guard Academy in New London, Connecticut; but excluding clerical, managerial, salaried, and supervisor personnel as defined by the Act.",NA,NA,NA,57,2024-01-01,2023-10-01,"11-25",TRUE,"RC","Yes","United Government Security Officers of America International Union and its Local 386",1,"UGSOA",0,"No",5
"09-RC-329894","Region 09, Cincinnati, Ohio","BERING GLOBAL SOLUTIONS, LLC",2023-11-07,2024-01-02,"Cincinnati","OH","A",2023-12-12,21,NA,"United Government Security Officers of America and its Local 384",15,NA,NA,NA,NA,0,15,NA,NA,NA,"United Government Security Officers of America and its Local 384","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by the Employer at the following locations: 4676 Columbia Parkway, Cincinnati, Ohio, 5555 Ridge Avenue, Cincinnati, Ohio and 1090 Tusculum Road, Cincinnati, Ohio, but excluding office clerical employees, janitors, captains, lieutenants, program managers and supervisors as defined in the Act.",NA,NA,NA,35,2023-10-01,2023-10-01,"11-25",TRUE,"RC","Yes","United Government Security Officers of America and its Local 384",1,"UGSOA",1,"Yes",6
"28-RC-328673","Region 28, Phoenix, Arizona","Circus Circus LV, LLC",2023-10-16,2024-01-03,"Las Vegas","NV","A",2023-12-07,55,NA,"United Government Security Officers of America (UGSOA)",15,NA,NA,NA,NA,34,50,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  All full-time and regular part-time armed security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at its facility located in Las Vegas, Nevada. 

Others permitted to vote: The parties have agreed that Property Taskforce Officers may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

EXCLUDED:  All other employees, all employees represented by another union, office clerical employees, property taskforce officers, confidential employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,52,2023-10-01,2023-10-01,"51-100",TRUE,"RC","Yes","United Government Security Officers of America (UGSOA)",1,"UGSOA",0.306122448979592,"No",6
"10-RC-311247","Region 10, Atlanta, Georgia","Paragon Systems, Inc. / Praetorian Shield, Inc.",2023-01-31,2023-04-13,"Herndon","VA","A",2023-04-05,363,NA,"United Government Security Officers of America and it Local 381",95,NA,NA,NA,NA,0,120,NA,NA,NA,"United Government Security Officers of America and it Local 381","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers performing guard duties as defined in Section 9(b)(3) of the Act employed by Paragon Systems, Inc. or Praetorian Shield, Inc. assigned to federal facilities throughout the State of Georgia under the Employer's contract HSHQE4-17-D- 00001 with the Department of Homeland Security, Federal Protective Service; but excluding all other employees, office clerical employees, professional employees and supervisors as defined by the Act.",NA,NA,NA,64,2023-04-01,2023-01-01,"101-500",TRUE,"RC","Yes","United Government Security Officers of America and it Local 381",1,"UGSOA",1,"Yes",268
