"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"31-RC-385034","Region 31, Los Angeles, California","Omya, Inc.",2026-04-17,2026-05-29,"Lucerne Valley","CA","A",2026-05-20,36,NA,"United Mine Workers of America",14,NA,NA,NA,NA,21,35,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time Electrical Maintenance Technician, Equipment Operator, Heavy Equipment Utility Operator, Lab Technician Quality Control, Laboratory Technician, Lead Packaging Operator, Lead Production Operator, Materials Handler, Mechanical Maintenance Technician, Mobile Equipment Oiler, Mobile Mechanic Technician, Packaging & Shipping Coordinator, Packaging Operator, Production Operator, and Production Technician employed by the Employer at its facility located at 7299 Crystal Creek Road, Lucerne Valley, CA 92356.

EXCLUDED: All other employees including Geologist, Quarry Production Coordinator, Mobile Equipment Maintenance Coordinator, managerial employees, office administrator/clerical employees, staffing agency and temporary workers, confidential personnel, guards, and supervisors as defined in the Act.",NA,NA,NA,33,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","United Mine Workers of America",1,"UMWA",0.4,"No",1
"06-RD-378170","Region 06, Pittsburgh, Pennsylvania","Direct Results BSP Inc",2026-01-02,2026-02-20,"Waynesburg","PA","A",2026-02-11,19,NA,"United Mine Workers of America",8,NA,NA,NA,NA,10,18,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All regular and part-time employees in the following classification: GS Editor, GS Sales Development, Senior Sales/Director of Operations, Senior Sales Manager, Senior Sales, Sales Development, DR Digital Manager, DR Digital, Lead Graphic Designer (salary), Graphic Designer, Graphic Designer Sign Shop, Admin Assistant/Inside Sales, Graphic Designer (hourly), Installer, Sign Shop Manager, Company Sote/Customer Service Representative, Executive Assistant/Customer Service, Production Manager, Production Assistant, Production Assistant Part Time employed by Direct Results BSP, Inc. at its Waynesburg and Morgantown locations.

Excluded: All office clerical employees, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,40,2026-01-01,2026-01-01,"11-25",TRUE,"RD","Yes","United Mine Workers of America",1,"UMWA",0.444444444444444,"No",1
"04-RC-376683","Region 04, Philadelphia, Pennsylvania","Lehigh Anthracite Coal, LLC",2025-12-09,2026-01-22,"Tamaqua","PA","A",2026-01-13,116,NA,"United Mine Workers of America, International Union",7,NA,NA,NA,NA,108,115,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time production and maintenance employees, including Welders, Repairmen, Electricians, Drivers, Operators, Servicemen, Mechanics, Maintenance Technicians, Laborers, Breakers, Baggers, Scale Workers, Floaters, and Equipment Operators, employed by the Employer at its 1233 East Broad Street, Tamaqua, Pennsylvania facility.

EXCLUDED: All other employees, lab technicians, surveyors, support services employees, office clerical employees, professional employees, confidential employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,35,2026-01-01,2025-10-01,"101-500",TRUE,"RC","Yes","United Mine Workers of America, International Union",1,"UMWA",0.0608695652173913,"No",1
"10-RD-374383","Region 10, Atlanta, Georgia","The Quartz Corp.",2025-10-14,NA,"Spruce Pine","NC",NA,NA,37,NA,"United Mine Workers Local 140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"26-50",TRUE,"RD","No","United Mine Workers Local 140",1,"UMWA",NA,"Still Open",NA
"10-RC-369944","Region 10, Atlanta, Georgia","Sibelco North America, Inc. (Red Hill Plant)",2025-07-23,2025-09-18,"Bakersville","NC","A",2025-09-10,174,NA,"United Mine Workers of America",55,NA,NA,NA,NA,100,155,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time Operators, Relief Operators, Maintenance Mechanics, and Senior Maintenance Mechanics who work in the Employer’s production, maintenance, and warehouse departments at the Employer’s facilities located at 2241 North Carolina Highway 197, Bakersville, North Carolina, 28705 (“Red Hill Plant”) and at 136 Crystal Drive, Spruce Pine,
North Carolina 28777 (“Crystal Plant”).

EXCLUDED: All other employees, lab employees, professional employees, managerial employees, office clerical employees, temporary employees, guards, and supervisors as defined in the Act.",NA,NA,NA,49,2025-07-01,2025-07-01,"101-500",TRUE,"RC","Yes","United Mine Workers of America",1,"UMWA",0.354838709677419,"No",19
"10-RC-345666","Region 10, Atlanta, Georgia","Sibelco North America, Inc.",2024-07-03,2024-08-09,"Spruce Pine","NC","A",2024-08-01,159,NA,"United Mine Workers of America",54,NA,NA,NA,NA,95,149,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Operators, Relief Operators, Maintenance Mechanics, and Senior Maintenance Mechanics who work in the Employer’s production, maintenance, and warehouse departments at the Employer’s facilities located at 241 North Carolina Highway 197, Bakersville, North Carolina, 28705 (“Red Hill Plant”) and at 136 Crystal Drive, Spruce Pine, North Carolina 28777 (“Crystal Plant”).

Excluded: All other employees, lab employees, professional employees, managerial employees, office clerical employees, temporary employees, guards, and supervisors as defined in the Act.",NA,NA,NA,29,2024-07-01,2024-07-01,"101-500",TRUE,"RC","Yes","United Mine Workers of America",1,"UMWA",0.36241610738255,"No",10
"04-RC-341746","Region 04, Philadelphia, Pennsylvania","Gen Four, LLC",2024-05-07,2025-05-23,"Frackville","PA","A",2025-03-12,30,NA,"United Mine Workers of America, Region I, District 2",15,NA,NA,NA,NA,15,30,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Withdrawal Non-adjusted","Closed","Included: All full time and regular part-time truck drivers and mechanics employed by the Employer at its facility located at 200 Mahantongo Street, Pottsville, PA.

Excluded: All other employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,309,2025-01-01,2024-04-01,"26-50",TRUE,"RC","Yes","United Mine Workers of America, Region I, District 2",1,"UMWA",0.5,"Other",0
"04-RC-341746","Region 04, Philadelphia, Pennsylvania","Gen Four, LLC",2024-05-07,2025-05-23,"Frackville","PA","A",2024-06-05,30,NA,"United Mine Workers of America, Region I, District 2",15,NA,NA,NA,NA,14,29,NA,1,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","Included: All full time and regular part-time truck drivers and mechanics employed by the Employer at its facility located at 200 Mahantongo Street, Pottsville, PA.

Excluded: All other employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,29,2024-04-01,2024-04-01,"26-50",FALSE,"RC","Yes","United Mine Workers of America, Region I, District 2",1,"UMWA",0.517241379310345,"Other",1
"09-RD-328292","Region 09, Cincinnati, Ohio","GLANCY SURFACE MINING, LLC",2023-10-20,2024-10-10,"Wharton","WV","A",2024-02-06,84,1,"United Mine Workers of America International Union, AFL-CIO",25,NA,NA,NA,NA,54,79,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production and maintenance employees, including mobile equipment operators, mechanics, mechanic helpers, welders, electricians, fuelers/greasers and steam cleaners employed by the Employer at the Glancy Surface Mine located in Wharton, West Virginia; excluding all other employees, office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,109,2024-01-01,2023-10-01,"51-100",TRUE,"RD","Yes","United Mine Workers of America International Union, AFL-CIO",1,"UMWA",0.316455696202532,"No",5
"27-RD-252580","Region 27, Denver, Colorado","Decker Coal Mine",2019-11-27,2020-02-24,"Decker","MT","A",2020-02-14,112,NA,"United Mine Workers of America, District 22, Local 1972, AFL-CIO",62,NA,NA,NA,NA,46,0,NA,1,NA,"United Mine Workers of America, District 22, Local 1972, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Include: All employees of the Employer at all pits of the Employer now or hereafter added engaged in production and maintenance work at the Decker, Montana mine. 

Exclude: Guards, watchmen, office clerical, foreman, supervisory and engineering employees.",NA,NA,NA,79,2020-01-01,2019-10-01,"101-500",TRUE,"RD","Yes","United Mine Workers of America, District 22, Local 1972, AFL-CIO",1,"UMWA",NA,"Yes",4
