"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"03-RD-377003","Region 03, Buffalo, New York","COPLEY HOSPITAL, INC",2025-12-12,2026-01-23,"Morrisville","VT","A",2026-01-14,135,NA,"UNITED NURSES AND ALLIED PROFESSIONALS",73,NA,NA,NA,NA,38,111,NA,5,NA,"UNITED NURSES AND ALLIED PROFESSIONALS","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and per-diem* non-professional employees in the classifications of: Administrative Assistant, Administrative Unit Coordinator, Authorization Coordinator, CSR Technician, Dietary Technician, Endo Tech, EVS OR Technician, EVS Technician/Security, Food Service Worker, Health Information Specialist, HIM Lead, HIM Specialist, Intake Referral Specialist, Inventory Clerk, Laboratory Aide, Lead CSR Technician, Lead Radiology Scheduler, LNA, Maintenance Technician I, Maintenance Technician Il, Medical Assistant I, Medical Assistant II, Medical Assistant III, Nutrition Assistant, Operating Room Scheduler, Operating Room Service Aide, PAS Quality Assurance Specialist, Patient Care Assistant, Patient Engagement Specialist, Patient Engagement Specialist I, Patient Engagement Specialist Il, Patient Engagement Specialist III, Perioperative Unit Coordinator, Phlebotomist, Phlebotomist/Receptionist, Radiology Scheduler, Referral Specialist, Registrar, Registrar/Scheduler, Scheduler, Sous Chef, Team Leader, Transcriptionist, and Unit Coordinator employed by the Employer at its Morrisville and Waterbury, Vermont facilities. 
*Per diem employees who have worked an average of four (4) hours or more per week during the thirteen (13) weeks immediately preceding the eligibility date for the election are eligible to vote
EXCLUDED: all confidential employees, business office clerical employees, physicians, registered nurses, professional employees, technical employees, skilled maintenance employees, managers, guards, supervisors as defined in the Act, and all other employees.",NA,NA,NA,33,2026-01-01,2025-10-01,"101-500",TRUE,"RD","Yes","UNITED NURSES AND ALLIED PROFESSIONALS",1,"UNAP",0.657657657657658,"Yes",24
"01-RC-373041","Region 01, Boston, Massachusetts","PROSPECT CHARTERCARE RWMC, LLC",2025-09-10,2025-12-11,"New Bedford","MA","A",2025-12-03,102,NA,"United Nurses and Allied Professionals",44,NA,NA,NA,NA,0,44,NA,3,NA,"United Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technical employees, including Cardiac Ultrasonographers, Occupational Therapy Assistants, CT Technologists, Echo Techs, Licensed Practical Nurses, Medical Laboratory Technicians, MRI Technologists, Nuclear Technologists, Surgical Technicians, Pharmacy Techs, Physical Therapist Assistants, Radiographers, Respiratory Therapists, Interventional Radiologists, Ultrasound Techs, and  IR Techs,  and including Leads in all of the above referenced classifications. 

Excluded: All non-technical employees, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,84,2025-10-01,2025-07-01,"101-500",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",1,"Yes",58
"03-RC-352749","Region 03, Buffalo, New York","Copley Hospital",2024-10-16,2024-11-26,"Morrisville","VT","A",2024-11-14,140,NA,"United Nurses and Allied Professionals",68,NA,NA,NA,NA,44,112,NA,6,NA,"United Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per-diem  non-professional employees in the classifications of: Administrative Assistant, Administrative Unit Coordinator, Authorization Coordinator, CSR Technician, Dietary Technician, Endo Tech, EVS OR Technician, EVS Technician/Security, Food Service Worker, Health Information Specialist, HIM Lead, HIM Specialist,  Intake Referral Specialist, Inventory Clerk, Laboratory Aide, Lead CSR Technician, LNA, Maintenance Technician I, Maintenance Technician II, Medical Assistant I, Medical Assistant II, Medical Assistant III, Nutrition Assistant, Operating Room Scheduler, Operating Room Service Aide, PAS Quality Assurance Specialist, Patient Care Assistant, Patient Engagement Specialist, Patient Engagement Specialist I, Patient Engagement Specialist II, Perioperative Unit Coordinator, Phlebotomist, Phlebotomist/Receptionist, Radiology Scheduler, Referral Specialist, Registrar, Registrar/Scheduler, Scheduler, Sous Chef, Team Leader, Transcriptionist, and Unit Coordinator employed by the Employer at its Morrisville and Waterbury, Vermont facilities. 

Excluded: All confidential employees, business office clerical employees, physicians, registered nurses, professional employees, technical employees, skilled maintenance employees, managers, guards, supervisors as defined in the Act, and all other employees. 
Others permitted to vote: The parties have agreed that employees in the classification of Pharmacy Technician I, Pharmacy Technician II, Pharmacy Technician III, and ED Technician may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual(s) in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these classifications will be resolved, if necessary, following the election.",NA,NA,NA,29,2024-10-01,2024-10-01,"101-500",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.607142857142857,"Yes",28
"01-RC-325157","Region 01, Boston, Massachusetts","Prospect Chartercare SJHSRI, LLC, d/b/a Our Lady of Fatima Hospital",2023-09-05,2023-11-02,"North Providence","RI","A",2023-10-25,91,NA,"United Nurses and Allied Professionals",54,NA,NA,NA,NA,12,66,NA,4,NA,"United Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time technical employees employed by the Employer at its 200 High Service Avenue, Providence, Rhode Island facility; but excluding, directors, and managers, guards, professional employees and supervisors within the meaning of the Act.",NA,NA,NA,50,2023-10-01,2023-07-01,"51-100",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.818181818181818,"Yes",25
"01-RC-311314","Region 01, Boston, Massachusetts","Prospect CharterCare SJHSRl, LLC d/b/a Our Lady of Fatima CharterCARE",2023-01-31,2023-04-11,"Providence","RI","A",2023-04-11,8,NA,"United Nurses and Allied Professionals",5,NA,NA,NA,NA,3,8,NA,NA,NA,"United Nurses and Allied Professionals","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included:  All full-time and part-time skilled maintenance and maintenance employees.  

Excluded: All office clerical employees, managers, directors, guards, and supervisors as defined by the Act.",NA,NA,NA,70,2023-04-01,2023-01-01,"6-10",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.625,"Yes",0
"01-RC-311314","Region 01, Boston, Massachusetts","Prospect CharterCare SJHSRl, LLC d/b/a Our Lady of Fatima CharterCARE",2023-01-31,2023-04-11,"Providence","RI","A",2023-01-31,8,NA,"United Nurses and Allied Professionals",5,NA,NA,NA,NA,3,10,NA,2,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and part-time skilled maintenance and maintenance employees.  

Excluded: All office clerical employees, managers, directors, guards, and supervisors as defined by the Act.",NA,NA,NA,0,2023-01-01,2023-01-01,"6-10",FALSE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.625,"Yes",0
"01-RC-288207","Region 01, Boston, Massachusetts","Prospect Chartercare RWMC, LLC",2021-12-28,2022-03-09,"Providence","RI","A",2022-03-01,214,3,"UNITED NURSES & ALLIED PROFESSIONALS",92,NA,NA,NA,NA,47,139,NA,6,NA,"UNITED NURSES & ALLIED PROFESSIONALS","Initial","Single Labor Organization","Certific. of Representative","Closed","Including: All full-time, regular part-time, and per diem Registered Nurses employed by the Employer at its 825 Chalkstone Avenue, Providence, Rhode Island location. 

Excluding: Nurse Practitioners; Clinical Nurse Specialists; ED Care Navigators – RWMC; Clinical Lead, Cancer Center; Wound Care Specialist; Clinical Research Nurse; Resource Registered Nurse; managers; and guards and supervisors as defined by the Act

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,63,2022-01-01,2021-10-01,"101-500",TRUE,"RC","Yes","UNITED NURSES & ALLIED PROFESSIONALS",1,"UNAP",0.661870503597122,"Yes",75
"03-RC-285087","Region 03, Buffalo, New York","Springfield Hospital Inc.",2021-10-26,2022-01-03,"Springfield","VT","A",2021-12-23,70,3,"United Nurses and Allied Professionals",35,NA,NA,NA,NA,25,60,NA,7,NA,"United Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time, and per diem Registered Nurses employed by the Employer at Springfield Hospital located in Springfield, VT and the Windham Center for Psychiatric Care located in Bellows Falls, VT.
Excluded: office clerical employees, non-professional employees, Educators, Case Managers, Infection Control, Clinical Applications Specialist, and Quality/Risk, and guards and supervisors as defined in the Act.",NA,NA,NA,58,2021-10-01,2021-10-01,"51-100",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.583333333333333,"Yes",10
"01-RC-273550","Region 01, Boston, Massachusetts","Prospect RI Home Health and Hospice, LLC",2021-03-03,2021-05-03,"Providence","RI","A",2021-04-23,13,NA,"UNITED NURSES AND ALLIED PROFESSIONALS",8,NA,NA,NA,NA,4,12,NA,NA,NA,"UNITED NURSES AND ALLIED PROFESSIONALS","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time and per diem employees employed by Prospect RI Home Health and Hospice, LLC in the following titles: Clinical Support Specialist, (LPN), Licensed Practical Nurse. (COTA/L), Certified Occupational Therapy Assistant, (CNA) Certified Nursing Assistant, (PTA) Physical Therapist Assistant, and Scheduling Coordinator.

Excluded: All office clerical employees, confidential employees, managers, guards and professional employees and supervisors as defined in the Act.",NA,NA,NA,51,2021-04-01,2021-01-01,"11-25",TRUE,"RC","Yes","UNITED NURSES AND ALLIED PROFESSIONALS",1,"UNAP",0.666666666666667,"Yes",1
"01-RC-273537","Region 01, Boston, Massachusetts","Prospect RI Home Health and Hospice, LLC",2021-03-03,2021-05-03,"Providence","RI","A",2021-04-23,41,NA,"United Nurses and Allied Professionals",23,NA,NA,NA,NA,13,36,NA,2,NA,"United Nurses and Allied Professionals","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time, regular part-time and per diem professional employees employed by the Employer in the positions of Registered Nurse, Occupational Therapist, Physical Therapist, (SLP) Speech Language Pathologist, and Case Manager. 

Excluded: All office clerical employees, confidential employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,51,2021-04-01,2021-01-01,"26-50",TRUE,"RC","Yes","United Nurses and Allied Professionals",1,"UNAP",0.638888888888889,"Yes",5
