"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392776","Region 01, Boston, Massachusetts","Sam Adams Boston Brewing",2026-08-13,NA,"Boston","MA",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Still Open",NA
"22-RC-392696","Region 22, Newark, New Jersey","St. Michael's Medical Center",2026-08-12,NA,"Newark","NJ",NA,NA,2,NA,"JNESO, District Council 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","JNESO, District Council 1",0,"Uncoded",NA,"Still Open",NA
"12-RC-392587","Region 12, Tampa, Florida","Concilio de Salud Integral de Loiza, Inc.",2026-08-10,2026-08-13,"Loiza","PR",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"09-RC-392531","Region 09, Cincinnati, Ohio","TRANE TECHNOLOGIES COMPANY LLC",2026-08-10,NA,"Louisville","KY",NA,NA,12,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO (PPF) Local 502 Plumbers, Pipefitters and Service Technicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO (PPF) Local 502 Plumbers, Pipefitters and Service Technicians",0,"Uncoded",NA,"Still Open",NA
"02-RC-392612","Region 02, New York, New York","Allied Universal Security Services",2026-08-10,NA,"New York","NY",NA,NA,73,NA,"Local One Security Officers Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Local One Security Officers Union",0,"Uncoded",NA,"Still Open",NA
"27-RC-392486","Region 27, Denver, Colorado","Extreme Precision Industrial Contractors, LLC",2026-08-07,NA,"Gillette","WY",NA,NA,14,NA,"Plumbers and Pipefitters Local 192 affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Plumbers and Pipefitters Local 192 affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada",0,"Uncoded",NA,"Still Open",NA
"05-RC-392347","Region 05, Baltimore, Maryland","BTI",2026-08-06,2026-08-11,"Washington","DC",NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-392402","Region 10, Atlanta, Georgia","Karns Fire Department",2026-08-06,NA,"Knoxville","TN",NA,NA,19,NA,"United Firefighters of Karns Local 4900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Firefighters of Karns Local 4900",0,"Uncoded",NA,"Still Open",NA
"05-RC-392245","Region 05, Baltimore, Maryland","All Voting is Local",2026-08-05,2026-08-13,"Washington","DC",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RD-392319","Region 18, Minneapolis, Minnesota","Cumberland Memorial Hospital",2026-08-05,2026-08-13,"Cumberland","WI",NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-392523","Region 28, Phoenix, Arizona","American Residential Services LLC d/b/a YES! Air Conditioning, Heating, Plumbing & Electric",2026-08-05,NA,"Las Vegas","NV",NA,NA,18,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada Local Union No. 525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada Local Union No. 525",0,"Uncoded",NA,"Still Open",NA
"19-RC-392301","Region 19, Seattle, Washington","Fokus Industries, LLC, d/b/a The Runaway, Barboza, and Neumos",2026-08-05,NA,"Seattle","WA",NA,NA,35,NA,"Neumos Security Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Neumos Security Union",0,"Uncoded",NA,"Still Open",NA
"10-RM-392172","Region 10, Atlanta, Georgia","Volunteer Ministry Center (VMC)",2026-08-04,2026-08-05,"Knoxville","TN",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"20-RC-392048","Region 20, San Francisco, California","Marin Health Medical Center",2026-07-31,2026-08-10,"Greenbrae","CA",NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"13-RC-391920","Region 13, Chicago, Illinois","TriMark Marlinn LLC",2026-07-30,2026-08-12,"Chicago","IL",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
