"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392468","Region 01, Boston, Massachusetts","Sonesta International Hotels Corporation",2026-08-07,NA,"Cambridge","MA",NA,NA,45,NA,"UNITE HERE, Local 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","UNITE HERE, Local 26",1,"UNITE HERE",NA,"Still Open",NA
"14-RD-392219","Region 14, Saint Louis, Missouri","Aramark",2026-08-04,NA,"Saint Joseph","MO",NA,NA,33,NA,"UNITE HERE Local 74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","UNITE HERE Local 74",1,"UNITE HERE",NA,"Still Open",NA
"21-RC-392258","Region 21, Los Angeles, California","Schulte Hospitality Group, Inc.",2026-08-04,NA,"San Diego","CA",NA,NA,77,NA,"UNITE HERE Local 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","UNITE HERE Local 30",1,"UNITE HERE",NA,"Still Open",NA
"32-RC-390487","Region 32, Oakland, California","Collegiate Hotel Group, LLC",2026-07-10,2026-08-11,"Berkeley","CA","A",2026-07-31,40,NA,"UNITE HERE Local 2",29,NA,NA,NA,NA,1,30,NA,3,NA,"UNITE HERE Local 2","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time room attendants, housepersons, maintenance engineers, guest service representatives, bartenders, baristas, servers, cooks, and auditors employed by the Employer at its facility located at 2600 Durant Ave. Berkeley, CA 94704 

Excluded: All other employees, confidential employees, office clerical employees, managerial employees, professional employees, guards, and supervisors as defined by the Act.

Others permitted to vote The parties have agreed that the Front Desk Supervisor, the Food & Beverage Supervisor and the Housekeeping Supervisor may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,21,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","UNITE HERE Local 2",1,"UNITE HERE",0.966666666666667,"Yes",10
"04-RM-390302","Region 04, Philadelphia, Pennsylvania","Pleasant Hospitality LLC d/b/a Four Points by Sheraton Northeast",2026-07-09,NA,"Philadelphia","PA",NA,NA,21,NA,"UNITE HERE Local 274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RM","No","UNITE HERE Local 274",1,"UNITE HERE",NA,"Still Open",NA
"19-RC-388354","Region 19, Seattle, Washington","Hampton Inns Employer LLC d/b/a Hampton Inn & Suites Seattle/Federal Way",2026-06-05,2026-07-20,"Federal Way","WA","A",2026-07-10,22,NA,"UNITE HERE! Local 8, affiliated with UNITE HERE International, AFL-CIO",11,NA,NA,NA,NA,7,21,NA,3,NA,"UNITE HERE! Local 8, affiliated with UNITE HERE International, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Room Attendants, Housepersons, Laundry Attendants, Breakfast Attendants, Maintenance Engineers, Guest Service Attendants, and Night Auditors employed by the Employer at 31720 Gateway Center Boulevard S., Federal Way, WA.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, and guards and supervisors as defined by the Act.",NA,NA,NA,35,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","UNITE HERE! Local 8, affiliated with UNITE HERE International, AFL-CIO",1,"UNITE HERE",0.611111111111111,"Yes",4
"13-RC-387730","Region 13, Chicago, Illinois","MMIL Associates, LLC",2026-05-27,2026-06-26,"Chicago","IL","A",2026-06-17,3,NA,"UNITE HERE Local 1",2,NA,NA,NA,NA,1,3,NA,NA,NA,"UNITE HERE Local 1","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Front Desk Supervisors employed by the Employer at its facility located at 198 E. Delaware Place, Chicago, IL.

Excluded:  All office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,21,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","UNITE HERE Local 1",1,"UNITE HERE",0.666666666666667,"Yes",0
"32-RC-386818","Region 32, Oakland, California","TG Administration, LLC.",2026-05-12,2026-06-29,"Pebble Beach","CA","A",2026-06-18,310,1,"UNITE HERE! Local 19",182,NA,NA,NA,NA,56,238,NA,3,NA,"UNITE HERE! Local 19","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time caddies, including legacy and flex caddies, at Pebble Beach Golf Links, Spyglass Hill Golf Course, The Links at Spanish Bay, and Del Monte Golf Courses employed by the Employer at is facility located at  3209 Founders Lane, Pebble Beach, CA 93953; Excluding all other employees, individuals employed by other employers, office clerical employees, professional employees, confidential employees, guards and supervisors as defined by the Act.",NA,NA,NA,37,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","UNITE HERE! Local 19",1,"UNITE HERE",0.764705882352941,"Yes",72
"19-RD-386602","Region 19, Seattle, Washington","Aramark Educational Services LLC",2026-05-07,2026-06-16,"Gig Harbor","WA","A",2026-06-08,53,NA,"UNITE Here Local 8",33,NA,NA,NA,NA,10,43,NA,NA,NA,"UNITE Here Local 8","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Cook, Food Service Worker, Food Service Worker Lead, and Driver I employees employed by the Employer and working at Peninsu.la School District public schools in the State of Washington. 

Excluded: All other employees, secretarial, administrative, office clerical, sales, professional, janitorial, facilities management, maintenance employees, managers, and guards and supervisors as defined by the Act",NA,NA,NA,32,2026-04-01,2026-04-01,"51-100",TRUE,"RD","Yes","UNITE Here Local 8",1,"UNITE HERE",0.767441860465116,"Yes",10
"31-RC-385967","Region 31, Los Angeles, California","The Hollywood Roosevelt",2026-04-29,NA,"Los Angeles","CA",NA,NA,48,NA,"UNITE HERE Local 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No","UNITE HERE Local 11",1,"UNITE HERE",NA,"Still Open",NA
"06-RC-384890","Region 06, Pittsburgh, Pennsylvania","Urban Pittsburgh Downtown Hotel Tenant, LLC d/b/a The Industrialist Hotel Pittsburgh",2026-04-15,2026-06-25,"Pittsburgh","PA","A",2026-06-16,23,NA,"Unite Here Local 57",12,NA,NA,NA,NA,6,18,NA,3,NA,"Unite Here Local 57","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Front Desk Agents, Night Auditors, Housekeeping Room Attendants, Housekeeping Housepersons, Housekeeping Room Inspectors, Bartenders, Servers, Cooks, Dishwashers, Public Area Cleaners, and Maintenance Engineers employed at the Employer’s 405 Wood Street, Pittsburgh, PA 15222;

Excluded: All guards, managerial employees, and supervisors as defined by the Act.",NA,NA,NA,62,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Unite Here Local 57",1,"UNITE HERE",0.666666666666667,"Yes",5
"21-RC-384537","Region 21, Los Angeles, California","Welcome Group LLC d/b/a AC Hotel Marriott Pasadena",2026-04-09,2026-05-28,"Pasadena","CA","A",2026-05-18,23,NA,"UNITE HERE Local 11, UNITE HERE International Union, AFL-CIO",16,NA,NA,NA,NA,3,19,NA,4,NA,"UNITE HERE Local 11, UNITE HERE International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time room attendants and housepersons employed by the Employer at its facility currently located at 19 South Madison Avenue, Pasadena, California 90815.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, housekeeping director, housekeeping assistant director, guards, and supervisors defined in the Act. 

Others Permitted to Vote: The parties have agreed that Housekeeping Supervisors and Laundry Agents may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,39,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","UNITE HERE Local 11, UNITE HERE International Union, AFL-CIO",1,"UNITE HERE",0.842105263157895,"Yes",4
"21-RC-384504","Region 21, Los Angeles, California","Bradford Airport Logistics, LTD.",2026-04-09,2026-05-12,"San Diego","CA","A",2026-05-01,14,1,"UNITE HERE Local 30",11,NA,NA,NA,NA,0,11,NA,NA,NA,"UNITE HERE Local 30","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time logistics specialists employed by the
Employer at its facility currently located at 2247 West Washington Street, San Diego,
California.

Excluded: All other employees, office clerical employees, professional employees,
confidential employees, managerial employees, guards, and supervisors as defined in the
Act.",NA,NA,NA,22,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","UNITE HERE Local 30",1,"UNITE HERE",1,"Yes",3
"01-RC-383292","Region 01, Boston, Massachusetts","Southern Veterinary Partners, LLC d/b/a Mission Pet Health/Boston Veterinary Clinic",2026-03-20,2026-05-14,"Boston","MA","A",2026-05-06,51,NA,"New England Joint Board, UNITE HERE",11,NA,NA,NA,NA,34,45,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","VOTING GROUP - UNIT A (PROFESSIONAL UNIT): 

Included: all full-time and regular part-time Associate Veterinarians employed at the Employer's facilities located at 363 Tremont Street, Boston, MA; 50 Hood Park Drive, Boston, MA; 505 Congress Street, Boston, MA; 1290 Beacon Street, Brookline, MA; and 239 Washington Street, Wellesley, MA.

Excluded: Lead Credentialed Technicians, Surgical Leads, Lead Customer Service Representatives, Lead Veterinary Technicians, Office Clerical Employees, Confidential Employees, Administrative Employees, Managers, Guards, and Supervisors as defined in the Act.

VOTING GROUP B (NON-PROFESSIONAL UNIT):

Included: all full-time and regular part-time Veterinary Assistants, Credentialed Veterinary Technicians, and Customer Service Representatives employed at the Employer's facilities located at 363 Tremont Street, Boston, MA; 50 Hood Park Drive, Boston, MA; 505 Congress Street, Boston, MA; 1290 Beacon Street, Brookline, MA; and 239 Washington Street, Wellesley, MA.

Excluded: all full-time and regular part-time Lead Credentialed Technicians, Surgical Leads, Lead Customer Service Representatives, Lead Veterinary Technicians, Office Clerical Employees, Confidential Employees, Administrative Employees, Managers, Guards, and Professional employees and Supervisors as defined in the Act.

OR

If a majority of voting professionals in Voting Group A vote to be included in a unit with non-professional employees in Voting Group B, the following combined unit is appropriate:
COMBINED UNIT
Included: all full-time and regular part-time Associate Veterinarians, Veterinary Assistants, Credentialed Veterinary Technicians, and Customer Service Representatives employed at the Employer's facilities located at 363 Tremont Street, Boston, MA; 50 Hood Park Drive, Boston, MA; 505 Congress Street, Boston, MA; 1290 Beacon Street, Brookline, MA; and 239 Washington Street, Wellesley, MA.

Excluded: Lead Credentialed Technicians, Surgical Leads, Lead Customer Service Representatives, Lead Veterinary Technicians, Office Clerical Employees, Confidential Employees, Administrative Employees, Managers, Guards, and Supervisors as defined in the Act.",NA,NA,NA,47,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","New England Joint Board, UNITE HERE",1,"UNITE HERE",0.244444444444444,"No",6
"21-RC-382905","Region 21, Los Angeles, California","Residence Inn by Marriott Long Beach",2026-03-13,2026-04-13,"Long Beach","CA","A",2026-04-02,30,NA,"UNITE HERE Local 11",11,NA,NA,NA,NA,18,29,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time housekeeping department employees employed by the Employer at its facility currently located at 4111 East Willow Street, Long Beach, CA 90815.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors defined in the Act.",NA,NA,NA,20,2026-04-01,2026-01-01,"26-50",TRUE,"RC","Yes","UNITE HERE Local 11",1,"UNITE HERE",0.379310344827586,"No",1
"28-RC-381975","Region 28, Phoenix, Arizona","Airport Management Services, LLC d/b/a Hudson News",2026-02-27,2026-04-15,"Las Vegas","NV","A",2026-04-02,12,NA,"Local Joint Executive Board of Las Vegas a/w UNITE HERE International Union",8,NA,NA,NA,NA,4,12,NA,NA,NA,"Local Joint Executive Board of Las Vegas a/w UNITE HERE International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and on-call Beauty Advisors employed by the Employer at Harry Reid International Airport.

EXCLUDED: All other employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,34,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","Local Joint Executive Board of Las Vegas a/w UNITE HERE International Union",1,"UNITE HERE",0.666666666666667,"Yes",0
"04-RM-380814","Region 04, Philadelphia, Pennsylvania","Jack Duggans PHL Inc.",2026-02-11,NA,"Philadelphia","PA",NA,NA,29,NA,"Unite Here Local 274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"26-50",TRUE,"RM","No","Unite Here Local 274",1,"UNITE HERE",NA,"Still Open",NA
"05-RC-380502","Region 05, Baltimore, Maryland","Hine Restaurants LLC d/b/a Eastern Point Collective, The Duck and The Peach, La Collina, and The Wells",2026-02-04,NA,"Washington","DC","A",2026-03-06,54,NA,"UNITE HERE Local 25",25,NA,NA,NA,NA,23,48,NA,8,"Y",NA,"Initial","Single Labor Organization",NA,"Open","INCLUDED:  All full-time and regular part-time Hosts, Servers, Server Assistants/Bussers, Bartenders, Cashiers, Baristas, Cooks, Dishwashers, and Pastry Cooks employed by the Employer at the restaurants currently  located at 300 7th St SE, Washington DC 20003, 727 C. St SE Washington DC 20003 and 747 C. Street SE, Washington DC 20003.

EXCLUDED: All other employees, guards, managers, and supervisors as defined by the Act. 
",NA,NA,NA,30,2026-01-01,2026-01-01,"51-100",TRUE,"RC","Yes","UNITE HERE Local 25",1,"UNITE HERE",0.520833333333333,"Still Open",6
"13-RC-380271","Region 13, Chicago, Illinois","CUIC, LLC, Marriott Chicago UIC d/b/a Courtyard by Marriott UIC",2026-01-30,2026-03-13,"Chicago","IL","A",2026-03-05,9,NA,"UNITE HERE Local 1",7,NA,NA,NA,NA,1,8,NA,NA,NA,"UNITE HERE Local 1","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Guest Services Representatives, Front Desk
Supervisors (Hourly), Valet Attendants, and Auditors employed by the Employer at its
facility currently located at 625 S. Ashland Avenue, Chicago, IL.

Excluded: All office clerical employees, confidential employees, managerial employees,
professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,34,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","UNITE HERE Local 1",1,"UNITE HERE",0.875,"Yes",1
"31-RD-379537","Region 31, Los Angeles, California","La Scala Beverly Hills",2026-01-23,NA,"Beverly Hills","CA",NA,NA,55,NA,"UNITE HERE Local 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"51-100",TRUE,"RD","No","UNITE HERE Local 11",1,"UNITE HERE",NA,"Still Open",NA
"01-RC-379163","Region 01, Boston, Massachusetts","Sheraton License Operating Company, LLC d/b/a Sheraton Boston Hotel",2026-01-15,2026-02-17,"Boston","MA","A",2026-02-06,2,NA,"UNITE HERE, Local 26",2,NA,NA,NA,NA,0,2,NA,NA,NA,"UNITE HERE, Local 26","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Shipping and Receiving Attendants.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,22,2026-01-01,2026-01-01,"<5",TRUE,"RC","Yes","UNITE HERE, Local 26",1,"UNITE HERE",1,"Yes",0
"01-RC-378280","Region 01, Boston, Massachusetts","CRH Harbor Management, LLC",2026-01-05,2026-02-20,"Everett","MA","A",2026-02-11,53,NA,"UNITE HERE Local 26",38,NA,NA,NA,NA,7,45,NA,NA,NA,"UNITE HERE Local 26","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time servers, server assistants, food runners, bartenders, barbacks, hosts, prep cooks, line cooks, dishwashers and receivers, employed by the Employer at its Everett, MA facility; but excluding office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,37,2026-01-01,2026-01-01,"51-100",TRUE,"RC","Yes","UNITE HERE Local 26",1,"UNITE HERE",0.844444444444444,"Yes",8
