"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"07-RC-384516","Region 07, Detroit, Michigan","Garda CL Great Lakes, Inc.",2026-04-08,2026-05-14,"Livonia","MI","A",2026-05-05,35,1,"United Federation LEOS-PBA Armored Car Division",19,NA,NA,NA,NA,10,29,NA,2,NA,"United Federation LEOS-PBA Armored Car Division","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time & regular part-time Drivers/Messengers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at its currently facility located at 12435 Merriman Rd Livonia, MI.; excluding all office clerical employees, professional employees and supervisors as defined by the Act.",NA,NA,NA,27,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","United Federation LEOS-PBA Armored Car Division",1,"United Federation LEOS-PBA",0.655172413793103,"Yes",6
"01-RC-369677","Region 01, Boston, Massachusetts","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2025-07-21,2025-09-22,"North Haven","CT","A",2025-09-12,29,NA,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",16,NA,NA,NA,NA,0,16,NA,1,NA,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Security Officers and Emergency Medical Technicians, performing guard duties as defined in Section 9(B)(3) of the Act, working for the Employer and assigned to its Medtronic account location at 60 Middletown Avenue, North Haven, Connecticut; but excluding all office clerical employees, managers, professional 
employees and supervisors as defined in the Act.",NA,NA,NA,53,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",1,"United Federation LEOS-PBA",1,"Yes",13
"09-RC-369318","Region 09, Cincinnati, Ohio","LOOMIS ARMORED US, LLC",2025-07-15,NA,"Charleston","WV","A",2025-08-13,10,NA,"United Federation LEOS-PBA Armored Car Division",4,NA,NA,NA,NA,4,8,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time vault leads, coin leads, vault clerks, and coin tellers employed by Loomis Armored US, Inc. at its 414 Bream Street DC, Charleston, West Virginia, 45312 location; excluding all other employees, CIT employees, CMS tellers, office clerical employees, driver guards, messenger guards, professional employees, and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,29,2025-07-01,2025-07-01,"6-10",TRUE,"RC","Yes","United Federation LEOS-PBA Armored Car Division",1,"United Federation LEOS-PBA",0.5,"Still Open",2
"21-RC-369165","Region 21, Los Angeles, California","Garda CL West, Inc.",2025-07-11,2025-08-15,"San Diego","CA","A",2025-08-06,43,NA,"United Federation LEOS-PBA Armored Car Division, United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",27,NA,NA,NA,NA,13,40,NA,NA,NA,"United Federation LEOS-PBA Armored Car Division, United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers and messengers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at its facility currently located at 8807 Complex Drive, San Diego, California 92123.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,26,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","United Federation LEOS-PBA Armored Car Division, United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",1,"United Federation LEOS-PBA",0.675,"Yes",3
"05-RC-366149","Region 05, Baltimore, Maryland","Paragon Systems, Inc.",2025-05-22,2025-07-31,"Norfolk","VA","A",2025-07-23,129,8,"United Federation Law Enforcement Officers Security & Police Benevolent Association (United Federation LEOS-PBA)",31,NA,NA,NA,NA,0,31,NA,NA,NA,"United Federation Law Enforcement Officers Security & Police Benevolent Association (United Federation LEOS-PBA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by the Employer at federal facilities in Norfolk, VA and the outlying areas (to include Suffolk, Chesapeake, Newport, Accomac, Portsmouth, Richmond, and Newport News); but excluding office clerical employees, professional employees, participants in pre-hire training programs, managerial personnel, confidential personnel, supervisors as defined in the Act as amended, and all other employees.",NA,NA,NA,62,2025-07-01,2025-04-01,"101-500",TRUE,"RC","Yes","United Federation Law Enforcement Officers Security & Police Benevolent Association (United Federation LEOS-PBA)",1,"United Federation LEOS-PBA",1,"Yes",98
"01-RC-361340","Region 01, Boston, Massachusetts","Garda CL New England, Inc.",2025-03-05,2025-04-11,"Manchester","NH","A",2025-04-03,25,NA,"United Federation LEOS-PBA",14,NA,NA,NA,NA,3,17,NA,NA,NA,"United Federation LEOS-PBA","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Drivers & Messengers, Lead Vault Custodians and Vault Custodians performing guard duties as defined in Section 9(B)(3) of the Act; but excluding all office clerical employees, confidential employees, managers, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","United Federation LEOS-PBA",1,"United Federation LEOS-PBA",0.823529411764706,"Yes",8
"21-RC-359043","Region 21, Los Angeles, California","Centerra Integrated Services, LLC a Constellis Company",2025-01-27,2025-03-13,"Imperial","CA","A",2025-03-04,30,NA,"United Federation LEOS-PBA",20,NA,NA,NA,NA,0,20,NA,NA,NA,"United Federation LEOS-PBA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time armed facility guards employed by the Employer at the U.S. Customs and Border Protection operations currently located at 221 West Aten Road, Imperial, CA 92251.

Excluded:  All other employees, office clerical employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,36,2025-01-01,2025-01-01,"26-50",TRUE,"RC","Yes","United Federation LEOS-PBA",1,"United Federation LEOS-PBA",1,"Yes",10
"21-RC-357816","Region 21, Los Angeles, California","Centerra Services International, Inc.",2025-01-03,2025-02-21,"San Diego","CA","A",2025-02-11,56,2,"United Federation LEOS-PBA",35,NA,NA,NA,NA,0,35,NA,NA,NA,"United Federation LEOS-PBA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time armed facility guards employed by the Employer at the U.S. Customs and Border Protection operations currently located at 7685 Pogo Row, San Diego, CA 92154.

Excluded:  All other employees, office clerical employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,39,2025-01-01,2025-01-01,"51-100",TRUE,"RC","Yes","United Federation LEOS-PBA",1,"United Federation LEOS-PBA",1,"Yes",21
"29-RC-356987","Region 29, Brooklyn, New York","International Proactive Security Inc.",2024-12-18,2025-01-28,"Jamaica","NY","A",2025-01-16,5,NA,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",4,NA,NA,NA,NA,0,4,NA,NA,NA,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Security Officers, Fire Safety Officer(s)/Directors performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, working for the Employer at 88-11 165th Street, Jamaica, NY 11432.

Excluded: All office clerical employees, professional employees and supervisors as defined by the Act.",NA,NA,NA,29,2025-01-01,2024-10-01,"<5",TRUE,"RC","Yes","United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association",1,"United Federation LEOS-PBA",1,"Yes",1
"07-RC-353433","Region 07, Detroit, Michigan","Triple Canopy, Inc.",2024-10-21,2024-12-27,"Grand Rapids","MI","A",2024-12-18,47,3,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association Michigan",27,NA,NA,NA,NA,3,30,NA,1,NA,"United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association Michigan","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time security guards and lead security guards, employed by the Employer in and around the cities of Alpena, Cadillac, Petoskey, Traverse City, West Branch, Flint, Bay City, Big Rapids, Ludington, Mount Pleasant, Owosso, Saginaw, Escanaba, Houghton, Ironwood, Marquette, Sault Ste Marie, Grand Rapids, Holland, and Muskegon, Michigan pursuant to the Employer's contract with the U.S. Department of Homeland Security.  

Excluded: All office clerical employees, professional employees, managers, sergeants, lieutenants, captains, instructors, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,58,2024-10-01,2024-10-01,"26-50",TRUE,"RC","Yes","United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association Michigan",1,"United Federation LEOS-PBA",0.9,"Yes",17
