"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-391944","Region 05, Baltimore, Maryland","Measured Threats Applications and Consulting, Inc. (MTAC) and KR Contracting, Inc., Joint Employers",2026-07-30,NA,"Sterling","VA",NA,NA,9,NA,"Union Rights For Security Officers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Union Rights For Security Officers",1,"URSO",NA,"Still Open",NA
"05-UD-389440","Region 05, Baltimore, Maryland","HBC Management Services, Inc.",2026-06-25,NA,"Urbana","MD",NA,NA,48,NA,"Union Rights for Security Officers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"UD","No","Union Rights for Security Officers",1,"URSO",NA,"Still Open",NA
"05-RC-376687","Region 05, Baltimore, Maryland","Universal Protection Service, LP d/b/a Allied Universal Security Services",2025-12-08,2026-02-09,"Washington","DC","A",2026-01-28,6,NA,"Union Rights for Security Officers (URSO)",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time protective service officers employed by the Employer at the United States Secret Service Anacostia Bolling Joint Base, currently located 245 Murray Lane, Washington, D.C.; but excluding all lieutenants, captains, office clerical employes, temporary employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,51,2026-01-01,2025-10-01,"6-10",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"Yes",3
"05-RC-370707","Region 05, Baltimore, Maryland","Universal Protection Service, LP d/b/a Allied Universal Security Services",2025-08-05,2025-11-18,"Washington","DC","A",2025-09-26,7,NA,"Union Rights for Security Officers (URSO)",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time protective service officers employed by the Employer at the facility currently located at 2301 Constitution Avenue, N.W., Washington, DC; but excluding all other employees, office clerical employes, temporary employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,52,2025-07-01,2025-07-01,"6-10",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",NA,"No",7
"05-RC-319616","Region 05, Baltimore, Maryland","Bradley Technologies Incorporated d/b/a BTI Security",2023-06-08,2023-08-09,"Washington","DC","A",2023-07-31,70,6,"Union Rights for Security Officers (URSO)",13,NA,NA,NA,NA,1,14,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,53,2023-07-01,2023-04-01,"51-100",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",0.928571428571429,"Yes",56
"05-RC-310744","Region 05, Baltimore, Maryland","MTAC, Inc.",2023-01-23,2023-04-20,"Washington","DC","A",2023-03-10,3,NA,"Union Rights for Security Officers (URSO)",1,NA,NA,NA,NA,0,1,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers employed by the Employer at the facility currently located at 1800 M Street, NW, Washington, DC 20036; but excluding all other employees, lieutenants, captains, office clerical employees, temporary employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,46,2023-01-01,2023-01-01,"<5",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"Yes",2
"05-RC-307470","Region 05, Baltimore, Maryland","MTAC, Inc.",2022-11-18,2023-01-23,"Washington","DC","A",2023-01-03,3,NA,"Union Rights for Security Officers (URSO)",1,NA,NA,NA,NA,0,1,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by the Employer at the facility currently located at 1717 H Street, NW, Washington, DC 20006; but excluding all other employees, lieutenants, captains, office clerical employees, temporary employees, confidential employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,46,2023-01-01,2022-10-01,"<5",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"Yes",2
"29-RC-300373","Region 29, Brooklyn, New York","ADC LTD NM",2022-07-29,2022-10-18,"Flushing","NY","A",2022-09-28,38,1,"Union Rights for Security Officers (URSO)",19,NA,NA,NA,NA,4,23,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time officers employed by the Employer at LaGuardia Airport, ATCT BLDG 100, Flushing NY 11371; 1515 Stewart Avenue, Westbury, NY 11590; 221 Clark Drive, Ronkonkoma, NY 11779; and Liberty National Airport, 118 Flag Pole Road, Newark, NJ 07114.

Excluded: All captains, office clerical and professional employees, and supervisors as defined by the Act.",NA,NA,NA,61,2022-07-01,2022-07-01,"26-50",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",0.826086956521739,"Yes",15
"05-RC-292455","Region 05, Baltimore, Maryland","ADC LTD NM",2022-03-18,2022-05-23,"Leesburg","VA","A",2022-05-13,32,1,"Union Rights for Security Officers (URSO)",14,NA,NA,NA,NA,1,15,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time security officers employed by the Employer at the Federal Aviation Administration facilities currently located at 825 East Market Street in Leesburg, Virginia; 3699 Macintosh Drive in Warrenton, Virginia; 24525 Flight Line Road in Dulles, Virginia; and 1 Aviation Circle, New Terminal C in Washington, D.C.

Excluded: All other employees and all supervisors as defined by the Act.",NA,NA,NA,56,2022-04-01,2022-01-01,"26-50",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",0.933333333333333,"Yes",17
"05-UD-290869","Region 05, Baltimore, Maryland","Paragon Systems Inc.",2022-02-18,2022-04-05,"Washington","DC","A",2022-03-28,12,NA,"Union Rights for Security Officers (URSO)",1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time armed and unarmed Special Protective Officers (SPO) employed by the Employer performing guard duties assigned to the facility at 2101 Martin Luther King Jr. Avenue SE, Washington DC; but excluding probationary employees, employees participating in pre-hire training programs offered by the Employer, office clerical employees, managerial employees, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,38,2022-01-01,2022-01-01,"11-25",TRUE,"UD","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"No",11
"05-UD-287877","Region 05, Baltimore, Maryland","Paragon Systems, Inc.",2021-12-17,2022-04-05,"Washington","DC","A",2022-03-28,14,NA,"Union Rights for Security Officers",8,NA,NA,NA,NA,0,8,NA,NA,NA,"Union Rights for Security Officers","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time armed and unarmed Special Protective Officers (SPO) employed by the Employer performing guard duties assigned to the facility at 633 Indiana Avenue NW, Washington DC; but excluding probationary employees, employees participating in pre-hire training programs offered by the Employer, office clerical employees, managerial employees, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,101,2022-01-01,2021-10-01,"11-25",TRUE,"UD","Yes","Union Rights for Security Officers",1,"URSO",1,"No",6
"05-RD-284640","Region 05, Baltimore, Maryland","MGM National Harbor, LLC",2021-10-18,2021-11-26,"Oxon Hill","MD","A",2021-11-18,81,NA,"Union Rights for Security Officers",7,NA,NA,NA,NA,50,57,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and on-call Security Officers employed by the Employer at its MGM National Harbor facility located in Oxon Hill, Maryland; but excluding persons who are employed by other employers, persons employed by the Employer as seasonal, temporary or armed security personnel (e.g., Emergency Response Team), canine officers, investigators, lost and found clerks, access control clerks, office clerks, professional employees, technical employees, dispatch leads and supervisors and managers as defined in the National Labor Relations Act, as amended.",NA,NA,NA,31,2021-10-01,2021-10-01,"51-100",TRUE,"RD","Yes","Union Rights for Security Officers",1,"URSO",0.12280701754386,"No",24
"05-RC-284453","Region 05, Baltimore, Maryland","Golden SVCS, LLC",2021-10-13,2021-12-22,"Suitland","MD","A",2021-12-01,73,4,"Union Rights for Security Officers (URSO)",21,NA,NA,NA,NA,0,21,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,49,2021-10-01,2021-10-01,"51-100",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"Yes",52
"05-UD-267260","Region 05, Baltimore, Maryland","MGM National Harbor, LLC dba MGM National Harbor",2020-10-06,2021-02-01,"Oxon Hill","MD","A",2021-01-19,98,4,"Union Rights for Security Officers (URSO)",21,NA,NA,NA,NA,0,21,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All regular full time and regular part time and on-call security officers employed by the Employer at its Oxon Hill, Maryland facility, but excluding persons who are employed by other employers; persons employed by the Company as seasonal, temporary or armed security personnel (e.g., Emergency Response Team); canine officers; investigators; lost and found clerks; access control clerks; office clerks; professional employees; technical employees; dispatch leads; and supervisors and managers as defined by the National Labor Relations Act, as amended.",NA,NA,NA,105,2021-01-01,2020-10-01,"51-100",TRUE,"UD","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"No",77
"05-RC-252765","Region 05, Baltimore, Maryland","Paragon Systems, Inc.",2019-12-03,2020-01-27,"Washington","DC","A",2020-02-17,7,NA,"Union Rights for Security Officers (URSO)",1,NA,NA,NA,NA,0,1,NA,NA,NA,"Union Rights for Security Officers (URSO)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers and reserve officers employed by the Employer under contract with the Federal Protective Service at the facility located at 1275 First Street, NE, Washington, DC.; but excluding all office clerical employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,76,2020-01-01,2019-10-01,"6-10",TRUE,"RC","Yes","Union Rights for Security Officers (URSO)",1,"URSO",1,"Yes",6
