"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"12-RC-391438","Region 12, Tampa, Florida","Metropolitan Security Services, Inc. d/b/a Walden Security",2026-07-23,NA,"Jacksonville","FL",NA,NA,22,NA,"United States Court Security Officers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United States Court Security Officers",1,"USCSO",NA,"Still Open",NA
"18-RD-369082","Region 18, Minneapolis, Minnesota","Walden Security",2025-07-10,2026-03-20,"Chattanooga","TN","A",2025-12-01,26,NA,"United States Court Security Officers (U.S.C.S.O)",3,NA,NA,NA,NA,19,22,NA,NA,NA,NA,"Rerun","Single Labor Organization","Certification of Results","Closed","Included: All full-time and shared-time position Court Security Officers (CSOs); Lead Court Security Officers (LCSOs); Senior Lead Court Security Officers (SLCSOs); Special Security Officers (SSOs); Lead Special Security Officers (LSSOs) and Senior Lead Special Security Officers (SLSSOs) employed by the Employer at the U.S. Federal Courthouse located at 300 S. 4th Street, Minneapolis, MN 55415. 

Excluded: All managers, supervisors, confidential employees, office clerical employees, and professional employees, as defined in the Act, and all other employees.",NA,NA,NA,144,2025-10-01,2025-07-01,"26-50",TRUE,"RD","Yes","United States Court Security Officers (U.S.C.S.O)",1,"USCSO",0.136363636363636,"No",4
"18-RD-369082","Region 18, Minneapolis, Minnesota","Walden Security",2025-07-10,2026-03-20,"Chattanooga","TN","A",2025-08-18,24,NA,"United States Court Security Officers (U.S.C.S.O)",2,NA,NA,NA,NA,17,19,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and shared-time position Court Security Officers (CSOs); Lead Court Security Officers (LCSOs); Senior Lead Court Security Officers (SLCSOs); Special Security Officers (SSOs); Lead Special Security Officers (LSSOs) and Senior Lead Special Security Officers (SLSSOs) employed by the Employer at the U.S. Federal Courthouse located at 300 S. 4th Street, Minneapolis, MN 55415. 

Excluded: All managers, supervisors, confidential employees, office clerical employees, and professional employees, as defined in the Act, and all other employees.",NA,NA,NA,39,2025-07-01,2025-07-01,"11-25",FALSE,"RD","Yes","United States Court Security Officers (U.S.C.S.O)",1,"USCSO",0.105263157894737,"No",5
"08-RC-202229","Region 08, Cleveland, Ohio","Metropolitan Security Services, Inc. d/b/a Walden Security",2017-07-12,2017-09-05,"Akron","OH","A",2017-08-22,101,6,"United States Court Security Officers",33,NA,NA,NA,NA,5,69,NA,NA,NA,"United States Court Security Officers","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and share-timed position Court Security Officers and Lead Court Security Officers employed by the Employer in the 6th Judicial Circuit, Northern District of Ohio at the U.S. Courthouses at 2 S. Main Street, Akron, Ohio; 401 McKinley Avenue SW, Canton, Ohio; 801 W. Superior Avenue, Cleveland, Ohio; 201 Superior Avenue, Cleveland, Ohio; 1716 Spielbusch Avenue, Toledo, Ohio; 1946 N. 13th Street, Toledo, Ohio; 125 Market Street, Youngstown, Ohio and 10 E. Commerce Street, Youngstown, OH 44503, but excluding all office clerical employees, professional employees, confidential employees and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,41,2017-07-01,2017-07-01,"101-500",TRUE,"RC","Yes","United States Court Security Officers",1,"USCSO",0.868421052631579,"Yes",63
"10-RC-201618","Region 10, Atlanta, Georgia","Metropolitan Security Services, Inc. d/b/a Walden Security",2017-06-29,2017-07-31,"Asheville","NC","A",2017-07-21,9,NA,"United States Court Security Officers",7,NA,NA,NA,NA,0,7,NA,NA,NA,"United States Court Security Officers","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and share-time Court Security Officers and Lead Court Security Officers employed by the Employer at the U.S Courthouse, 100 Otis Street, Asheville, NC 28801, and excluding all office clerical employees, professional employees, confidential employees and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,22,2017-07-01,2017-04-01,"6-10",TRUE,"RC","Yes","United States Court Security Officers",1,"USCSO",1,"Yes",2
"18-RC-197292","Region 18, Minneapolis, Minnesota","Metropolitan Security Services, Inc. d/b/a Walden Security",2017-04-21,2017-05-30,"Sioux City","IA","A",2017-05-22,9,NA,"United States Court Security Officers",8,NA,NA,NA,NA,0,8,NA,NA,NA,"United States Court Security Officers","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and shared-time position Court Security Officers and Lead Court Security Officers employed by the employer at the U.S. Courthouse 320 Sixth St., Sioux City, IA 51101; excluding all office clerical employees, professional employees, confidential employees, supervisors, and managers as defined by the National Labor Relations Act.",NA,NA,NA,31,2017-04-01,2017-04-01,"6-10",TRUE,"RC","Yes","United States Court Security Officers",1,"USCSO",1,"Yes",1
"05-RC-149002","Region 05, Baltimore, Maryland","Akal Security, Inc.",2015-03-27,2015-05-21,"Washington","DC","A",2015-05-13,23,NA,"United States Court Security Officers",4,NA,NA,NA,NA,17,21,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and share-time Special Security Officers employed by the employer at the United States Attorney's Office at 555 4th Street, NW, Washington, DC 20530, but excluding all office clerical employees, professional employees, confidential employees, managerial employees and supervisors as defined in the Act.",NA,NA,NA,47,2015-04-01,2015-01-01,"11-25",TRUE,"RC","Yes","United States Court Security Officers",1,"USCSO",0.19047619047619,"No",2
"05-RD-110206","Region 05, Baltimore, Maryland","AKAL Security, Inc.",2013-07-30,2013-09-26,"Washington","DC","A",2013-09-18,224,6,"United States Court Security Officers",37,NA,NA,NA,NA,80,117,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and share-time court security officers and special security officers employed by the Employer at the federal courthouses and other United States Justice Department facilities within the jurisdictional boundaries of the 12th Federal Judicial Circuit under the United States Marshals Service, but excluding all lead court security officers, lead special security officers, project managers, site supervisors, lieutenants, office clerical employees, professional employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,50,2013-07-01,2013-07-01,"101-500",TRUE,"RD","Yes","United States Court Security Officers",1,"USCSO",0.316239316239316,"No",107
"04-RC-091877","Region 04, Philadelphia, Pennsylvania","AKAL SECURITY, INC.",2012-10-23,2012-12-06,"ALLENTOWN","PA","A",2012-11-27,11,NA,"United States Court Security Officers",9,NA,NA,NA,NA,0,9,NA,NA,NA,"United States Court Security Officers","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and share-time Court Security Officers, Lead Court Security Officers, Special Security Officers, and Lead Special Security Officers employed by the Employer at the Edward N. Cahn Federal Courthouse located at 504 Hamilton Street, Allentown, Pennsylvania.
 
EXCLUDED:  All other employees, including office clerical employees, professional employees, confidential employees and supervisors as defined in the Act.",NA,NA,NA,35,2012-10-01,2012-10-01,"11-25",TRUE,"RC","Yes","United States Court Security Officers",1,"USCSO",1,"Yes",2
"05-RC-016484","Region 05, Baltimore, Maryland","Akal Security Inc.",2010-07-27,2010-09-22,"Abingdon","VA","A",2010-09-07,57,NA,"UNITED STATES COURT SECURITY OFFICERS",34,NA,NA,NA,NA,2,36,"N",NA,"N","UNITED STATES COURT SECURITY OFFICERS","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Court Security Officers, Lead Court Security Officers, Special Security Officers and Lead Special Security Officers employed by the Employer under contract with the U.S.
Marshalls Service within Western District o",NA,NA,NA,42,2010-07-01,2010-07-01,"51-100",TRUE,"RC","Yes","UNITED STATES COURT SECURITY OFFICERS",1,"USCSO",0.944444444444444,"Yes",21
