"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RC-343893","Region 02, New York, New York","Riverbay Corporation d/b/a Co-op City",2024-06-07,2024-07-09,"Bronx","NY","A",2024-06-27,19,NA,"Local 1013 United Security Officers of America",15,NA,NA,NA,NA,0,15,NA,NA,NA,"Local 1013 United Security Officers of America","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time lieutenants and sergeants assigned to the public safety department. 

EXCLUDED: All other employees, and professional employees and supervisors as defined by the Act.",NA,NA,NA,20,2024-04-01,2024-04-01,"11-25",TRUE,"RC","Yes","Local 1013 United Security Officers of America",1,"USOA",1,"Yes",4
"29-RC-324799","Region 29, Brooklyn, New York","Hofstra University",2023-08-30,2023-10-19,"Hempstead","NY","A",2023-10-11,56,NA,"Local 1013 United Security Officers of America",39,NA,NA,NA,NA,1,40,NA,NA,NA,"Local 1013 United Security Officers of America","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:
All full-time and regular part time Public Safety Officers.

Excluded:
All other employees including but not limited to managerial, supervisors, professional employees as defined by the Act.",NA,NA,NA,42,2023-10-01,2023-07-01,"51-100",TRUE,"RC","Yes","Local 1013 United Security Officers of America",1,"USOA",0.975,"Yes",16
"02-RC-151262","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-04,13,NA,"United Security Officers of America, Local 821",1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 582 Columbus Avenue, Thornwood, NY (“EF Academy”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,36,2015-04-01,2015-04-01,"11-25",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",0.5,"No",11
"02-RC-151275","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,3,NA,"United Security Officers of America, Local 821",2,NA,NA,NA,NA,0,2,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 3220 Henry Hudson Parkway, NY (“Hudson Point”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",1
"02-RC-151277","Region 02, New York, New York","U.S Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,3,NA,"United Security Officers of America, Local 821",1,NA,NA,NA,NA,0,1,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 4499 Manhattan College Parkway, Riverdale, NY (“Methodist Home”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",2
"02-RC-151280","Region 02, New York, New York","U.S Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,3,NA,"United Security Officers of America, Local 821",1,NA,NA,NA,NA,0,1,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 2040 White Plains Road, Bronx, NY (“Staples Retail”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",2
"02-RC-151283","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,3,NA,"United Security Officers of America, Local 821",2,NA,NA,NA,NA,0,2,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 801 Neill Avenue, Bronx, NY (“Janel Towers”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",1
"02-RC-151269","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,4,NA,"United Security Officers of America, Local 821",0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 1275 Mamaroneck Avenue, White Plains, NY (“March of Dimes”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",0,"No",2
"02-RC-151287","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,4,NA,"United Security Officers of America, Local 821",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 330 Baychester Avenue, Bronx, NY (“Staples”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",NA,"No",4
"02-RC-151289","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,4,NA,"United Security Officers of America, Local 821",1,NA,NA,NA,NA,0,1,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 302 Church Street, White Plains, NY (“Wimbledon”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",3
"02-RC-151250","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"white plains","NY","A",2015-06-03,5,1,"United Security Officers of America, Local 821",2,NA,NA,NA,NA,0,2,NA,1,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at 15 Boulder Ridge Road, Scarsdale, NY (“Boulder Ridge”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"<5",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",3
"02-RC-151248","Region 02, New York, New York","U.S. Security Associates, Inc.",2015-04-29,2015-06-11,"White Plains","NY","A",2015-06-03,6,NA,"United Security Officers of America, Local 821",2,NA,NA,NA,NA,0,2,NA,NA,NA,"United Security Officers of America, Local 821","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time security officers employed by the Employer at the work site located at One Executive Boulevard, Yonkers, NY (“Mack-Cali SWEP”). 

EXCLUDED: All other employees, including office clerical employees, and professional employees and supervisors as defined in the Act.",NA,NA,NA,35,2015-04-01,2015-04-01,"6-10",TRUE,"RC","Yes","United Security Officers of America, Local 821",1,"USOA",1,"Yes",4
