"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-241394","Region 05, Baltimore, Maryland","SecTek, Inc.",2019-05-14,2019-06-27,"Washington","DC","A",2019-06-19,9,NA,"United Security and Police Officers of America",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed",NA,NA,NA,NA,36,2019-04-01,2019-04-01,"6-10",TRUE,"RC","Yes","United Security and Police Officers of America",1,"USPOA",NA,"No",9
"28-RC-236455","Region 28, Phoenix, Arizona","Hana Industries Inc.",2019-02-22,2019-03-25,"Albuquerque","NM","A",2019-03-14,141,NA,"United Security & Police Officers of America (USPOA)",56,NA,NA,NA,NA,13,69,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:   All full-time and regular part-time employees performing escort services for the Employer at Sandia National Laboratory located in Albuquerque, New Mexico.

EXCLUDED: All other employees, office clerical employees, professional employees and supervisors as defined by the Act.",NA,NA,NA,20,2019-01-01,2019-01-01,"101-500",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",0.811594202898551,"Yes",72
"05-RC-222959","Region 05, Baltimore, Maryland","First Coast Security Solutions, Inc.",2018-06-29,2018-08-29,"Washington","DC","A",2018-08-20,4,NA,"United Security & Police Officers of America (USPOA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security employees employed by
the Employer at the Social Security Administration building currently located at 1300 D Street,
SW in Washington DC; but excluding office clerical employees, managerial, professional
employees, and supervisors as defined in the Act.",NA,NA,NA,52,2018-07-01,2018-04-01,"<5",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",1,"Yes",2
"05-RC-193111","Region 05, Baltimore, Maryland","Bradley Technologies Incorporated d/b/a BTI Security",2017-02-15,2017-04-12,"Arlington","VA","A",2017-04-04,24,1,"United Security & Police Officers of America (USPOA)",3,NA,NA,NA,NA,1,4,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers employed by Bradley Technology Incorporated d/b/a BTI Security performing guard duties, as defined by Section 9(b)(3) of the National Labor Relations Act, who are assigned to the Washington Metropolitan Area Transit Authority facility located at 3301 Eisenhower Avenue, Alexandria, Virginia, and excluding all clerical employees, professional employees, managerial employees, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,48,2017-04-01,2017-01-01,"11-25",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",0.75,"Yes",20
"05-RC-187852","Region 05, Baltimore, Maryland","First Coast Security Solutions, Inc.",2016-11-08,2017-01-04,"Jacksonville","FL","A",2016-12-22,10,NA,"United Security & Police Officers of America (USPOA)",3,NA,NA,NA,NA,0,3,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers employed by the Employer at the Central Heating Plant located in Washington, DC; excluding captains, office clerical employees, managerial employees, professional employees and supervisors as defined in the Act.",NA,NA,NA,44,2016-10-01,2016-10-01,"6-10",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",1,"Yes",7
"05-RC-168064","Region 05, Baltimore, Maryland","AmeriGuard Security Services, Inc.",2016-01-21,2016-03-09,"Bethesda","MD","A",2016-03-01,3,NA,"United Security & Police Officers of America (USPOA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers employed by the Employer at
the United States Department of Agriculture facility in Beltsville, Maryland, and
the United States Attorney’s Office facility in Greenbelt, Maryland; but excluding
all lieutenants, captains, office clerical employees, confidential employees,
professional employees, managerial employees, and supervisors as defined in
the Act.",NA,NA,NA,40,2016-01-01,2016-01-01,"<5",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",1,"Yes",1
"05-RC-167964","Region 05, Baltimore, Maryland","American Security Programs, Inc.",2016-01-19,2016-02-18,"Vienna","VA","A",2016-02-09,8,NA,"United Security & Police Officers of America (USPOA)",4,NA,NA,NA,NA,0,4,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time security officers and sergeants employed by the Employer at its Internal Revenue Service (IRS) facility located in Vienna, Virginia; but excluding all lieutenants, captains, office clerical employees, professional employees, managerial employees, and supervisors as defined by the Act.",NA,NA,NA,21,2016-01-01,2016-01-01,"6-10",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",1,"Yes",4
"05-RC-165375","Region 05, Baltimore, Maryland","Sec Tek Inc.",2015-12-03,2015-12-30,"Washington","DC","A",2015-12-22,40,NA,"United Security & Police Officers of America (USPOA)",22,NA,NA,NA,NA,0,22,NA,NA,NA,"United Security & Police Officers of America (USPOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and part-time security officers and sergeants employed by the Employer at the GOP Building currently located at 732 North Capitol Street, N.W., Washington, DC, but excluding all clerical employees, lieutenants, captains, and supervisors as defined by the Act.",NA,NA,NA,19,2015-10-01,2015-10-01,"26-50",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",1,"Yes",18
"05-RC-151470","Region 05, Baltimore, Maryland","Master Security Company, LLC",2015-05-04,2015-06-24,"Arlington","VA","A",2015-06-16,7,NA,"United Security & Police Officers of America (USPOA)",1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time security officers and sergeants employed by the Employer pursuant to its Government Contracts for uniformed security services at the Jefferson Plaza building in Arlington, Virginia; but excluding lieutenants, captains, office clerical employees, managerial employees, professional employees and supervisors as defined in the Act.",NA,NA,NA,43,2015-04-01,2015-04-01,"6-10",TRUE,"RC","Yes","United Security & Police Officers of America (USPOA)",1,"USPOA",0.5,"No",5
"05-RC-135313","Region 05, Baltimore, Maryland","The Whitestone Group, Inc.",2014-08-25,2014-10-02,"Gaithersburg","MD","A",2014-09-24,20,NA,"UNITED SECURITY & POLICE OFFICERS OF AMERICA",12,NA,NA,NA,NA,1,13,NA,NA,NA,"UNITED SECURITY & POLICE OFFICERS OF AMERICA","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time officers and sergeants employed by the
Employer at the National Institute of Standards and Technology in Gaithersburg,
MD excluding all lieutenants, captains, professional employees, clerical
employees and supervisors as defined by the Act",NA,NA,NA,30,2014-07-01,2014-07-01,"11-25",TRUE,"RC","Yes","UNITED SECURITY & POLICE OFFICERS OF AMERICA",1,"USPOA",0.923076923076923,"Yes",7
"22-RC-116634","Region 22, Newark, New Jersey","COMMUNITY EDUCATION CENTERS, INC.",2013-11-08,2014-01-23,"NEWARK","NJ","A",2014-01-14,82,NA,"UNITED SECURITY & POLICE OFFICERS OF AMERICA",45,NA,NA,NA,NA,15,60,NA,NA,NA,"UNITED SECURITY & POLICE OFFICERS OF AMERICA","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Occupational Counselors (OCs) employed
by the Employer in the section of its Delaney Hall facility in Newark, New Jersey
that houses individuals detained by U.S. Immigrations and Customs
Enforcement, excluding all other employees and supervisors as defmed by the
Act.",NA,NA,NA,67,2014-01-01,2013-10-01,"51-100",TRUE,"RC","Yes","UNITED SECURITY & POLICE OFFICERS OF AMERICA",1,"USPOA",0.75,"Yes",22
