"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"07-RC-392708","Region 07, Detroit, Michigan","Solar Technology, LLC",2026-08-11,NA,"Hemlock","MI",NA,NA,1200,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"500>",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",1,"USW",NA,"Still Open",NA
"10-RC-392483","Region 10, Atlanta, Georgia","Ascent Chemical",2026-08-07,NA,"Cleveland","TN",NA,NA,28,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",1,"USW",NA,"Still Open",NA
"10-RD-392151","Region 10, Atlanta, Georgia","Kentucky Utilities Company",2026-08-04,NA,"Atlanta","GA",NA,NA,50,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, Local 9447-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, Local 9447-01",1,"USW",NA,"Still Open",NA
"01-RC-392119","Region 01, Boston, Massachusetts","AmeriGas Propane, Inc.",2026-08-03,NA,"Londonderry","NH",NA,NA,5,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Still Open",NA
"13-RD-391849","Region 13, Chicago, Illinois","Kinder Morgan, Inc.",2026-07-29,NA,"Joliet","IL",NA,NA,13,NA,"United Steelworkers Local 9777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No","United Steelworkers Local 9777",1,"USW",NA,"Still Open",NA
"16-RC-391718","Region 16, Fort Worth, Texas","Iron Oak Energy Management LLC",2026-07-28,NA,"Crane","TX",NA,NA,50,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC",1,"USW",NA,"Still Open",NA
"18-RC-391475","Region 18, Minneapolis, Minnesota","3M Company",2026-07-22,NA,"Prairie du Chien","WI",NA,NA,465,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Still Open",NA
"03-RC-390616","Region 03, Buffalo, New York","Cimolai-HY LLC",2026-07-14,NA,"Olean","NY","A",2026-08-13,118,3,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",60,NA,NA,NA,NA,47,111,NA,4,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time production and maintenance employees employed by the Employer at its Olean, New York facility. 

EXCLUDED: All temporary employees, agency employees, joint employees, office clerical employees, professional employees, supervisors as defined in the Act, and all other employees. 

Others permitted to vote: The parties have agreed that Quality Inspectors and Quality Associates may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,30,2026-07-01,2026-07-01,"101-500",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",0.560747663551402,"Still Open",11
"06-RC-390093","Region 06, Pittsburgh, Pennsylvania","Community Library Association",2026-07-07,2026-08-06,"Fox Chapel","PA","A",2026-07-29,21,NA,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial And Service Workers International Union, AFL-CIO, CLC",13,NA,NA,NA,NA,3,0,NA,NA,NA,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial And Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part time Library Services Assistants I & II, Youth Services Specialists, Communications and Marketing Specialists, Local History Specialists, Adult Outreach Specialists, Development Managers, Makerspace Managers and Branch Programming Managers employed by the Employer at its 403 Fox Chapel Rd, Pittsburgh, PA 15238 location (Cooper-Siegel Library) and 1212 Main St, Sharpsburg, PA 15215 locations (Sharpsburg Library).

Excluded: All office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that Business Operations Managers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,22,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial And Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Yes",5
"06-RD-389344","Region 06, Pittsburgh, Pennsylvania","Braeburn Alloy Steel LLC",2026-06-24,NA,"Lower Burrell","PA",NA,NA,11,NA,"USW Local 1324-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RD","No","USW Local 1324-03",1,"USW",NA,"Still Open",NA
