"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"29-RC-375316","Region 29, Brooklyn, New York","Sahara Operatives Corp.",2025-11-21,2026-02-13,"Brooklyn","NY","A",2025-12-15,7,NA,"United Workers of America, Local 621",3,NA,NA,NA,NA,4,7,NA,NA,NA,NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time handypersons, porters, and concierge
employed by the Employer working at the residential building located at 1057 Atlantic
Avenue, Brooklyn, NY 11238.
Excluded: All other employees and supervisors as defined by the Act.",NA,NA,NA,24,2025-10-01,2025-10-01,"6-10",TRUE,"RC","Yes","United Workers of America, Local 621",1,"UWA",0.428571428571429,"Yes",0
"02-RC-286035","Region 02, New York, New York","The Wavecrest Management Team LTD/2340 Beaumont Owner LLC",2021-11-10,2022-02-03,"Bronx","NY","A",2022-01-11,2,1,"United Workers of America Local 660",0,NA,NA,NA,NA,0,0,NA,NA,NA,"United Workers of America Local 660","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  All full-time and regular part-time superintendents and porters employed by the Employer at its facility located at 2340 Beaumont Avenue, Bronx, NY
EXCLUDED:  All other employees, including office clerical employees and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,62,2022-01-01,2021-10-01,"<5",TRUE,"RC","Yes","United Workers of America Local 660",1,"UWA",NA,"No",2
"02-RC-286040","Region 02, New York, New York","The Wavecrest Management Team LTD/Brook Ave Owner LLC",2021-11-10,2022-02-03,"Bronx","NY","A",2022-01-11,2,1,"United Workers of America Local 660",0,NA,NA,NA,NA,0,0,NA,NA,NA,"United Workers of America Local 660","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  All full-time and regular part-time superintendents and porters employed by the Employer at its facility located at 454-464 East 148th Street, Bronx, New York.
EXCLUDED:  All other employees, including office clerical employees and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,62,2022-01-01,2021-10-01,"<5",TRUE,"RC","Yes","United Workers of America Local 660",1,"UWA",NA,"No",2
"02-RC-286045","Region 02, New York, New York","The Wave Crest Management Team LTD/West 144 Owner LLC",2021-11-10,2022-02-03,"New York","NY","A",2022-01-11,2,1,"United Workers of America Local 660",0,NA,NA,NA,NA,0,0,NA,NA,NA,"United Workers of America Local 660","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  All full-time and regular part-time superintendents and porters employed by the Employer at its facility located at 104-106-108-110 West 144th Street, New York, NY.
EXCLUDED:  All other employees, including office clerical employees and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,62,2022-01-01,2021-10-01,"<5",TRUE,"RC","Yes","United Workers of America Local 660",1,"UWA",NA,"No",2
"02-RC-286046","Region 02, New York, New York","The Wavecrest Management Team LTD/Cranford Owner LLC",2021-11-10,2022-02-03,"Bronx","NY","A",2022-01-11,2,1,"United Workers of America Local 660",0,NA,NA,NA,NA,0,0,NA,NA,NA,"United Workers of America Local 660","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  All full-time and regular part-time superintendents and porters employed by the Employer at its facility located at 740 Cranford Avenue, Bronx, NY.
EXCLUDED:  All other employees, including office clerical employees and guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,62,2022-01-01,2021-10-01,"<5",TRUE,"RC","Yes","United Workers of America Local 660",1,"UWA",NA,"No",2
"29-RC-250502","Region 29, Brooklyn, New York","Bridge and Furniture Props LLC",2019-10-24,2019-11-27,"Brooklyn","NY","A",2019-11-15,13,NA,"Local 660, United Workers of America",0,NA,NA,NA,NA,1,1,NA,NA,NA,"Local 660, United Workers of America","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time hourly warehouse workers. Exluded: All Customer service representatives, photographers, assistant photographers, bookkeepers, office workers, supervisors, managers and guards as defined in the Act.",NA,NA,NA,22,2019-10-01,2019-10-01,"11-25",TRUE,"RC","Yes","Local 660, United Workers of America",1,"UWA",0,"No",12
"29-RC-178470","Region 29, Brooklyn, New York","The Habco Corp., Inc.",2016-06-17,2016-08-05,"Amityville","NY","A",2016-07-12,35,2,"LOCAL 660 UNITED WORKERS OF AMERICA",16,NA,NA,NA,NA,16,32,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time machine operators, cheese processors, line leaders, and cutting and packaging employees.

Excluded: All managers, clerical employees, and supervisors as defined by the Act.",NA,NA,NA,25,2016-07-01,2016-04-01,"26-50",TRUE,"RC","Yes","LOCAL 660 UNITED WORKERS OF AMERICA",1,"UWA",0.5,"No",3
"16-RC-178189","Region 16, Fort Worth, Texas","KERRVILLE BUS COMPANY",2016-06-13,2016-07-25,"Dallas","TX","A",2016-07-15,15,NA,"UNITED WORKERS OF AMERICA LOCAL 322.",2,NA,NA,NA,NA,0,2,NA,NA,NA,"UNITED WORKERS OF AMERICA LOCAL 322.","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time ground crew personnel employed by the Employer at its Houston, Austin, and Dallas, Texas Bus Stops.

Excluded:  All other employees, guards, watchmen, and supervisors as defined in the Act.",NA,NA,NA,32,2016-07-01,2016-04-01,"11-25",TRUE,"RC","Yes","UNITED WORKERS OF AMERICA LOCAL 322.",1,"UWA",1,"Yes",13
"29-RC-175858","Region 29, Brooklyn, New York","Awesome Transportation, Inc.",2016-05-10,2016-09-22,"Ridgewood","NY","A",2016-06-09,45,NA,"LOCAL 660 UNITED WORKERS OF AMERICA",1,NA,NA,NA,NA,32,33,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time drivers employed by the Employer and working at or out of the Employer’s Ridgewood facility, located at 47-05 Metropolitan Avenue, Ridgewood, NY. 
Excluded: All independent drivers, all temporary drivers, supervisors, managers and all others as defined by the Act.",NA,NA,NA,30,2016-04-01,2016-04-01,"26-50",TRUE,"RC","Yes","LOCAL 660 UNITED WORKERS OF AMERICA",1,"UWA",0.0303030303030303,"No",12
"29-RC-173946","Region 29, Brooklyn, New York","Skipp to My Lilly, LLC, and Lisa Management, Inc., as a joint and/or single employer",2016-04-13,2017-05-11,"Brooklyn","NY","A",2017-05-03,7,NA,"United Workers of America Local 621",7,NA,NA,NA,NA,0,7,NA,NA,NA,"United Workers of America Local 621","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,385,2017-04-01,2016-04-01,"6-10",TRUE,"RC","Yes","United Workers of America Local 621",1,"UWA",1,"Yes",0
"29-RD-166205","Region 29, Brooklyn, New York","Los Olivos, Ltd.",2015-12-17,2016-01-21,"Farmingdale","NY","A",2016-01-12,26,1,"LOCAL 660, UNITED WORKERS OF AMERICA",1,NA,NA,NA,NA,22,23,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time drivers and driver helpers employed by the Employer at its Farmingdale facility. Excluded: All office clerical, production, and warehouse employees, sales persons, guards, and supervisors as defined in Section 2(11) of the Act.",NA,NA,NA,26,2016-01-01,2015-10-01,"26-50",TRUE,"RD","Yes","LOCAL 660, UNITED WORKERS OF AMERICA",1,"UWA",0.0434782608695652,"No",3
