"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RC-392783","Region 32, Oakland, California","Starbucks Corporation",2026-08-12,NA,"El Cerrito","CA",NA,NA,21,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"14-RC-392456","Region 14, Saint Louis, Missouri","Starbucks Corporation",2026-08-07,NA,"Ponca City","OK",NA,NA,18,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Chicago and Midwest Regional Joint Board, Workers United/SEIU",1,"WU",NA,"Still Open",NA
"28-RC-392639","Region 28, Phoenix, Arizona","Starbucks Corporation",2026-08-07,NA,"Bernalillo","NM",NA,NA,19,NA,"Workers United a/w Service Employees International Union AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w Service Employees International Union AFL-CIO",1,"WU",NA,"Still Open",NA
"29-RC-392268","Region 29, Brooklyn, New York","Starbucks Corporation",2026-08-05,NA,"Queens","NY",NA,NA,23,NA,"Workers United, affiliated with Service Employees International Union (SEIU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United, affiliated with Service Employees International Union (SEIU)",1,"WU",NA,"Still Open",NA
"09-RC-392237","Region 09, Cincinnati, Ohio","STARBUCKS CORPORATION",2026-08-04,NA,"Louisville","KY",NA,NA,17,NA,"Workers United, affiliated with Service Employees International Union, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United, affiliated with Service Employees International Union, AFL-CIO",1,"WU",NA,"Still Open",NA
"28-RC-392293","Region 28, Phoenix, Arizona","Starbucks Corporation",2026-08-04,NA,"Tempe","AZ",NA,NA,24,NA,"Workers United a/w Service Employees International Union (SEIU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w Service Employees International Union (SEIU)",1,"WU",NA,"Still Open",NA
"07-RD-392081","Region 07, Detroit, Michigan","Starbucks Corporation",2026-08-03,NA,"Brighton","MI",NA,NA,27,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","Workers United",1,"WU",NA,"Still Open",NA
"31-RC-391985","Region 31, Los Angeles, California","Starbucks Corporation",2026-07-31,NA,"San Luis Obispo","CA",NA,NA,14,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"21-RC-391965","Region 21, Los Angeles, California","Starbucks Corporation",2026-07-31,NA,"San Diego","CA",NA,NA,24,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"10-RC-391605","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-07-27,NA,"Atlanta","GA",NA,NA,16,NA,"WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",1,"WU",NA,"Still Open",NA
"15-RC-391499","Region 15, New Orleans, Louisiana","Starbucks Corporation",2026-07-27,NA,"Conway","AR",NA,NA,16,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"32-RC-391332","Region 32, Oakland, California","Starbucks Corporation",2026-07-22,NA,"Reno","NV",NA,NA,16,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"27-RC-390942","Region 27, Denver, Colorado","Starbucks Corporation",2026-07-17,NA,"Denver","CO",NA,NA,19,NA,"Workers United a/w SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w SEIU",1,"WU",NA,"Still Open",NA
"10-RC-390697","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-07-15,NA,"Florence","AL",NA,NA,12,NA,"WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",1,"WU",NA,"Still Open",NA
