"Name","National"
"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS)","ACOPS"
"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS) LOCAL 18","ACOPS"
"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22","ACOPS"
"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 24","ACOPS"
"American Coalition of Public Safety","ACOPS"
"NEW ENGLAND COALITION OF PUBLIC SAFETY","ACOPS"
"NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)","ACOPS"
"New England Coalition of Public Safety","ACOPS"
"AMERICAN FEDERATION OF MUSICIANS LOCAL 301","AFM"
"AMERICAN FEDERATION OF MUSICIANS LOCAL 47","AFM"
"AMERICAN FEDERATION OF MUSICIANS OF THE UNITED STATES AND CANADA","AFM"
"AMERICAN FEDERATION OF MUSICIANS, LOCAL 389, AFL-CIO","AFM"
"AMERICAN FEDERATION OF MUSICIANS, UNITED STATES AND CANADA","AFM"
"American Federation of Musicians Local 21","AFM"
"American Federation of Musicians Local 342","AFM"
"American Federation of Musicians Local 47","AFM"
"American Federation of Musicians Local 6","AFM"
"American Federation of Musicians Local 99","AFM"
"American Federation of Musicians Philadelphia Musicians' Union Local 77","AFM"
"American Federation of Musicians, Local 99","AFM"
"American Federation of Musicians, Local No. 173 a/w American Federation of Musicians of the United States and Canada, AFL-CIO, CLC","AFM"
"American Federation of Musicians, United States and Canada","AFM"
"Associated Musicians Of Greater New York, Local 802, AFM","AFM"
"Associated Musicians of Greater New York, Local 802 AFM","AFM"
"Atlanta Federation of Musicians, Local 148-462 of the American Federation of Musicians","AFM"
"BOSTON MUSICIANS ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS LOCAL UNION NO. 9-535, AFL-CIO","AFM"
"BOSTON MUSICIANS' ASSOCIATION, A/W AMERICAN FEDERATION OF MUSICIANS OF THE UNITED STATES AND CANADA,","AFM"
"BOSTON MUSICIANS' ASSOCIATION, LOCAL 9-535, A/W AMERICAN FEDERATION OF MUSICIANS","AFM"
"Boston Musicians' Association, AFM Local 9-535","AFM"
"Boston Musicians' Association, a/w American Federation of Musicians of the United States and Canada, Local 9-535, AFL-CIO","AFM"
"Central Florida Musicians Association, AFM Local 389","AFM"
"Chicago Federation of Musicians, Local 10-208 AFM","AFM"
"Chicago Federation of Musicians, Local 10-208 American Federation of Musicians (AFM)","AFM"
"Cleveland Federation of Musicians, AFM Local 4","AFM"
"DALLAS-FORT WORTH PROFESSIONAL MUSICIANS ASSOCIATION, LOCAL 72-147, AMERICAN FEDERATION OF MUSICIANS","AFM"
"Denver Musicians Association, Local 20-623, affiliated with the American Federation of Musicians in the United States and Canada, AFL-CIO","AFM"
"Greater Idaho Musicians' Association, Local 423 AFM affiliated with American Federation of Musicians of the United States and Canada, AFL-CIO, CLC","AFM"
"LOCAL 502 OF THE AMERICAN FEDERATION OF MUSICIANS OF THE UNITED STATES AND CANADA","AFM"
"Local 802, American Federation of Musicians","AFM"
"Local 802, American Federation of Musicians and the New York City Ballet Orchestra","AFM"
"MUSICIANS UNION LOCAL 6, AMERICAN FEDERATION OF MUSICIANS","AFM"
"MUSICIANS' ASSOCIATION OF ST. LOUIS, LOCAL 2-197, AMERICAN FEDERATION OF MUSICIANS, AFL-CIO","AFM"
"Milwaukee Musicians Association, Local 8 of the American Federation of Musicians of the United States and Canada","AFM"
"Musicians Union Local No. 6, American Federation of Musicians, AFL-CIO","AFM"
"Musicians' Association, Local 689, American Federation of Musicians","AFM"
"PEORIA FEDERATION OF MUSICIANS, LOCAL 26; AMERICAN FEDERATION OF MUSICIANS OF THE UNITED STATES AND","AFM"
"PROFESSIONAL MUSICIANS, LOCAL 47, AMERICAN FEDERATION OF MUSICIANS, AFL-CIO","AFM"
"Pittsburgh Musicians' Union, Local 60-471, American Federation of Musicians","AFM"
"Professional Musicians Local 47, American Federation of Musicians AFL-CIO, CLC","AFM"
"THE GREATER LANCASTER FEDERATION OF MUSICIANS, LOCAL 294, AMERICAN FEDERATION OF MUSICIANS","AFM"
"Tampa Bay Local 427-721, American Federation of Musicians","AFM"
"The Associated Musicians of Greater New York, Local 802, AFM","AFM"
"Tucson Federation of Musicians, AFM, Local 33","AFM"
"AFSCME","AFSCME"
"AFSCME (American Federation of State, County and Municipal Employees) Council 31, AFL-CIO","AFSCME"
"AFSCME (American Federation of State, County, & Municipal Employees) Council 31, AFL-CIO","AFSCME"
"AFSCME (American Federation of State, County, and Municipal Employee) New Jersey Council 63","AFSCME"
"AFSCME (American Federation of State, County, and Municipal Employees) Council 31, AFL-CIO","AFSCME"
"AFSCME (THE AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES) COUNCIL 31","AFSCME"
"AFSCME (THE AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES) COUNCIL 31, AFL-CIO","AFSCME"
"AFSCME (the American Federation of State, County and Municipal Employees) Council 31","AFSCME"
"AFSCME COUNCIL 25","AFSCME"
"AFSCME COUNCIL 25, LOCAL 1640","AFSCME"
"AFSCME COUNCIL 31","AFSCME"
"AFSCME COUNCIL 31, LOCAL 2452","AFSCME"
"AFSCME COUNCIL 5, AFL-CIO","AFSCME"
"AFSCME COUNCIL 61","AFSCME"
"AFSCME COUNCIL 62","AFSCME"
"AFSCME COUNCIL 65","AFSCME"
"AFSCME COUNCIL 75","AFSCME"
"AFSCME Council 14, AFL-CIO","AFSCME"
"AFSCME Council 1707","AFSCME"
"AFSCME Council 18","AFSCME"
"AFSCME Council 25","AFSCME"
"AFSCME Council 25, Local 140","AFSCME"
"AFSCME Council 31","AFSCME"
"AFSCME Council 31, AFL-CIO (American Federation of State, County & Municipal Employees Council 31)","AFSCME"
"AFSCME Council 31, Local 2481","AFSCME"
"AFSCME Council 31, Local 3191, AFL-CIO","AFSCME"
"AFSCME Council 4","AFSCME"
"AFSCME Council 5","AFSCME"
"AFSCME Council 62","AFSCME"
"AFSCME Council 65","AFSCME"
"AFSCME Council 65, Local Union #3454","AFSCME"
"AFSCME Council 65, as a successor to Minnesota Licensed Practical Nurses Association","AFSCME"
"AFSCME Council 75","AFSCME"
"AFSCME Council 75 and Local 88","AFSCME"
"AFSCME Council 93","AFSCME"
"AFSCME Council 96, Local 3558","AFSCME"
"AFSCME Council 962 a/w American Federation of State, County and Municipal Employees, AFL-CIO","AFSCME"
"AFSCME Couoncil 25, AFL-CIO","AFSCME"
"AFSCME DISTRICT COUNCIL 13","AFSCME"
"AFSCME DISTRICT COUNCIL 88, AFL-CIO","AFSCME"
"AFSCME District Council 36, AFL-CIO","AFSCME"
"AFSCME District Council 47, AFL-CIO","AFSCME"
"AFSCME District Council 47, AFL-CIO a/w American Federation of State, County and Municipal Employees, AFL-CIO","AFSCME"
"AFSCME District Council 47, Local 397 a/w American Federation of State, County & Municipal Employees, AFL-CIO","AFSCME"
"AFSCME District Council 47, Local 397, AFL-CIO a/w American Federation of State, County and Municipal Employees, AFL-CIO","AFSCME"
"AFSCME District Council 47, Local 590, AFL-CIO","AFSCME"
"AFSCME District Council 71","AFSCME"
"AFSCME District Council 88","AFSCME"
"AFSCME District Council 88, Local 2763E","AFSCME"
"AFSCME IOWA COUNCIL 61","AFSCME"
"AFSCME Iowa Council 61","AFSCME"
"AFSCME LOCAL #3296","AFSCME"
"AFSCME LOCAL 0524","AFSCME"
"AFSCME LOCAL 100","AFSCME"
"AFSCME LOCAL 2053 - COUNCIL 65","AFSCME"
"AFSCME LOCAL 3558","AFSCME"
"AFSCME LOCAL 73- NOTTINGHAM VILLAGE SP.","AFSCME"
"AFSCME LOCAL 800","AFSCME"
"AFSCME Local #1624","AFSCME"
"AFSCME Local 1511","AFSCME"
"AFSCME Local 1571","AFSCME"
"AFSCME Local 1733","AFSCME"
"AFSCME Local 2960","AFSCME"
"AFSCME Local 3558","AFSCME"
"AFSCME Local 40","AFSCME"
"AFSCME Local 727-D","AFSCME"
"AFSCME Local 867","AFSCME"
"AFSCME Local 9","AFSCME"
"AFSCME MINNESOTA COUNCIL 5 LOCAL 3481","AFSCME"
"AFSCME MINNESOTA COUNCIL 65, AFL-CIO","AFSCME"
"AFSCME MN Council 5","AFSCME"
"AFSCME MONTANA COUNCIL NO. 9, AFL-CIO","AFSCME"
"AFSCME Michigan 925, AFL-CIO","AFSCME"
"AFSCME Minnesota Council 5","AFSCME"
"AFSCME Montana State Council #9","AFSCME"
"AFSCME Montana State Council 9","AFSCME"
"AFSCME Montana State Council 9, AFL-CIO","AFSCME"
"AFSCME RI COUNCIL 94, LOCAL 670A, AFL-CIO","AFSCME"
"AFSCME State Council 9, Local 3570","AFSCME"
"AFSCME UNION, LOCAL 966","AFSCME"
"AFSCME, AFL-CIO","AFSCME"
"AFSCME, COUNCIL 17, BATON ROUGE, LA -ED PARKER","AFSCME"
"AFSCME, COUNCIL 2","AFSCME"
"AFSCME, COUNCIL 40","AFSCME"
"AFSCME, COUNCIL 57","AFSCME"
"AFSCME, COUNCIL 57, LOCAL 1684, AFL-CIO","AFSCME"
"AFSCME, COUNCIL 62","AFSCME"
"AFSCME, Council 2","AFSCME"
"AFSCME, Council 57","AFSCME"
"AFSCME, Council 64","AFSCME"
"AFSCME, Council 75","AFSCME"
"AFSCME, Council 88","AFSCME"
"AFSCME, Council 93","AFSCME"
"AFSCME, Council 93, Local 1877, AFL-CIO","AFSCME"
"AFSCME, Council 97, AFL-CIO","AFSCME"
"AFSCME, Counsel 93","AFSCME"
"AFSCME, DISTRICT COUNCIL 1707, LOCAL 95, AFL-CIO (UNION)","AFSCME"
"AFSCME, District Council #40","AFSCME"
"AFSCME, District Council 87","AFSCME"
"AFSCME, LOCAL 1644","AFSCME"
"AFSCME, Local 2691","AFSCME"
"AFSCME, Montana Council 9","AFSCME"
"AFSCME, WISCONSIN STATE EMPLOYEES UNION, COUNCEL #24, AFL-CIO","AFSCME"
"AFSCME, Wisconsin Council 40","AFSCME"
"AFSCME, Wisconsin State Employees Union, Councel #24, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE COUNCIL AND MUNICIPAL EMPLOYEES, A/W UNITED EMERGENCY MEDICAL SERVICE WORKERS, LOCAL 4911(AFSCME), AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES","AFSCME"
"AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), COUNCIL 40","AFSCME"
"AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES COUNCIL 5, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES, COUNCIL 14, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) COUNCIL 31","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME) COUNCIL 31, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES (AFSCME), AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES DST. COUNCIL 87 A/W AFSCME COUNCIL 13, A","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1739","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES LOCAL 1739, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES RI COUNCIL 94, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES RI COUNCIL LOCAL NO. 94, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, AFL-CIO, COUNCIL 65","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 4, LOCAL 90","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 5, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 93","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 93, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, COUNCIL 93, LOCAL 2824, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, LOCAL 2703","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES, LOCAL 3900 A/W STATE HEALTHCARE AND RESE","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNCIPAL EMPLOYEES (AFSCME) COUNCIL 31, AFL-CIO. AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) COUNCIL 31, AFL-CIO","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) COUNCIL 5, LOCAL 3532","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) LOCAL 3001","AFSCME"
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), AFL-CIO","AFSCME"
