"Name","International","National"
"International Association of Machinists and Aerospace Workers, AFL-CIO","","IAM"
"International Union, Security, Police and Fire Professionals of America \(SPFPA\)","","SPFPA"
"Workers United","","WU"
"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO","","IAM"
"United Steelworkers of America, AFL-CIO, CLC","","USW"
"United Steelworkers of America, AFL-CIO-CLC","","USW"
"Chicago and Midwest Regional Joint Board, Workers United/SEIU","","WU"
"Communications Workers of America, AFL-CIO","","CWA"
"International Association of Machinists & Aerospace Workers, AFL-CIO","","IAM"
"United Steelworkers of America","","USW"
"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"National Union of Healthcare Workers \(NUHW\)","","NUHW"
"Communications Workers of America","","CWA"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKE","","USW"
"SEIU Healthcare Michigan","","SEIU"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","","USW"
"Int'l Union UAW","","UAW"
"Service Employees International Union, United Healthcare Workers - West","","SEIU"
"WORKERS UNITED","","WU"
"International Brotherhood of Teamsters,","","Teamsters"
"Oregon Nurses Association","","AFT"
"Workers United a/w Service Employees International Union","","WU"
"United Steelworkers of America, AFL-CIO","","USW"
"UAW","","UAW"
"Chicago & Midwest Regional Joint Board, Workers United/SEIU","","WU"
"New York State Nurses Association","","NYSNA"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW","","UAW"
"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America \(UAW\), AFL-CIO","","UAW"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union","","USW"
"International Association of Machinists and Aerospace Workers","","IAM"
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW","","UAW"
"Utility Workers Union of America, AFL-CIO","","UWUA"
"California Nurses Association","","NNU"
"Workers United, affiliated with Service Employees International Union","","WU"
"Special & Superior Officers Benevolent Association","","SSOBA"
"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS - WEST \(SEIU-UHW\)","","SEIU"
"Minnesota Nurses Association","","NNU"
"Workers United, Southern Regional Joint Board","","WU"
"SEIU Healthcare Pennsylvania","","SEIU"
"IAMAW, AFL-CIO","","IAM"
"Rochester Regional Joint Board, Workers United","","WU"
"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union","","WU"
"Workers United a/w SEIU","","WU"
"Transport Workers Union of America, AFL-CIO","","TWU"
"International Union, Security, Police & Fire Professionals of America \(SPFPA\)","","SPFPA"
"Union Rights for Security Officers \(URSO\)","","URSO"
"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO","","CWA"
"National Union of Healthcare Workers","","NUHW"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC","","USW"
"International Union, Security, Police, and Fire Professionals of America \(SPFPA\)","","SPFPA"
"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO","","IAM"
"IAM","","IAM"
"Pennsylvania Association of Staff Nurses and Allied Professionals","","PASNAP"
"SEIU HEALTHCARE MICHIGAN","","SEIU"
"Service Employees International Union, United Healthcare Workers-West","","SEIU"
"Communications Workers of America, AFL-CIO, CLC","","CWA"
"United Mine Workers of America","","UMWA"
"International Union, UAW","","UAW"
"National Air Traffic Controllers Association, AFL-CIO \(NATCA\)","","NATCA"
"Massachusetts Nurses Association","","NNU"
"USWA","","USW"
"SEIU Healthcare Minnesota and Iowa","","SEIU"
"International Brotherhood of Teamsters","","Teamsters"
"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU","","WU"
"Service Employees International Union","","SEIU"
"Screen Actors Guild - American Federation of Television and Radio Artists \(SAG-AFTRA\)","","SAG-AFTRA"
"Amalgamated Transit Union","","ATU"
"Service Employees International Union - United Healthcare Workers West","","SEIU"
"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO, CLC","","USW"
"International Alliance of Theatrical Stage Employees","","IATSE"
"Special and Superior Officers Benevolent Association","","SSOBA"
"United Security & Police Officers of America \(USPOA\)","","USPOA"
"SPFPA","","SPFPA"
"Service Employees International Union, L","","SEIU"
"Mid Atlantic Regional Joint Board, Workers United","","WU"
"SEIU Healthcare Pennsylvania, CTW, CLC","","SEIU"
"PROFESSIONAL AIR TRAFFIC CONTROLLERS ORGANIZATION, INC\. \(PATCO\)","","PATCO"
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO-CLC","","USW"
"Starbucks Workers United","","WU"
"SEIU United Healthcare Workers-West","","SEIU"
"SEIU Healthcare Michigan, Service Employees International Union, CTW","","SEIU"
"Federal Contract Guards of America","","FCGOA"
"INTERNATIONAL UNION, SECURITY, POLICE, AND FIRE PROFESSIONALS OF AMERICA \(SPFPA\)","","SPFPA"
"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS","","IAM"
